abf981e8547cf82beba5d3243e1fe6a31b3d0bf0b38ccef06714aee424d2a934,1b5eb4d77e6d6a49800965a95def8c6d0f04e8d74e5e1645cee13694c4ab640e,229908c0a18b370c213d0c84413de804f0d958649eb513453d1e31558cf07a52,c97586d8a34944c047435a4841a53b80a13962db802feffddee61f4bb1742beb,d074d53e93e3b6ee310a651d8adc43bc90882c5de3842bac729845c7e7d45bce,df894f96f057cadf23b653ada3f09d91b745f1e552a4ba8fccf57f06b1e78c52,e1a6df481b0e23941ee19b3ff76132f0c59d7f0a6e6db3e3478497ad067a228c,a885c90a5901f5629cadf470acaf63ec097c4dadc698b011db48d1343143c567,23ee196dd8711ce1fb5eba89b60d3f9da9b3fb33df93bf2a7cb789888c99b67c,3c2f7b94d2b13641d3805aff367f7570e1eae4081134ff262b31ba2aa17e3f84,5b9dfc17f371b5c179ec8d15a8b46e39f194aaf1639e93ac21da79fad3cc8614,b45046cda2b5c836c3de1155e603c3d54426b8939846106830fe92e8003df65d
"1","0","0.025","0","0","30","0","22","26","0.05","0","279"
"2","0","0.025","0","0","29","0","21","25","0.05","0","270"
"3","0","0.025","0","0","28","0","20","24","0.05","0","261"
"4","0","0.025","0","0","27","0","19","23","0.05","0","252"
"5","0","0.025","0","0","26","0","18","22","0.05","0","243"
"6","0","0.025","0","0","25","0","17","21","0.05","0","234"
"7","0","0.025","0","0","24","0","16","20","0.05","0","225"
"8","0","0.025","0","0","23","0","15","19","0.05","0","216"
"9","0","0.025","0","0","22","0","14","18","0.05","0","207"
"10","0","0.025","0","0","21","0","13","17","0.05","0","198"
"11","0","0.025","0","0","20","0","12","16","0.05","0","189"
"12","0","0.025","0","0","19","0","11","15","0.05","0","180"
"13","0","0.025","0","0","18","0","10","14","0.05","0","171"
"14","0","0.025","0","0","17","0","9","13","0.05","0","161"
"15","0","0.025","0","0","16","0","8","12","0.05","0","152"
"16","0","0.025","0","0","15","0","7","11","0.05","0","143"
"17","0","0.025","0","0","14","0","6","10","0.05","0","134"
"18","0","0.025","0","0","13","0","5","9","0.05","0","125"
"19","0","0.025","0","0","12","0","4","8","0.05","0","116"
"20","0","0.025","0","0","11","0","3","7","0.05","0","107"
"21","0","0.025","0","0","10","0","2","6","0.05","0","101"
"22","0","0","0","0","0","0","0","0","0","0","1"
