9d5b7faeaf9701aaa805db16b09d60eda9395dc00bdea9fa5aedeed74f2fab63,4397379783a81e1348941d91504eee7c4af101fd883e127edb92f92fd82239c7,f38b981facd31ad2f1825a04e58a73ace32754ea39bbc573501a684c9afaa3ef,86a19aa41534a7b9a4e1ca18545848f970f09e75116edf62d7e6c6267c417302,484a1924b3a76aceb08eb4705d2e06b77de287e005a9169fb9cb2577ed3ce5a5,534e1389f907dc92ceab488bf6bc4d2c196358cb3ff07f4f1ae17c4ec4da9a79,1c18807b46b56dd989c7679c5334257fdd032f60755f94cc7c48ee98f4d1910f,0a99ff0290a4282baf38bb6ac18b98074da4738b526fce98e997f2c214dc5df4,c93241d091ce2b4e9c5018208bc7c9525d8f1c27fec01f8310dec462227d3d93,458d4086ed09db3e8b3f244d8fa29ad1062100c97ebbde3f67eeb0b5432972b8,1cfaa7d196d2e61c2240ac92f615e1a07260c5ef5838f642b1532326a846db7b,dafe8fe94f9ebac1a378bd51bc750d2d5712eb908727102a5ba9d3742e447747,9684fea5f151457e9b9498f8765b976568ec99dc364f19ad23072aa25a8e37cb,99f0cd69a61f80f549ecdb2dc676ed391b472dce471b4f1ec1fcd9c32641d876,8b2d8fc905b4d6d42783c402d5d00e2fc31de0f579436264acb49b7696e7f210,ad7df07fbd19eeda4d390227d07046715c91feef3911d9b3f54e32205c9fdfe6,b2a15f3b8ffb89c56296ef7b27ec85e926b0f054b23bc378f428e615429a59ff,b9ca53261c45472cfbac3aa6dac40f418d051eb5bf095f3ade6690d116a305e7,9bb1f3de4b0eb26534e37dfb2024eeb296e35b06d7bd447b6d530505685271d6,cda297327313d76db2f0be72891a6ebc73903af1635903756a9aa9b4346f28aa,aeb9995bbc86ce5377078a0eda7d529d35cc361e639b38051c2f1172b08544e0,93341eeda31fbbe0885232c2fc6c54b377dd96e9f2b012491d73397547ada83f,af733887f45cddabb24736986042b425bb06f0ee756caedbf6de7a218fd0e04b,a88aadd525d888925069ad7bb11decca25f4f3627c7529b90f998cd07b7bde75,be51c1374d41e0a897b34e960858334298d496d7d8a67c75c0531da07350d362,3c939c23cd833481aceee51be58e8527608d22adec179c80d58bbb8f222ac1bd,64481cfa2a75d170238c18f35a7727519a3a493d7e02c445d200a4bde2905613,602e1bcd4112fc0a564e91079afd15cce808452fd0d3926bf1a007236db67702,a810453b4a5513da946d0951a0e8ac3283c24127b2070600b18b694d5d77e415,a8ee685a81f5c09fba57f5b504ced72871f7499f839f0254e06595f5dcb01c45,e3d7fcdb19e851c03b5e2ba8917e9ca194cfdd18bae3a2456b51af480bf6f64f,f04b78f6f5ea68b819b777162336e4ffe9a82760ece37dcee1daaf2f17fd0ae2,c295e5fa63997b2c3186962e084ba2ecfc89e3a1f6535ee3529227aa4ab57a9e,3f4da81033f87bd490c78e4ce6429608fa29477ac6fd32ed5f95e75ec2ad3763,050b28633ed70018461d13af65a92d491b0357610fa6d131651edb3594e1d759,65bf7214792311c52bb192da4199042e54f51c3cda53c7bf06bda39d5b4b8c36,98fce14630f894f9407a3f2b0e14ff44de11793141d2bab7ef8b3a1dd8392be0,2efdf667adf5e8a0e61e9350bf299495f6cb1fef9ad47c92b4f0f48d1fb8b743,f43b66ea7e25ce41cf4758d14e37733c3a9efdb01005b8b03f035db833085c39,9f735cc714dac883b0cbc1b5f6a2acee7b74c94b64e22f99f170956edc1f836b,65f0398f199f7c51cd2648b1cf92b4ece4271900799c635e8864eb590104d459,3fa785e671bf9cd58888b90310473d101edf8075161457168c2b007bb2d58ba9,cfe488a8acadc66bacd8383d58be165191be811c49a217ba2ed4b807466d8d37,ca196b75bb97dd7eecbfbf45c1833382d19eb7712aab3f48cec016ad0d43b6c3
"800","53000000","哥布林王者","50","0","410010101","0","0","0","0","0","0","40","0","0","0","0","0","0","0","0","0","0","12000","0","300000039","1","0","0","0","305700","100","0","0","1","800","0","5000","0","5000","0","0","0","0"
"1000","81000000","雷雷","50","0","410010201","0","0","0","0","0","0","40","0","0","0","0","0","0","11000","0","0","0","0","0","300000039","1","0","0","0","304600","125","0","0","1","800","0","5000","0","5000","0","0","0","0"
"0","87000000","碎裂魔像","60","0","410010301","0","0","0","0","0","0","150","15000","0","0","0","0","0","0","0","0","0","40500","0","300000039","1","0","0","0","301205","150","0","0","1","0","0","15000","0","15000","0","0","0","0"
"1050","92000000","雨靈","60","0","410010401","0","0","0","0","0","0","130","15000","0","0","0","0","0","60000","0","0","0","0","0","300000039","1","0","0","0","316103","175","0","0","1","1050","0","15000","0","15000","0","0","0","0"
"1500","193000000","厄勒克特拉夫人","60","0","410010501","0","0","0","0","0","0","70","30000","0","0","0","0","0","60000","0","0","0","0","0","300000039","1","0","0","0","312502","200","0","0","1","2000","0","30000","0","30000","0","0","0","0"
"0","217000000","泰坦龍龜","60","0","410010601","100","0","0","0","0","0","70","50000","0","0","0","100","0","0","0","0","50000","0","0","300000039","1","0","0","0","304102","225","0","50000","1","0","1","30000","100","50000","0","0","0","50000"
"5000","2100000","泰坦龍龜A","60","0","410010602","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","0","0","0","7000","0","300000039","1","0","0","0","304102","225","0","0","1","5000","0","0","0","0","0","0","0","0"
"1200","10000000","泰坦龍龜B","60","0","410010603","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300000039","1","0","0","0","304102","225","0","0","1","1200","0","0","0","0","0","0","0","0"
"600","11000000","泰坦龍龜C","60","0","410010604","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300000039","1","0","0","0","304102","225","0","0","1","600","0","0","0","0","0","0","0","0"
"2000","250000000","狂焰戰熊","60","0","410010701","0","0","0","0","0","0","40","30000","0","0","0","0","0","0","0","0","0","46000","0","300000039","1","0","0","0","301102","250","0","0","1","1000","0","30000","0","30000","0","0","0","0"
"2200","236000000","夢魘","60","0","410010801","0","0","0","0","0","0","130","50000","0","0","0","0","0","36000","0","0","0","78000","0","300000039","1","0","0","0","304000","300","0","0","1","1600","0","50000","0","50000","0","0","0","0"
"0","335000000","涅普堤利昂","60","0","410010901","300","0","0","0","0","0","90","50000","0","0","0","300","0","0","0","0","300","0","0","300000039","1","0","0","0","305803","350","0","0","1","0","1","50000","0","50000","0","0","0","0"
"10000","4800000","涅普堤利昂A","60","0","410010902","0","0","0","0","0","0","0","0","0","0","0","0","0","80000","0","0","0","1000","0","300000039","1","0","0","0","305803","350","0","0","1","10000","0","0","0","0","0","0","0","0"
"2200","5600000","涅普堤利昂B","60","0","410010903","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300000039","1","0","0","0","305803","350","0","0","1","2200","0","0","0","0","0","0","0","0"
"1200","7200000","涅普堤利昂C","60","0","410010904","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300000039","1","0","0","0","305803","350","0","0","1","1200","0","0","0","0","0","0","0","0"
"0","322000000","水之里歐斯","60","0","410011001","300","0","0","0","0","0","30","50000","0","0","0","50000","0","0","0","0","300","0","0","300000039","1","0","0","0","302904","450","0","0","1","0","50000","50000","0","50000","0","0","0","0"
"6000","4800000","水之里歐斯本體","60","0","410011002","0","0","0","0","0","0","0","0","0","0","0","0","0","36000","0","0","0","72000","0","300000039","1","0","0","0","302904","450","0","0","1","6000","0","0","0","0","0","0","0","0"
"2000","4800000","水瓶","60","0","410011003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300000039","1","0","0","0","302904","450","0","0","1","1600","0","0","0","0","0","0","0","0"
"800","83000000","飛龍","50","0","410020101","0","0","0","0","0","0","20","12500","0","0","0","0","0","0","0","0","0","11000","0","300000039","1","0","0","0","302100","100","0","0","1","800","0","1","0","12500","0","0","0","0"
"800","158000000","沙陸樹懶","50","0","410020201","0","0","0","0","0","0","60","12500","0","0","0","0","0","13000","0","0","0","13000","0","300000039","1","0","0","0","309000","125","0","0","1","800","0","12500","0","12500","0","0","0","0"
"350","106000000","擲岩猴仙","60","0","410020301","0","0","0","0","0","0","130","20000","0","0","0","0","0","15000","0","0","0","15000","0","300000022","1","0","0","0","306306","150","0","0","1","350","10000","20000","0","10000","0","0","0","0"
"350","187000000","歪音之精靈","60","0","410020401","25000","0","0","0","0","0","130","25000","0","0","0","10000","0","13000","0","0","0","13000","0","300000022","0","0","0","0","322907","175","0","0","1","350","10000","10000","0","10000","0","0","0","0"
"1000","248000000","稜鏡夫人","60","0","410020501","0","0","0","0","0","0","130","30000","0","0","0","0","0","40000","0","0","0","0","0","300000039","1","0","0","0","305902","200","0","0","1","1000","0","30000","0","1000","0","0","0","0"
"100","187000000","方格斯男爵","60","0","410020601","0","0","0","0","0","0","130","8000","0","0","0","50000","0","0","0","0","0","0","0","300000039","1","0","0","0","316209","225","0","0","1","100","1","50000","0","50000","0","0","0","0"
"800","227000000","聖靈角鹿","60","0","410020701","0","0","0","0","0","0","70","30000","0","0","0","0","0","30000","0","0","0","30000","0","300000039","1","0","0","0","300802","250","0","0","1","800","0","30000","0","30000","0","0","0","0"
"1300","225000000","芒刺爬行者","60","0","410020801","0","0","0","0","0","0","70","50000","0","0","0","0","0","0","0","0","0","70000","0","300000039","1","0","0","0","300603","300","0","0","1","1500","0","50000","0","50000","0","0","0","0"
"0","281000000","劍蛇","200","0","410020901","300","0","0","0","0","0","250","50000","0","0","0","300","0","0","0","0","300","0","0","300000039","1","0","0","0","313401","350","0","0","1","0","1","50000","0","50000","0","0","0","0"
"10000","3000000","劍蛇部位A","200","0","410020902","0","0","0","0","0","0","0","0","0","0","0","0","0","50000","0","0","0","74000","0","300000039","1","0","0","0","313401","350","0","0","1","10000","0","0","0","0","0","0","0","0"
