52e21377d1b2b96cd5f705b39eec40d88644324286593f35d4023b15ea3bcb47,6b21fdc0fc41581e9c8f359745d2c476378d4f7a447b5603616a08e11e5cd846,0042b6972a34ef58ef59568a448989196020a3cf6a9e175ef39c7590703b9c3b,ef24580d896e16cd58b6f7275503c98d1a16a20a6bb5c41d5f849d1a2dccc590,9722ca8a646268b0249df1cd294e9ed5d8fb3c9ddddb0535dd32f61401955ee0,01da0a3462ffdf260d37d02d1bb4647e2da9d58cd4995ac6fc491d2bb9337269,577a30638b0e007fbcd8eb7037f3b5939a11f4ed70a721faca3dc8ed4a953ee2,c655128eb763320164448cc0c54bde31e815114687c87a253c01d13eb2650498,f93746477c2f7a68d6c70ac96d6a8266fd94881a39829adf874aad02ad972e4f
"1","1","10","12000","90001","0","90043","10000","30000"
"2","2","20","24000","90002","0","90047","10000","30000"
"3","3","20","24000","90002","0","90047","10000","30000"
"4","4","20","24000","90002","0","90047","10000","30000"
"5","5","20","24000","90002","0","90047","10000","30000"
"6","6","20","24000","90002","0","90047","10000","30000"
"7","7","20","24000","90002","0","90047","10000","30000"
"8","8","20","24000","90002","0","90047","10000","30000"
"9","9","20","24000","90002","0","90047","10000","30000"
"10","10","20","24000","90002","0","90047","10000","30000"
"11","11","40","48000","90003","90011","90051","10000","30000"
"12","12","40","48000","90003","90011","90051","10000","30000"
"13","13","40","48000","90003","90011","90051","10000","30000"
"14","14","40","48000","90003","90011","90051","10000","30000"
"15","15","40","48000","90003","90011","90051","10000","30000"
"16","16","40","48000","90003","90011","90051","10000","30000"
"17","17","40","48000","90003","90011","90051","10000","30000"
"18","18","40","48000","90003","90011","90051","10000","30000"
"19","19","40","48000","90003","90011","90051","10000","30000"
"20","20","40","48000","90003","90011","90051","10000","30000"
"21","21","60","72000","90004","90015","90055","10000","30000"
"22","22","60","72000","90004","90015","90055","10000","30000"
"23","23","60","72000","90004","90015","90055","10000","30000"
"24","24","60","72000","90004","90015","90055","10000","30000"
"25","25","60","72000","90004","90015","90055","10000","30000"
"26","26","60","72000","90004","90015","90055","10000","30000"
"27","27","60","72000","90004","90015","90055","10000","30000"
"28","28","60","72000","90004","90015","90055","10000","30000"
"29","29","60","72000","90004","90015","90055","10000","30000"
"30","30","60","72000","90004","90015","90055","10000","30000"
"31","31","80","96000","90005","90015","90059","10000","30000"
"32","32","80","96000","90005","90015","90059","10000","30000"
"33","33","80","96000","90005","90015","90059","10000","30000"
"34","34","80","96000","90005","90015","90059","10000","30000"
"35","35","80","96000","90005","90015","90059","10000","30000"
"36","36","80","96000","90005","90015","90059","10000","30000"
"37","37","80","96000","90005","90015","90059","10000","30000"
"38","38","80","96000","90005","90015","90059","10000","30000"
"39","39","80","96000","90005","90015","90059","10000","30000"
"40","40","80","96000","90005","90015","90059","10000","30000"
"41","41","120","144000","90005","90017","90063","10000","30000"
"42","42","120","144000","90005","90017","90063","10000","30000"
"43","43","120","144000","90005","90017","90063","10000","30000"
"44","44","120","144000","90005","90017","90063","10000","30000"
"45","45","120","144000","90005","90017","90063","10000","30000"
"46","46","120","144000","90005","90017","90063","10000","30000"
"47","47","120","144000","90005","90017","90063","10000","30000"
"48","48","120","144000","90005","90017","90063","10000","30000"
"49","49","120","144000","90005","90017","90063","10000","30000"
"50","50","120","144000","90005","90017","90063","10000","30000"
"51","51","150","180000","90006","90019","90067","10000","30000"
"52","52","150","180000","90006","90019","90067","10000","30000"
"53","53","150","180000","90006","90019","90067","10000","30000"
"54","54","150","180000","90006","90019","90067","10000","30000"
"55","55","150","180000","90006","90019","90067","10000","30000"
"56","56","150","180000","90006","90019","90067","10000","30000"
"57","57","150","180000","90006","90019","90067","10000","30000"
"58","58","150","180000","90006","90019","90067","10000","30000"
"59","59","150","180000","90006","90019","90067","10000","30000"
"60","60","150","180000","90006","90019","90067","10000","30000"
"61","61","180","216000","90007","90021","90071","10000","30000"
"62","62","180","216000","90007","90021","90071","10000","30000"
"63","63","180","216000","90007","90021","90071","10000","30000"
"64","64","180","216000","90007","90021","90071","10000","30000"
"65","65","180","216000","90007","90021","90071","10000","30000"
"66","66","180","216000","90007","90021","90071","10000","30000"
"67","67","180","216000","90007","90021","90071","10000","30000"
"68","68","180","216000","90007","90021","90071","10000","30000"
"69","69","180","216000","90007","90021","90071","10000","30000"
"70","70","180","216000","90007","90021","90071","10000","30000"
