ff89d6f63b3173132c638a2ada8b253be03896007bd9ed1156aedf1366cf3a33,baf0ae82c5319ee305871871a28c9190b94f296b32921f3facb501823cfd1b63,6d5a82c410e0f2ebe2c167c13966992ffa25c9bd6de52dcb0e6d355c8467bcd0,90c6847448ffebfe8c142df20ca1d6c500498e61d73be2848b69ef4a4ccdde16,0cf916bea170524099a3cc83aae001151e797121687fc01c2dae15c3478d99db,445bbbc8b4e60cf9801cba396187bb0d2006535ff34c92a61cb9fff1e91543bf,68ae6d342ed251ab4478bd098d7f89126ea53dcf6e1d4241a56065fd171f27f2,c3b66f9925456fcba5293d02caf997fe8cc802cfbc4091c16b876a70533dd0a3
"182","-90","1","-401","170","1","1","71"
"182","-90","2","-401","170","1","2","81"
"182","90","3","-255","255","1","3","121"
"182","90","4","-255","255","1","4","131"
"182","90","5","-255","255","1","5","141"
"176","-80","6","-107","229","1","6","191"
"176","-80","7","-107","229","1","7","201"
"151","-85","8","136","218","1","8","271"
"151","-85","9","136","218","1","9","281"
"151","-85","10","136","218","1","10","291"
"219","80","11","280","156","1","11","331"
"219","80","12","280","156","1","12","341"
"219","80","13","280","156","1","13","351"
"183","-97","14","417","213","1","14","401"
"183","-97","15","417","213","1","15","411"
"229","-73","2","-259","242","2","1","451"
"179","124","4","-222","226","2","2","481"
"192","-67","6","-101","219","2","3","501"
"190","-27","8","-26","168","2","4","521"
"260","-50","11","117","192","2","5","551"
"138","120","14","241","159","2","6","601"
"138","120","14","241","159","2","7","611"
"229","-71","14","243","224","2","8","621"
"43","32","1","-353","71","3","1","781"
"268","-30","2","-228","235","3","2","801"
"45","144","3","-243","80","3","3","831"
"225","-76","4","20","221","3","4","851"
"222","-74","5","230","211","3","5","861"
"136","44","6","-100","115","3","6","891"
"136","44","7","-100","115","3","7","901"
"250","76","8","116","306","3","8","991"
"250","76","9","116","306","3","9","1001"
"250","76","10","116","306","3","10","1011"
"188","40","11","322","96","3","11","1041"
"188","40","12","322","96","3","12","1051"
"272","-6","1","-211","294","4","1","1091"
"115","129","2","-288","92","4","2","1101"
"115","129","3","-288","92","4","3","1111"
"174","128","4","-58","135","4","4","1121"
"184","133","5","143","222","4","5","1151"
"98","-129","6","-277","134","4","6","1161"
"98","-129","7","-277","134","4","7","1171"
"70","-12","8","-60","67","4","8","1211"
"70","-12","9","-60","67","4","9","1221"
"185","-55","10","116","132","4","10","1231"
"89","-103","11","-17","93","4","11","1261"
"89","-103","12","-17","93","4","12","1271"
"239","23","13","232","150","4","13","1311"
"72","-161","1","-289","114","5","1","1391"
"72","-161","2","-289","114","5","2","1401"
"248","80","3","-261","228","5","3","1411"
"211","-91","4","-103","223","5","4","1431"
"181","95","5","-87","186","5","5","1471"
"176","-122","6","69","132","5","6","1551"
"176","-122","7","69","132","5","7","1561"
"184","91","8","54","143","5","8","1611"
"247","45","9","204","211","5","9","1641"
"167","141","10","308","137","5","10","1651"
"174","-46","11","282","175","5","11","1661"
"240","-11","1","-252","222","6","1","1741"
"245","-96","2","-19","311","6","2","1761"
"221","95","3","-46","261","6","3","1771"
"237","83","4","152","166","6","4","1781"
"229","-100","5","227","183","6","5","1782"
"183","-46","1","-249","223","7","1","1811"
"247","54","2","-159","337","7","2","1881"
"191","-70","3","30","202","7","3","1921"
