e07ea03563a2f6629ba63f3ce98614e0c1c68cc00a8e17ae5261b960386961c3,b44573c0bed67e55657fdf8c33a5298c68155e53fef3dc15adda81f05d214c50,acf0b04b7be9caaae621955da5cf47f9a72923a8bbc4ef91dc5b5ac7f609d62d,452a205d2ac0ae734062f99f4f30adcd345ddc29cc7c243526149048619aa699,383ee562f386893097ab5167a7d767191d9bc2745294995168d2663f65d96561,3eca17f0c060bb31d9984ec8931b40c5234ce59ab1bd323d7085b3c889bb8bfe,9e66727c5926294d20d9fb1e37cc791281457240d2f2807c69ace2ff44a73651,d2d92837259f232494600a827fadc3e68d45372e02c808e4d70ec5167b8a7f04,929f328b86f70cf5fe8745342127795f3fe7a62f053e7ad8cbbc25054818301a,299132c256e5295845e4078cceec50bd970d178b3aa840d25e3cd4fca4594f92,55fb7290c01c68c1523d3d667952075bc24783ff1a9ae2d2cadf9ebd27b86427
"-420","cgg_idle_normal","-230","0","1","101","160","101001","1","100","5"
"375","cgg_idle_def","-230","1","105811","101","1.6","101002","1","100","1"
"490","cgg_idle_def","-230","1","106011","101","1.6","101003","1","101","1"
"1","","1","0","1","101","0.1","101004","1","1","6"
"1","","1","0","1","101","0.1","101005","105811","1","6"
"1","","1","0","1","101","0.1","101006","106011","1","6"
"","","","","0","101","","101007","0.2","","93"
"0","","","","vo_minigame_1007_top_talk_1_001","101","","101008","vo_minigame_1007","0","21"
"0","0","0","0","妳看，小凱留♪\n有好多慈樂之音的\n周邊喔☆","101","0","101009","105811","4","11"
"","","","","cgg_idle_surprise1","101","0.2","101010","1","1","3"
"cgg_talk_surprise_kira","","1","0","cgg_surprise_kira","101","0.2","101011","105811","0","3"
"","","","","0","101","","101012","2.1","","93"
"","","","","cgg_idle_surprise3","101","0.2","101013","1","1","3"
"","","","","cgg_talk_joy1","101","0.2","101014","105811","1","3"
"","","","","","101","","101015","101009","","91"
"","","","","cgg_idle_def","101","0.2","101016","105811","1","3"
"0","","","","vo_minigame_1007_top_talk_1_002","101","","101017","vo_minigame_1007","0","21"
"0","0","0","0","有這麼多啊……\n這種東西會讓人\n不由自主地\n想全部收齊呢。","101","0","101018","106011","5","11"
"","","","","cgg_idle_reaction1","101","0.2","101019","1","1","3"
"","","","","cgg_talk_surprise1","101","0.2","101020","106011","1","3"
"","","","","0","101","","101021","2.1","","93"
"","","","","cgg_idle_nod","101","0.2","101022","1","1","3"
"","","","","cgg_talk_bitter","101","0.2","101023","106011","1","3"
"","","","","","101","","101024","101018","","91"
"","","","","0","101","","101025","0.5","","93"
"","","","","cgg_idle_normal","101","0.2","101026","1","1","3"
"","","","","cgg_idle_def","101","0.2","101027","106011","1","3"
"","","","","cgg_idle_joy2","101","0.2","101028","105811","1","3"
"","","","","10","101","0.2","101029","105811","1.4","12"
"","","","","0","101","","101030","3","","93"
"","","","","cgg_idle_def","101","0.2","101031","105811","1","3"
"","","","","cgg_talk_surprise_dere","101","0.2","101032","106011","1","3"
"","","","","8","101","0.2","101033","106011","1.4","12"
"","","","","0","101","","101034","3","","93"
"","","","","cgg_idle_def","101","0.2","101035","106011","1","3"
"cgg_idle_surprise1","","1","0","cgg_surprise1","101","0.2","101036","1","0","3"
"","","","","4","101","0.2","101037","1","1.4","12"
"","","","","0","101","","101038","3","","93"
"","","","","0","101","","101039","101026","","101"
"","","","","0.5","101","","101040","0","","22"
"1","","0","0","1","101","0.1","101041","1","1","6"
"1","","0","0","1","101","0.1","101042","105811","1","6"
"1","","0","0","1","101","0.1","101043","106011","1","6"
"","","","","0","101","","101044","0.1","","93"
"","","","","cgg_idle_normal","101","0","101045","1","1","3"
"","","","","cgg_idle_def","101","0","101046","105811","1","3"
"","","","","cgg_idle_def","101","0","101047","106011","1","3"
"-420","cgg_idle_normal","-230","0","1","102","160","102001","1","100","5"
"375","cgg_idle_def","-230","1","105911","102","1.6","102002","1","100","1"
"490","cgg_idle_def","-230","1","106411","102","1.6","102003","1","101","1"
"1","","1","0","1","102","0.1","102004","1","1","6"
"1","","1","0","1","102","0.1","102005","105911","1","6"
"1","","1","0","1","102","0.1","102006","106411","1","6"
"","","","","0","102","","102007","0.2","","93"
"0","","","","vo_minigame_1007_top_talk_2_003","102","","102008","vo_minigame_1007","0","21"
"0","0","0","0","我們抵達\n演唱會會場了，\n這裡非常大，\n非常開闊呢……","102","0","102009","105911","5","11"
"","","","","cgg_idle_surprise1","102","0.2","102010","1","1","3"
"","","","","cgg_lookup","102","0.2","102011","105911","0","3"
"","","","","0","102","","102012","2.6","","93"
"","","","","cgg_talk_wish_surprise","102","0.2","102013","105911","1","3"
"","","","","","102","","102014","102009","","91"
"","","","","cgg_idle_def","102","0.4","102015","105911","1","3"
"0","","","","vo_minigame_1007_top_talk_2_004","102","","102016","vo_minigame_1007","0","21"
"0","0","0","0","慈樂之音的演唱會……\n呵呵，真令人期待呢。\n啊，我可以\n去看一下周邊嗎？","102","0","102017","106411","4","11"
"","","","","cgg_idle_reaction1","102","0.2","102018","1","1","3"
"","","","","cgg_talk_surprise1","102","0.2","102019","106411","1","3"
"","","","","0","102","","102020","2.6","","93"
"cgg_idle_nod","","1","0","cgg_talk_nod","102","0.2","102021","1","0","3"
"","","","","cgg_talk_joy3_blink","102","0.2","102022","106411","1","3"
"","","","","0","102","","102023","3.2","","93"
"","","","","cgg_idle_reaction5","102","0.2","102024","1","1","3"
"","","","","cgg_talk_normal","102","0.2","102025","106411","1","3"
"","","","","","102","","102026","102017","","91"
"","","","","0","102","","102027","0.5","","93"
"","","","","cgg_idle_def","102","0.2","102028","106411","1","3"
"","","","","cgg_idle_normal","102","0.2","102029","1","1","3"
"","","","","cgg_talk_joy3_blink","102","0.2","102030","105911","1","3"
"","","","","10","102","0.2","102031","105911","1.4","12"
"","","","","0","102","","102032","3","","93"
"","","","","cgg_idle_def","102","0.2","102033","105911","1","3"
"","","","","cgg_talk_joy1","102","0.2","102034","106411","1","3"
"","","","","11","102","0.2","102035","106411","1.4","12"
"","","","","0","102","","102036","3","","93"
"","","","","cgg_idle_def","102","0.2","102037","106411","1","3"
"","","","","cgg_idle_surprise3","102","0.2","102038","1","1","3"
"","","","","6","102","0.2","102039","1","1.4","12"
"","","","","0","102","","102040","3","","93"
"","","","","0","102","","102041","102029","","101"
"","","","","0.5","102","","102042","0","","22"
"1","","0","0","1","102","0.1","102043","1","1","6"
"1","","0","0","1","102","0.1","102044","105911","1","6"
"1","","0","0","1","102","0.1","102045","106411","1","6"
"","","","","0","102","","102046","0.1","","93"
"","","","","cgg_idle_normal","102","0","102047","1","1","3"
"","","","","cgg_idle_def","102","0","102048","105911","1","3"
"","","","","cgg_idle_def","102","0","102049","106411","1","3"
"-420","cgg_idle_normal","-230","0","1","103","160","103001","1","100","5"
"375","cgg_idle_def","-230","1","100211","103","1.6","103002","1","100","1"
"490","cgg_idle_def","-230","1","100111","103","1.6","103003","1","101","1"
"1","","1","0","1","103","0.1","103004","1","1","6"
"1","","1","0","1","103","0.1","103005","100211","1","6"
"1","","1","0","1","103","0.1","103006","100111","1","6"
"","","","","0","103","","103007","0.2","","93"
"0","","","","vo_minigame_1007_top_talk_3_005","103","","103008","vo_minigame_1007","0","21"
"0","0","0","0","下次會抽到什麼呢？\n讓人很期待呢，\n日和。","103","0","103009","100211","5","11"
"","","","","cgg_idle_surprise1","103","0.2","103010","1","1","3"
"","","","","cgg_talk_wish","103","0.2","103011","100211","1","3"
"","","","","0","103","","103012","2.4","","93"
"","","","","cgg_talk_joy3","103","0.2","103013","100211","1","3"
"","","","","","103","","103014","103009","","91"
"","","","","cgg_idle_def","103","0.2","103015","100211","1","3"
"0","","","","vo_minigame_1007_top_talk_3_006","103","","103016","vo_minigame_1007","0","21"
"0","0","0","0","就是說啊，優衣！\n好～\n來盡情地抽吧～！\n轉轉轉～♪","103","0","103017","100111","4","11"
"","","","","cgg_idle_reaction5","103","0.2","103018","1","1","3"
"","","","","cgg_talk_joy1","103","0.2","103019","100111","1","3"
"","","","","0","103","","103020","2.5","","93"
"cgg_idle_guts","","1","0","cgg_talk_guts_NoBlink","103","0.2","103021","100111","0","3"
"","","","","0","103","","103022","4","","93"
"cgg_idle_reaction3","","1","0.2","cgg_joy","103","0.2","103023","1","0","3"
"","","","","cgg_talk_joy2","103","0.2","103024","100111","1","3"
"","","","","","103","","103025","103017","","91"
"","","","","0","103","","103026","0.7","","93"
"","","","","cgg_idle_normal","103","0.2","103027","1","1","3"
"","","","","cgg_idle_def","103","0.2","103028","100111","1","3"
"","","","","cgg_idle_bitter3","103","0.2","103029","100211","1","3"
"","","","","1","103","0.2","103030","100211","1.4","12"
"","","","","0","103","","103031","3","","93"
"","","","","cgg_idle_def","103","0.2","103032","100211","1","3"
"cgg_idle_reaction1","","1","0.2","cgg_talk_handsup","103","0.2","103033","1","0","3"
"","","","","10","103","0.2","103034","1","1.4","12"
"","","","","0","103","","103035","3","","93"
"","","","","cgg_idle_normal","103","0.2","103036","1","1","3"
"","","","","cgg_idle_joy3","103","0.2","103037","100111","1","3"
"","","","","6","103","0.2","103038","100111","1.4","12"
"","","","","0","103","","103039","3","","93"
"","","","","0","103","","103040","103028","","101"
"","","","","0.5","103","","103041","0","","22"
"1","","0","0","1","103","0.1","103042","1","1","6"
"1","","0","0","1","103","0.1","103043","100211","1","6"
"1","","0","0","1","103","0.1","103044","100111","1","6"
"","","","","0","103","","103045","0.1","","93"
"","","","","cgg_idle_normal","103","0","103046","1","1","3"
"","","","","cgg_idle_def","103","0","103047","100211","1","3"
"","","","","cgg_idle_def","103","0","103048","100111","1","3"
"-420","cgg_idle_normal","-230","0","1","104","160","104001","1","100","5"
"375","cgg_idle_def","-230","1","100111","104","1.6","104002","1","100","1"
"490","cgg_idle_def","-230","1","100311","104","1.6","104003","1","101","1"
"1","","1","0","1","104","0.1","104004","1","1","6"
"1","","1","0","1","104","0.1","104005","100111","1","6"
"1","","1","0","1","104","0.1","104006","100311","1","6"
"","","","","0","104","","104007","0.2","","93"
"0","","","","vo_minigame_1007_top_talk_4_007","104","","104008","vo_minigame_1007","0","21"
"0","0","0","0","那個那個～怜，\n我可以再抽一次嗎？","104","0","104009","100111","4","11"
"","","","","cgg_idle_reaction2","104","0.2","104010","1","1","3"
"","","","","cgg_talk_joy3_dere","104","0.2","104011","100111","1","3"
"","","","","0","104","","104012","2.7","","93"
"cgg_idle_guts2","","1","0","cgg_talk_guts2","104","0.2","104013","1","0","3"
"","","","","cgg_talk_normal_dere2","104","0.2","104014","100111","1","3"
"","","","","","104","","104015","104009","","91"
"0","","","","vo_minigame_1007_top_talk_4_008","104","","104016","vo_minigame_1007","0","21"
"0","0","0","0","不可以喔，日和。\n因為接下來輪到我了。\n……呵呵，這意外地\n令人著迷呢。","104","0","104017","100311","5","11"
"","","","","cgg_idle_reaction2","104","0.2","104018","1","1","3"
"cgg_idle_def","","1","0","cgg_No","104","0.2","104019","100311","0","3"
"","","","","0","104","","104020","0.8","","93"
"","","","","cgg_idle_surprise2","104","0.2","104021","100111","1","3"
"","","","","0","104","","104022","0.9","","93"
"cgg_idle_surprise2","","1","0","cgg_surprise2","104","0.2","104023","1","0","3"
"cgg_idle_arm_crossed2","","1","0","cgg_talk_arm_crossed2","104","0.2","104024","100311","0","3"
"","","","","0","104","","104025","2.5","","93"
"","","","","cgg_idle_bitter","104","0.2","104026","100311","1","3"
"","","","","0","104","","104027","2","","93"
"cgg_idle_nod","","1","0","cgg_talk_nod","104","0.2","104028","1","0","3"
"","","","","","104","","104029","104017","","91"
"","","","","0","104","","104030","0.5","","93"
"","","","","cgg_idle_def","104","0.2","104031","100311","1","3"
"","","","","cgg_idle_normal","104","0.2","104032","1","1","3"
"","","","","cgg_idle_anger","104","0.2","104033","100111","1","3"
"","","","","17","104","0.2","104034","100111","1.4","12"
"","","","","0","104","","104035","3","","93"
"","","","","cgg_idle_def","104","0.2","104036","100111","1","3"
"","","","","cgg_idle_bitter4","104","0.2","104037","100311","1","3"
"","","","","2","104","0.2","104038","100311","1.4","12"
"","","","","0","104","","104039","3","","93"
"","","","","cgg_idle_def","104","0.2","104040","100311","1","3"
"","","","","cgg_idle_surprise2","104","0.2","104041","1","1","3"
"","","","","1","104","0.2","104042","1","1.4","12"
"","","","","0","104","","104043","3","","93"
"","","","","0","104","","104044","104032","","101"
"","","","","0.5","104","","104045","0","","22"
"1","","0","0","1","104","0.1","104046","1","1","6"
"1","","0","0","1","104","0.1","104047","100111","1","6"
"1","","0","0","1","104","0.1","104048","100311","1","6"
"","","","","0","104","","104049","0.1","","93"
"","","","","cgg_idle_normal","104","0","104050","1","1","3"
"","","","","cgg_idle_def","104","0","104051","100111","1","3"
"","","","","cgg_idle_def","104","0","104052","100311","1","3"
"-420","cgg_idle_normal","-230","0","1","105","160","105001","1","100","5"
"375","cgg_idle_def","-230","1","100211","105","1.6","105002","1","100","1"
"490","cgg_idle_def","-230","1","105811","105","1.6","105003","1","101","1"
"1","","1","0","1","105","0.1","105004","1","1","6"
"1","","1","0","1","105","0.1","105005","100211","1","6"
"1","","1","0","1","105","0.1","105006","105811","1","6"
"","","","","0","105","","105007","0.2","","93"
"0","","","","vo_minigame_1007_top_talk_5_009","105","","105008","vo_minigame_1007","0","21"
"0","0","0","0","因為周邊有很多種類，\n在集齊所有種類之前，\n我們要加油喔！","105","0","105009","100211","6","11"
"","","","","cgg_idle_reaction1","105","0.2","105010","1","1","3"
"","","","","cgg_talk_normal","105","0.2","105011","100211","1","3"
"","","","","0","105","","105012","2.4","","93"
"","","","","cgg_talk_joy3","105","0.2","105013","100211","1","3"
"","","","","0","105","","105014","1.1","","93"
"cgg_idle_reaction1","","1","0.2","cgg_talk_handsup","105","0.2","105015","1","0","3"
"","","","","","105","","105016","105009","","91"
"","","","","cgg_idle_def","105","0.2","105017","100211","1","3"
"0","","","","vo_minigame_1007_top_talk_5_010","105","","105018","vo_minigame_1007","0","21"
"0","0","0","0","蒐集到的周邊能裝飾\n在櫃子上，之後再來\n仔細鑑賞喔♪\n太讚了吧☆","105","0","105019","105811","6","11"
"cgg_idle_arm_crossed","","0","0","cgg_talk_arm_crossed","105","0.2","105020","1","0","3"
"","","","","cgg_talk_joy1","105","0.2","105021","105811","1","3"
"","","","","0","105","","105022","5","","93"
"cgg_idle_guts2","","1","0","cgg_talk_guts2","105","0.2","105023","1","0","3"
"cgg_idle_def","","1","0.2","cgg_jump_def_N","105","0.2","105024","105811","0","3"
"","","","","","105","","105025","105019","","91"
"","","","","0","105","","105026","0.5","","93"
