64f6785525a4e2a4551dcbc55aa059d4996a0e96ef96155200a111aa01cc6087,d5425c861da99c864fe5e210afea305cd799b49f75d7878d4abc3134429b64db,485c3c2cf8df4a8828e2992ffe5fc0fda6b369b9589593b19c2dd904562a4288,df6e25130a44e7c619cc5d221b6881a9be68b3dcfcddd8b998d5c07c4b61b9a0,40fe75212240b573a1639205371cb4b16a1ed1f81cc66e4ca8ab2c9fac39f813,8119d69e4ef9f1916aaddc72394c5aeff7bf2bea249a8282a41b94bb26300a01,db52507fe442045708c6e03ef91ef5b1dc4d5927a80a0358e0cfc1f1928c772d,e4490547d895f023c52f3699a61771a8e9085cc981c723ff765a416c7da181ec
"5001","1","1","1000101","bgm_M32","5001000","0",""
"5002","1","1","1000201","bgm_M98","5002000","0",""
"5003","1","1","1000301","bgm_M106","5003000","0",""
"5004","1","1","1000401","bgm_M112","5004000","0",""
"5005","1","1","1000501","bgm_M121","5005000","0",""
"5006","1","1","1000601","bgm_M128","5006000","0",""
"5007","1","1","1000701","bgm_M135","5007000","0",""
"5008","1","1","1000801","bgm_M162","5008000","0",""
"5009","1","1","1000901","bgm_M171","5009000","0",""
"5010","1","1","1001001","bgm_M182_02","5010000","0",""
"5011","1","1","1001101","bgm_M189","5011000","0",""
"5012","1","1","1001201","bgm_M206","5012000","0",""
"5013","1","1","1001301","bgm_M215","5013000","0",""
"5015","1","1","1001501","bgm_M223","5015000","0",""
"5017","1","1","1001701","","5017000","0",""
"5019","1","1","1001901","bgm_M237","5019000","0",""
"5021","1","1","1002101","bgm_M245_02","5021000","0",""
"5023","1","1","1002301","bgm_M254","5023000","0",""
"5025","1","1","1002501","bgm_M265_Top","5025000","0",""
"5027","1","1","1002701","bgm_M273","5027000","0",""
"5029","1","1","1002901","bgm_M281","5029000","0",""
"5031","1","1","1003101","bgm_M294","5031000","0",""
"5033","1","1","1003301","bgm_M316","5033000","0",""
"5036","1","1","1003601","bgm_M341","5036001","0",""
"5038","1","1","1003801","bgm_M343","5038000","0",""
"5040","1","1","1004001","bgm_M351","5040000","0",""
"5042","1","1","1004201","bgm_M375","5042000","0",""
"5044","1","1","1004401","bgm_M380A","5044000","0",""
"5046","1","1","1004601","bgm_M393","5046000","0",""
"5048","1","1","1004801","bgm_M403","5048000","0",""
"5050","1","1","1005001","bgm_M413","5050000","0",""
"5052","1","1","1005201","bgm_M421","5052000","0",""
"5054","1","1","1005401","bgm_M426","5054000","0",""
"5056","1","1","1005601","bgm_M435","5056000","0",""
"5058","1","1","1005801","bgm_M442A","5058000","0",""
"5061","1","1","1006101","bgm_M451","5061000","0",""
"5064","1","1","1006401","bgm_M457","5064000","0",""
"5066","1","1","1006601","bgm_M467","5066000","0",""
"5068","1","1","1006801","bgm_M478_Lofi","5068000","0",""
"5070","1","1","1007001","bgm_M486","5070000","0",""
"5072","1","1","1007201","bgm_M496","5072000","0",""
"5074","1","1","1007401","bgm_M508","5074000","0",""
