972abc504891c044190d32133a9f49c72b861fbd2cfbb3692bb672b2932668f1,ba0d08a805a258564c40253c415ee6ffd85671bbdad831e52f920338e4633231,0d328b8f75964401ba962e8f80e1265d030ccd9358329b86e6b9087d7ecd6796,ddacf813e010efa5c04fc9377fab31db483bf55128f7a763e130a92e21610ae8,8c8c80338e781f69bef7c1e04c4dbe6d35d38a21dd8e19b524bf69fe40eb5221,12cd61dd1c1d4bd5f0b38f3c4909ba5f54cd49eaf26e897aeadc4e330e1195d7,4aed103bd1629dbf329c29145279ed4be74b9fc8cf7d41098bfb9ae781900779,421bcd03a1fbd4ad0f9452f9143d3a5fa9aace7371d0b642439ae6628f7d3c78,fa5a647b2a55a4f713424c26512c7c5314ba20cd702e2413b566af762e66144b,8df99ad2373586b547db04b330519a0c9b1cae493562d3e127add23f5790ef90,a1249472ec8e6f4ba8c6942de6a41857f7ff4d0b3cfc03f5f56fa68476ba8b32
"-200","psy_miyako_idle","-220","1","100","1.7","0","1","119931","1001","1"
"1000","psy_idle_normal","-220","1","100","1.7","1","5","1","1002","1"
"-50","psy_fairy_idle","-220","1","105","1.7","0","5","2","1003","1"
"0","","1","1","0","1","","31","11","1004","1"
"","","","1","1","0.2","","3","psy_item00_run","1005","1"
"2.5","","0","1","-220","","","2","285","1006","1"
"","","","2.5","","","","93","","1007","1"
"","","","1","1","0.2","","3","psy_item00_idle","1008","1"
"","","","0.5","","","","93","","1009","1"
"","","","119931","1","0.2","","3","psy_miyako_talk1","1010","1"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0101","1011","1"
"1","0.5","0","119931","5","0","0","11","等老奶奶買完東西回來後，\n宮子要給她看\n究極的布丁，\n讓她大吃一驚喲！","1012","1"
"","","","6","","","","93","1","1013","1"
"psy_miyako_doya_loop","","1","119931","0","0.2","0.2","3","psy_miyako_doya_in","1014","1"
"","","","1012","","","","91","","1015","1"
"","","","0","","","","22","0","1016","1"
"","","","2","1","0.2","","3","psy_fairy_talk","1017","1"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_9901","1018","1"
"1","0.5","0","2","3","0","0","11","啾啾！","1019","1"
"","","","0","","","","91","","1020","1"
"","","","2","1","0.2","","3","psy_fairy_idle","1021","1"
"","","","119931","1","0.2","","3","psy_miyako_talk2","1022","1"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0102","1023","1"
"1","0.5","0","119931","3","0","0","11","你也想幫忙嗎？\n那就去真陽那邊\n帶很多蛋和牛奶回來吧！\n材料越多越好喲！","1024","1"
"","","","2","","","","93","1","1025","1"
"","","","119931","1","0.2","","3","psy_miyako_talk_joy2","1026","1"
"","","","1024","","","","91","","1027","1"
"","","","0","","","","22","0","1028","1"
"","","","119931","1","0.2","","3","psy_miyako_idle","1029","1"
"","","","2","","","","4","1","1030","1"
"psy_fairy_run","","1","2","0","0.2","0","3","psy_fairy_run_in","1031","1"
"","","","1.3","","","","93","","1032","1"
"1","","0","2","-220","","","2","1000","1033","1"
"","","","2","","","","93","","1034","1"
"psy_miyako_doya_loop","","1","119931","0","0.2","0.2","3","psy_miyako_doya_in","1035","1"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0103","1036","1"
"1","0.5","0","119931","4","0","0","11","你也來幫宮子的忙！\n麻煩的事情全部都\n交給你喲！","1037","1"
"","","","0","","","","91","","1038","1"
"","","","0","","","","22","0","1039","1"
"0","0","0","1","1","0","0","12","11","1040","1"
"psy_item00_idle_guts","","1","1","0","0.2","0.2","3","psy_item00_talk_guts","1041","1"
"","","","2","","","","93","","1042","1"
"","","","119931","1","0.2","","3","psy_miyako_talk_joy2","1043","1"
