287e9daf30807ce9a93d79c182382376c45a8f90cae2e751df89ea32b1e8ecc3,75d7d9853c7c72a9b92a33e5ce8318daaf87a791ab54d4a347fd660447f55946,4a7c4e1017b92ee66f15bab87bda92ce29612e8271b22f0e001bca77aee0cb5c,3cb7a2493c8d30f991f502dec415d27820c10b020cce49ab63266ec3c2f52884,cee9fd2f57fd5cfc6133e028f32afa3f6bcc1b87ef50a0c9827fedbb6236de91
"1","0","2700","1","1"
"2","0","3600","1","2"
"3","0","5400","1","3"
"4","1","3600","1","1"
"5","1","5400","1","2"
"6","1","7200","1","3"
"7","0","1800","2","1"
"8","0","2700","2","2"
"9","0","3600","2","3"
"10","1","2700","2","1"
"11","1","4050","2","2"
"12","1","5400","2","3"
"13","0","1800","3","1"
"14","0","2700","3","2"
"15","0","3600","3","3"
"16","1","2700","3","1"
"17","1","4050","3","2"
"18","1","5400","3","3"
"19","0","1800","4","1"
"20","0","2700","4","2"
"21","0","3600","4","3"
"22","1","2700","4","1"
"23","1","4050","4","2"
"24","1","5400","4","3"
