fd78b4408a952d1d392f0a41d19cb02a847d3d7b31239356c61d33eed92f6420,1d2b506f5116ea0975613047a326130d5fa58087ae813a0a8e23c862c969fc26,728c9e5acef2f543dc26436e902fe929a92a8d9a92d8b4b70ab2315a62a506a2,5b883a911ef0862ae6a43fac6e58dbedaac38cbc592225c04122cd87b92b8eb9,5bb5903fba17587b179a5e35b72d11d033274862c55ec9bbfa1face0ed184739,4f0b7ac43ec2ed1bbbcc782b72b23987ce89ee1b91cfca2196813819b77bd10a,68ee519655778827b6e2edd23bb4d42583c1c7519f62370caf49ff1b434383ff,8e4184a1248908c722ee6489cd10b28d7f184bb43faf0ba2ef4f986e58b74989,14fefa3382d1df34c83a36212cc1fa11f163755d88080dca17a4d425fcf8ee55
"20021","129","5","1001","0","達成公主騎士RANK 5","1001","1","1002"
"20021","129","10","1002","0","達成公主騎士RANK 10","1002","1","1002"
"20021","129","30","1003","0","達成公主騎士RANK 30","1003","1","1002"
"20021","129","50","1004","0","達成公主騎士RANK 50","1004","1","1002"
"20021","129","100","1005","0","達成公主騎士RANK 100","1005","1","1002"
"20021","129","150","1006","0","達成公主騎士RANK 150","1006","1","1002"
"20021","129","200","1007","0","達成公主騎士RANK 200","1007","1","1002"
"20021","129","250","1007","0","達成公主騎士RANK250","1008","1","1002"
"20021","129","300","1007","0","達成公主騎士RANK300","1009","1","1002"
"20021","129","450","1007","0","達成公主騎士RANK450","1010","1","1002"
"20021","129","520","1007","0","達成公主騎士RANK520","1011","1","1002"
"20022","129","50","2001","1","讓火屬性的屬性等級提升到50","2001","2","1003"
"20022","129","100","2002","1","讓火屬性的屬性等級提升到100","2002","2","1003"
"20022","129","150","2003","1","讓火屬性的屬性等級提升到150","2003","2","1003"
"20022","129","200","2004","1","讓火屬性的屬性等級提升到200","2004","2","1003"
"20022","129","250","2005","1","讓火屬性的屬性等級提升到250","2005","2","1003"
"20022","129","300","2006","1","讓火屬性的屬性等級提升到300","2006","2","1003"
"20022","129","350","2007","1","讓火屬性的屬性等級提升到350","2007","2","1003"
"20022","129","400","2008","1","讓火屬性的屬性等級提升到400","2008","2","1003"
"20022","129","450","2009","1","讓火屬性的屬性等級提升到450","2009","2","1003"
"20022","129","500","2010","1","讓火屬性的屬性等級提升到500","2010","2","1003"
"20022","129","550","2011","1","讓火屬性的屬性等級提升到550","2011","2","1003"
"20022","129","600","2012","1","讓火屬性的屬性等級提升到600","2012","2","1003"
"20022","129","650","2013","1","讓火屬性的屬性等級提升到650","2013","2","1003"
"20022","129","700","2014","1","讓火屬性的屬性等級提升到700","2014","2","1003"
"20022","129","750","2015","1","讓火屬性的屬性等級提升到750","2015","2","1003"
"20022","129","800","2015","1","讓火屬性的屬性等級提升到800","2016","2","1003"
"20022","129","900","2015","1","讓火屬性的屬性等級提升到900","2017","2","1003"
"20022","129","1000","2015","1","讓火屬性的屬性等級提升到1000","2018","2","1003"
"20022","129","50","2001","2","讓水屬性的屬性等級提升到50","3001","3","1003"
"20022","129","100","2002","2","讓水屬性的屬性等級提升到100","3002","3","1003"
"20022","129","150","2003","2","讓水屬性的屬性等級提升到150","3003","3","1003"
"20022","129","200","2004","2","讓水屬性的屬性等級提升到200","3004","3","1003"
"20022","129","250","2005","2","讓水屬性的屬性等級提升到250","3005","3","1003"
"20022","129","300","2006","2","讓水屬性的屬性等級提升到300","3006","3","1003"
"20022","129","350","2007","2","讓水屬性的屬性等級提升到350","3007","3","1003"
"20022","129","400","2008","2","讓水屬性的屬性等級提升到400","3008","3","1003"
"20022","129","450","2009","2","讓水屬性的屬性等級提升到450","3009","3","1003"
"20022","129","500","2010","2","讓水屬性的屬性等級提升到500","3010","3","1003"
"20022","129","550","2006","2","讓水屬性的屬性等級提升到550","3011","3","1003"
"20022","129","600","2007","2","讓水屬性的屬性等級提升到600","3012","3","1003"
"20022","129","650","2008","2","讓水屬性的屬性等級提升到650","3013","3","1003"
"20022","129","700","2009","2","讓水屬性的屬性等級提升到700","3014","3","1003"
"20022","129","750","2010","2","讓水屬性的屬性等級提升到750","3015","3","1003"
"20022","129","800","2015","2","讓水屬性的屬性等級提升到800","3016","3","1003"
