dc94886c324bcf09ec7ace81a541df0b6d125a845ce48e1868a56971d39df79a,02157b374a5eda3beb48ebc33fb9aade08b2e8bab42d3ffb1f7c7063d3f102b0,b116bb8f56ad5aa86a41233d21481d6dcda6ea9663214e3a809c6266e5d8c4a0,393cdad2b6718c8cad61000bcc45314580e95e4534207b5784a29aaa48a1d1c8,e6a221b2daa3b4277d71aa430c791739eacea11bfae9be78a0e19ab3a5418acf,678a25ec061ef91a78ae723a0a8f76581220310cd2f6d1b18ca69572cd5c2eea,860ea6de35fcbba1ee54795e7970ac76bf983b07e2f851acfb9bc79cc4db8d46,b6bb24eb9dc1ff4bfcff379e05cde30eaf71176e2b60b535f251cd2dba7e9b75
"1","0","0","0","1","0","0","0"
"2","0","0","0","2","0","0","0"
"3","0","0","0","3","0","0","0"
"4","0","0","0","4","0","0","0"
"5","0","0","0","5","0","0","0"
"6","0","0","0","6","0","0","0"
"7","0","0","0","7","0","0","0"
"8","0","0","0","8","0","0","0"
"9","0","0","0","0","0","0","1"
"10","0","0","1","0","0","0","0"
"11","0","0","0","11","0","0","0"
"12","0","0","0","12","0","0","0"
"13","0","1","0","0","0","0","0"
"14","0","0","0","0","0","0","0"
"15","0","0","0","0","0","0","0"
"16","1","0","0","0","0","0","0"
"17","0","0","0","0","0","10056","0"
"18","0","0","0","0","0","0","0"
"19","0","0","0","19","0","0","0"
"20","0","0","0","0","0","10061","0"
"21","0","0","0","0","0","0","0"
"22","0","0","0","0","0","0","0"
"23","0","0","0","0","23","0","0"
"24","0","0","0","0","0","0","0"
"25","0","0","0","25","0","0","0"
"26","0","0","0","0","0","10088","0"
"27","0","0","0","0","0","10102","0"
"28","0","0","0","28","0","0","0"
"29","0","0","0","0","0","30001","0"
"30","0","0","0","30","0","0","0"
