9c4a745179db891553497aa11320121197a843a86039379f53ea7da9bde2adad,234328de4639f070993838047677e7107c5f7cce19ce9b94dfac48530278cc0b,e8da67c17d0e382959f72744ce7538b74268969c5d86d534f26edde3c4dbf4a0,75a93404f0bf677729cfbc19cd99aa87373518bb7c9e7bee945db6d785d1e943,07a68baba4f5d1a495c0448e3432a6f9fbd8a79b2eddf09744db6a66ef03dd83,36f49fe5077beec08ffe795d9215dc3b85cc5710c2f0fd60a3a21dbcfb301b1e,afe1c20e121f34b410fc79a216606dad3373dc42a9663578ed17c178c27e1332,637a0e2583e7597fe5540ebcc468a29e3c09ceef00b4a78feebcdaa053b7348e,f1c9148062b8dbffaf9878292ffbf22fdd22b5b408ebec677fb0fd2af2c429f1,639f9ff47834cf2f9662dad52e439d56d4ccdb31946a2c38f66be742781b1470,40510e3db2e5570678513f7438bfed737b914f55154621f54e396bca94e18a86
"10006","0","50079","0","0","0","10005","10002","10003","0","10001"
"10006","0","50084","0","0","10007","10005","10002","10003","0","10001"
"10006","10008","50094","0","0","10007","10005","10002","10003","0","10001"
"10006","10008","50108","10009","0","10007","10005","10002","10003","0","10001"
"10006","10008","50116","10009","0","10007","10005","10002","10003","0","10001"
"10006","10008","50119","10009","0","10007","10005","10002","10003","10010","10001"
"10006","10008","50129","10009","0","10007","10005","10002","10003","10010","10001"
"10006","10008","50140","10009","10011","10007","10005","10002","10003","10010","10001"
"10007","10009","50151","10010","10012","10008","10006","10003","10005","10011","10002"
"10013","0","50162","0","0","0","10012","10010","10011","0","10009"
"10014","0","50172","0","0","0","10013","10011","10012","0","10010"
"10015","0","50183","0","0","0","10014","10012","10013","0","10011"
"10005","0","50190","0","0","0","10007","10014","10015","0","10013"
"10016","0","50195","0","0","0","10015","10013","10014","0","10012"
"10002","0","50200","0","0","0","10003","10015","10016","0","10014"
"10017","0","50217","0","0","0","10016","10014","10015","0","10013"
"10009","0","50231","0","0","0","10010","10016","10017","0","10015"
"10018","0","50237","0","0","0","10017","10015","10016","0","10014"
"0","0","50248","0","0","0","0","0","0","0","10019"
"0","0","50261","0","0","0","0","0","0","0","10011"
"0","0","50267","0","0","0","0","0","0","0","10020"
"0","0","50278","0","0","0","0","0","0","0","10021"
"0","0","50291","0","0","0","0","0","0","0","10006"
"0","0","50298","0","0","0","0","0","0","0","10022"
"0","0","50309","0","0","0","0","0","0","0","10023"
"0","0","50321","0","0","0","0","0","0","0","10024"
"0","0","50331","0","0","0","0","0","0","0","10025"
"0","0","50341","0","0","0","0","0","0","0","10026"
