4d6fd0b17fee33bb57452817eb29e7349f69a55035e698701703d30d2aa2b4ab,70bc5e289bbd2a1e1196aa626f6da041afbd339f04403caaa6e474e3eb2d49e7,f894852e8dcd449081c5d161a7f4aae3e3b8699f0b2bd7e2b57e4051638e1ffb,bb20310b2efae45e631b47922e362ba5329c377a3897cf62926e9a96d1da8a22
"2","1061001","1061002","1061101"
"2","1061001","1061003","1061102"
"2","1061001","1061012","1061111"
"2","1067001","1067001","1067101"
"2","1068001","1068001","1068103"
"2","1068001","1068002","1068101"
"2","1068001","1068003","1068102"
"2","1068001","1068012","1068111"
"2","1069001","1069001","1069101"
"1","1158001","1158001","1158100"
"2","1158001","1158002","1158101"
"2","1158001","1158003","1158102"
"2","1158001","1158012","1158111"
"2","1158001","1158203","1158102"
"2","1164001","1164001","1164101"
"2","1182001","1182001","1182101"
"2","1185001","1185001","1185101"
"2","1186001","1186001","1186101"
"2","1208001","1208002","1208101"
"2","1208001","1208012","1208111"
"2","1220001","1220001","1220101"
"2","1223001","1223002","1223101"
"2","1223001","1223003","1223102"
"1","1223001","1223011","1223110"
"2","1223001","1223012","1223111"
"2","1227001","1227001","1227101"
"2","1230001","1230001","1230101"
"2","1250001","1250002","1250101"
"2","1250001","1250003","1250102"
"2","1250001","1250012","1250111"
"2","1258001","1258001","1258101"
"2","1260001","1260001","1260101"
"2","1261001","1261001","1261101"
"2","1262001","1262001","1262101"
"2","1264001","1264001","1264103"
"2","1264001","1264002","1264101"
"2","1264001","1264003","1264102"
"2","1265001","1265001","1265101"
"2","1290001","1290001","1290101"
"2","1293001","1293001","1293101"
"2","1294001","1294001","1294101"
"2","1295001","1295001","1295101"
"2","1296001","1296001","1296101"
"2","1297001","1297001","1297101"
"2","1300001","1300001","1300101"
"2","1301001","1301001","1301101"
"2","1312001","1312001","1312101"
"2","1318001","1318001","1318101"
"2","1320001","1320001","1320101"
"1","1321001","1321001","1321100"
"2","1321001","1321002","1321101"
"2","1321001","1321003","1321102"
"2","1329001","1329001","1329101"
"2","1338003","1338001","1338101"
"2","1338003","1338002","1338102"
"2","1812001","1812001","1812101"
"2","4319012","4319012","4319101"
