ed5696f874a6b936de3a34c363b3d06515b25c2a338e25d2434d79fe1f92a038,3fce26d6e113c63fbe49e375ac4959da133bcf75bf4c53d8178a62a54d2fe78c,4b7ffe77c2149edde3560a5e73d886bdc28ee11999057a85baf7d13fa2bc61d2,dd06fdf4ea4bdd7f079d265700f30192b4be017ad8cb676e06506d8e97829f1a,f0a8d1e6499511c5033412ed759640075d4712ae4e49a4ded4e29220e9b60c82,6241bf952e817acb48dc03f187e38875756800b49f0727887ecc961517f91c35,86031a07567afe1febcc2f7446ce3a94583371a859a2e44887dcfb89ff8a73c3,a0ef354122e8f1ba9498dc6aabff3d33df031275533f8b2222900e3e10203fe3,4a23ca005eed16217051cb229a872c34e730fc150cc86867a128568eb0f476bf,4eab4926774273506a2f3bc6710246a8879101c3d4f2322209858ca7932ecd85,993c0325240c4c803b43fed05cbb3ee2740bcf0ceed7e3d176eba232e583ab50,3f3f4fc7118864445768f5f0ada8fde0ccf69f28bdcaa3b11420cba7a985bf72,c18b90bde03b1af6d1443dbb4052709e7a54986795fa9a5eb73be0faf10b93bd,8227db7a0735fe61b45bb5d0999e123eb565d43bb265ab3364c3be2e0445ca66,99e71d68257049447bf6aa1d145ce6bbb968ab200a1ff9f2e124594ef329ab55
"81010001","2019/06/21 15:59:59","10010","0","0","2019/06/03 16:00:00","3","6011","103","9001","0","0","打倒優衣、怜、日和的闇影","81010001","601"
"81010002","2019/06/21 15:59:59","10010","0","0","2019/06/03 16:00:00","36","6011","104","9014","0","0","消滅 36 個煩惱","81010002","601"
"81010003","2019/06/21 15:59:59","10010","0","0","2019/06/03 16:00:00","72","6011","105","9014","0","0","消滅 72 個煩惱","81010003","601"
"81010004","2019/06/21 15:59:59","10010","0","0","2019/06/03 16:00:00","108","6011","106","9014","0","0","消滅 108 個煩惱","81010004","601"
"81010005","2019/06/21 15:59:59","10010","0","0","2019/06/03 16:00:00","500000","6011","111","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 1080000","81010005","601"
"81010006","2019/06/21 15:59:59","10010","0","0","2019/06/03 16:00:00","1040000","6011","113","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 540000","81010006","601"
"81010007","2019/06/21 15:59:59","10010","0","0","2019/06/03 16:00:00","1580000","6011","115","9013","0","0","將特別戰鬥的 Boss 消滅","81010007","601"
"81011001","2019/07/18 15:59:59","10011","0","0","2019/07/01 16:00:00","500000","6011","103","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 5000000","81011001","601"
"81011002","2019/07/18 15:59:59","10011","0","0","2019/07/01 16:00:00","1500000","6011","104","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 4000000","81011002","601"
"81011003","2019/07/18 15:59:59","10011","0","0","2019/07/01 16:00:00","1650000","6011","105","9013","0","0","完成特別戰鬥的模式1","81011003","601"
"81011004","2019/02/18 14:59:59","10011","0","0","2019/01/31 12:00:00","3500000","6011","106","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 2000000","81011004","601"
"81011005","2019/02/18 14:59:59","10011","0","0","2019/01/31 12:00:00","3300000","6011","111","9013","0","0","完成特別戰鬥的模式2","81011005","601"
"81011006","2019/07/18 15:59:59","10011","0","0","2019/07/01 16:00:00","4600000","6011","113","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 900000","81011006","601"
"81011007","2019/07/18 15:59:59","10011","0","0","2019/07/01 16:00:00","5500000","6011","115","9013","0","0","將特別戰鬥的 Boss 消滅","81011007","601"
"81012001","2019/08/03 15:59:59","10012","0","0","2019/07/17 16:00:00","4","6011","103","9001","0","0","打倒香織、真琴、真步、霞的闇影","81012001","601"
"81012002","2019/08/03 15:59:59","10012","0","0","2019/07/17 16:00:00","450000","6011","104","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 2700000","81012002","601"
"81012003","2019/08/03 15:59:59","10012","0","0","2019/07/17 16:00:00","1050000","6011","105","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 2100000","81012003","601"
"81012004","2019/08/03 15:59:59","10012","0","0","2019/07/17 16:00:00","1543500","6011","106","9013","0","0","完成特別戰鬥的模式2","81012004","601"
"81012005","2019/08/03 15:59:59","10012","0","0","2019/07/17 16:00:00","2150000","6011","111","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 1000000","81012005","601"
"81012006","2019/08/03 15:59:59","10012","0","0","2019/07/17 16:00:00","2650000","6011","113","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 500000","81012006","601"
"81012007","2019/08/03 15:59:59","10012","0","0","2019/07/17 16:00:00","3150000","6011","115","9013","0","0","將特別戰鬥的 Boss 消滅","81012007","601"
"81013001","2019/08/19 15:59:59","10013","0","0","2019/08/01 16:00:00","3","6011","103","9001","0","0","打倒貪吃佩可、可可蘿、凱留的闇影","81013001","601"
"81013002","2019/08/19 15:59:59","10013","0","0","2019/08/01 16:00:00","300000","6011","104","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 2700000","81013002","601"
"81013003","2019/08/19 15:59:59","10013","0","0","2019/08/01 16:00:00","900000","6011","105","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 2100000","81013003","601"
"81013004","2019/08/19 15:59:59","10013","0","0","2019/08/01 16:00:00","1500000","6011","106","9013","0","0","完成特別戰鬥的模式2","81013004","601"
"81013005","2019/08/19 15:59:59","10013","0","0","2019/08/01 16:00:00","2000000","6011","111","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 1000000","81013005","601"
"81013006","2019/08/19 15:59:59","10013","0","0","2019/08/01 16:00:00","2500000","6011","113","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 500000","81013006","601"
"81013007","2019/08/19 15:59:59","10013","0","0","2019/08/01 16:00:00","3000000","6011","115","9013","0","0","將特別戰鬥的 Boss 消滅","81013007","601"
"81015001","2019/09/18 15:59:59","10015","0","0","2019/09/03 16:00:00","3","6011","103","9001","0","0","打倒莫妮卡、步未、雪的闇影","81015001","601"
"81015002","2019/09/18 15:59:59","10015","0","0","2019/09/03 16:00:00","300000","6011","104","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 1200000","81015002","601"
"81015003","2019/09/18 15:59:59","10015","0","0","2019/09/03 16:00:00","500000","6011","105","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 1000000","81015003","601"
"81015004","2019/09/18 15:59:59","10015","0","0","2019/09/03 16:00:00","750000","6011","106","9013","0","0","完成特別戰鬥的模式2","81015004","601"
"81015005","2019/09/18 15:59:59","10015","0","0","2019/09/03 16:00:00","1100000","6011","111","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 400000","81015005","601"
"81015006","2019/09/18 15:59:59","10015","0","0","2019/09/03 16:00:00","1300000","6011","113","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 200000","81015006","601"
"81015007","2019/09/18 15:59:59","10015","0","0","2019/09/03 16:00:00","1500000","6011","115","9013","0","0","將特別戰鬥的 Boss 消滅","81015007","601"
"81017001","2019/10/18 15:59:59","10017","0","0","2019/10/01 16:00:00","2","6011","103","9001","0","0","打倒雷姆與拉姆的闇影","81017001","601"
"81017002","2019/10/18 15:59:59","10017","0","0","2019/10/01 16:00:00","300000","6011","104","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 2850000","81017002","601"
"81017003","2019/10/18 15:59:59","10017","0","0","2019/10/01 16:00:00","900000","6011","105","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 2250000","81017003","601"
"81017004","2019/10/18 15:59:59","10017","0","0","2019/10/01 16:00:00","1500000","6011","106","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 1650000","81017004","601"
"81017005","2019/10/18 15:59:59","10017","0","0","2019/10/01 16:00:00","2000000","6011","111","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 1150000","81017005","601"
"81017006","2019/10/18 15:59:59","10017","0","0","2019/10/01 16:00:00","2500000","6011","113","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 650000","81017006","601"
"81017007","2019/10/18 15:59:59","10017","0","0","2019/10/01 16:00:00","3000000","6011","115","9013","0","0","將特別戰鬥的 Boss 的 HP 降低至 150000","81017007","601"
"81017008","2019/10/18 15:59:59","10017","5","0","2019/10/01 16:00:00","1","6011","118","9015","0","0","在5次以內，討伐EXHIBITION或特別戰鬥的BOSS","81017008","601"
