6d94274c14b4d897d1d04c84e1c7eae5cf17ba29a9fdd4d2dcb23b8a8e8eda96,d99c0cf50dfe26ffa9d45e784b2bbdfb77bab959e74a32464120e0503cd38cb6,e7eb7a2d9f1d03f2bd84ae3d4cad2f47245f2c24165f8b1015a9932884ff1758,a6adc01f15a9fa8c758cbfdc94abc7538a7873001c8ff422d5b141196b57a3b9,04b8950d29c867b7bb42079722b7c1b0b29658dfdb2dcf053a09bad169f214e1,a1d8e3a029c8995b7c65563db92acd2dced48381edae1f7f1939c8be47cc91e5,0f4bed934a3a72723ccaaa2b8e59da40a854a0b9e3c1692e9fbe949c7519a64a,1e8e8c5e8e3c523703fc909b6d7d65f91ead6e05caddc6af1bd95b92ef77cdae,8d7143aa7f5ca934b8a616b31aa53fae4f12f82a386e7018af2a7b87ed7345fd,74a5f065e32107087ffd89a919436c4cd220799e082e5e38175a0709d27c69d5,0abcce5a381eb9e76bf5458e59017b0b59b28dc31129999d90b9406ddccde0a4
"1","0","1","110","250","歐姆蛋","8","1","10101","1010100","0"
"1","0","1","110","222","歐姆蛋","9","1","10101","1010101","0"
"1","0","1","110","200","歐姆蛋","10","1","10101","1010102","0"
"2","0","1","110","400","歐姆蛋","9","1","10102","1010200","0"
"2","0","1","110","367","歐姆蛋","10","1","10102","1010201","0"
"2","0","1","110","338","歐姆蛋","11","1","10102","1010202","0"
"3","0","1","110","640","歐姆蛋","10","1","10103","1010300","0"
"3","0","1","110","597","歐姆蛋","11","1","10103","1010301","0"
"3","0","1","110","560","歐姆蛋","12","1","10103","1010302","0"
"1","0","1","115","275","餃子","9","2","10201","1020100","0"
"1","0","1","115","248","餃子","10","2","10201","1020101","0"
"1","0","1","115","225","餃子","11","2","10201","1020102","0"
"2","0","1","115","440","餃子","10","2","10202","1020200","0"
"2","0","1","115","406","餃子","11","2","10202","1020201","0"
"2","0","1","115","377","餃子","12","2","10202","1020202","0"
"3","0","1","115","704","餃子","11","2","10203","1020300","0"
"3","0","1","115","660","餃子","12","2","10203","1020301","0"
"3","0","1","115","621","餃子","13","2","10203","1020302","0"
"1","0","1","100","200","章魚燒","8","3","10301","1030100","0"
"1","0","1","100","175","章魚燒","9","3","10301","1030101","0"
"1","0","1","100","156","章魚燒","10","3","10301","1030102","0"
"2","0","1","100","320","章魚燒","9","3","10302","1030200","0"
"2","0","1","100","291","章魚燒","10","3","10302","1030201","0"
"2","0","1","100","267","章魚燒","11","3","10302","1030202","0"
"3","0","1","100","512","章魚燒","10","3","10303","1030300","0"
"3","0","1","100","475","章魚燒","11","3","10303","1030301","0"
"3","0","1","100","444","章魚燒","12","3","10303","1030302","0"
"1","0","1","115","225","飯糰","9","4","10401","1040100","0"
"1","0","1","115","200","飯糰","10","4","10401","1040101","0"
"1","0","1","115","180","飯糰","11","4","10401","1040102","0"
"2","0","1","115","360","飯糰","10","4","10402","1040200","0"
"2","0","1","115","330","飯糰","11","4","10402","1040201","0"
"2","0","1","115","305","飯糰","12","4","10402","1040202","0"
"3","0","1","115","576","飯糰","11","4","10403","1040300","0"
"3","0","1","115","538","飯糰","12","4","10403","1040301","0"
"3","0","1","115","504","飯糰","13","4","10403","1040302","0"
"1","0","1","150","300","沙威瑪","10","5","10501","1050100","0"
"1","0","1","150","273","沙威瑪","11","5","10501","1050101","0"
"1","0","1","150","250","沙威瑪","12","5","10501","1050102","0"
"2","0","1","150","480","沙威瑪","11","5","10502","1050200","0"
"2","0","1","150","446","沙威瑪","12","5","10502","1050201","0"
"2","0","1","150","416","沙威瑪","13","5","10502","1050202","0"
"3","0","1","150","768","沙威瑪","12","5","10503","1050300","0"
"3","0","1","150","723","沙威瑪","13","5","10503","1050301","0"
"3","0","1","150","683","沙威瑪","14","5","10503","1050302","0"
"1","0","2","60","160","輪胎（特大）","0","1","20101","2010100","0"
"2","0","2","60","256","輪胎（特大）","0","1","20102","2010200","0"
"3","0","2","60","410","輪胎（特大）","0","1","20103","2010300","0"
"1","0","2","45","145","輪胎（大）","0","2","20201","2020100","0"
"2","0","2","45","232","輪胎（大）","0","2","20202","2020200","0"
"3","0","2","45","371","輪胎（大）","0","2","20203","2020300","0"
"1","0","2","30","120","輪胎（中）","0","3","20301","2030100","0"
