a9e8fefd64929464acf83baba31cd2bd54bdb5ec441ccd95dba18eb2bb30c521,896f07871453e5fe51eeaa000046c7cfd43f376801731bd24ab2898fa9feeebf,bcf396922b5173ec304ea0f3dbbf6b19763b71b09f79b35c5f28ea7285d96709,5d4924ae45ae8457e4861859a98e7b8b7afa06d89eea88a9abae7b61bd55414e,ac78831bf481ff09a42969f1b5921f58106389bf341d0ba147823ef38f57fd8a,ead15ed48c3692b578b5cfcd541cebb37160ff3b1a02da1b386ad096ca306060,1c6038790a1011f568ae74fc9bccb2e2444a1d67ba3c47d63cb26e7e8494f4b3,546afd2304208a6908d1552530f7bb04938f1652760074fa393bf257f2822855,9cdd20ea2f8eee2277adc77a949d98e018d86de2933411cb513d0e683a08fb38,bf1ea23181196344320306b45287b05c77bcce7452db9f6bea6c2f95e4d42d90,2cecf93673f929fbfbd80ac005597a55106fc1e4111044e8333feec5a0f2ffff,cdefb02cb66d2c3fbda4441f6aa74af4e3f937922f0d60e652aef50dd5c460c3
"1","0","0","0","0","1010001","1","4","0","1","0","3"
"1","0","0","vo_minigame_1005_nikki01_000","0","1010002","2","2","vo_minigame_1005","0","0","0"
"1","202","1.418","0","0","1010003","3","1","0","0","1","0"
"1","0","0","0","0","1010004","4","4","0","1.858","0","1"
"1","316","2.536","0","0","1010005","5","1","0","0","2","0"
"1","0","0","0","0","1010006","6","4","0","3.484","0","1"
"1","0","0","vo_minigame_1005_nikki01_001","0","1010007","7","2","vo_minigame_1005","0","0","0"
"1","183","1.131","0","0","1010008","8","1","0","0","3","0"
"1","0","0","0","0","1010009","9","4","0","1.407","0","1"
"1","318","1.043","0","183","1010010","10","1","0","0","3","0"
"1","0","0","0","0","1010011","11","4","0","1.719","0","1"
"1","389","0.69","0","318","1010012","12","1","0","0","3","0"
"1","0","0","0","0","1010013","13","4","0","0.69","0","1"
"1","244","1.694","0","0","1010014","14","1","0","0","4","0"
"1","0","0","0","0","1010015","15","4","0","2.204","0","1"
"1","384","1.298","0","244","1010016","16","1","0","0","4","0"
"1","0","0","0","0","1010017","17","4","0","1.298","0","1"
"1","67","1.118","0","0","1010018","18","1","0","0","5","0"
"1","0","0","0","0","1010019","19","4","0","1.199","0","1"
"1","103","0.958","0","67","1010020","20","1","0","0","5","0"
"1","0","0","0","0","1010021","21","4","0","1.269","0","1"
"1","394","1.373","0","103","1010022","22","1","0","0","5","0"
