b05e4cd2e914f385191fd644009b5827253488b8af3eb6890dde99da8fc77d81,9851383c7dc2ec4f9a53385b6e1d45b679f1220e7809e8cb125a00aa08f2fc6f,0e8b624afd1e894e9b6bfe3cd6a66cd07b9876a52739c9bd24fc0043c044fc59,62e4e917a35baec1521a21007ac5b8ce7e2b01bc671fdd9c8e154ec2d9fc76f6,d6b7668e98d52e46e570148c9beb1a0e2643427dd9a4d669abf67436521d00d8,1a7c7875667fe09f84713adcb69f13459d0e1ba771d665a31a22928480b90a8c
"0","0","100","1","10010","610010501"
"0","0","250","1","10010","610010502"
"0","0","450","1","10010","610010503"
"6","4","440","2","10010","610010601"
"3","3","300","2","10010","610010602"
"1","2","140","2","10010","610010603"
"1","1","20","2","10010","610010605"
"0","0","80","1","10012","610012501"
"0","0","180","1","10012","610012502"
"0","0","280","1","10012","610012503"
"0","0","380","1","10012","610012504"
"0","0","-500","1","10013","610013501"
"0","0","-400","1","10013","610013502"
"0","0","-300","1","10013","610013503"
"0","0","0","1","10015","610015501"
"0","0","10","1","10015","610015502"
"0","0","20","1","10015","610015503"
"0","0","-180","1","10017","610017501"
"0","0","-80","1","10017","610017502"
"1","1","20","2","10021","610021501"
"1","2","140","2","10021","610021502"
"1","3","300","2","10021","610021503"
"0","0","-120","1","10025","610025501"
"0","0","-10","1","10025","610025502"
"0","0","30","1","10025","610025503"
"0","0","-220","1","10027","610027502"
"0","0","10","1","10027","610027503"
"0","0","800","1","10027","610027504"
"0","0","100","1","10027","610027505"
"0","0","-120","1","10029","610029501"
"0","0","-10","1","10029","610029502"
"0","0","30","1","10029","610029503"
"0","0","-120","1","10031","610031501"
"0","0","-40","1","10031","610031502"
"0","0","10","1","10031","610031503"
"0","0","50","1","10031","610031504"
"0","0","-120","1","10033","610033501"
"0","0","-10","1","10033","610033502"
"0","0","30","1","10033","610033503"
"0","0","-80","1","10033","610033504"
"0","0","10","1","10035","610035501"
"0","0","-120","1","10035","610035502"
"0","0","90","1","10035","610035503"
"0","0","-220","1","10035","610035601"
"0","0","10","1","10035","610035602"
"0","0","100","1","10035","610035603"
"0","0","800","1","10035","610035604"
"0","0","80","1","10037","610037501"
"0","0","180","1","10037","610037502"
"0","0","280","1","10037","610037503"
"0","0","380","1","10037","610037504"
"0","0","-120","1","10038","610038501"
"0","0","-40","1","10038","610038502"
"0","0","10","1","10038","610038503"
"0","0","50","1","10038","610038504"
"0","0","-500","1","10039","610039501"
"0","0","-400","1","10039","610039502"
"0","0","-300","1","10039","610039503"
"0","0","-205","1","10040","610040501"
"0","0","122","1","10040","610040502"
"0","0","25","1","10040","610040503"
"0","0","295","1","10040","610040504"
"0","0","0","1","10041","610041501"
"0","0","10","1","10041","610041502"
"0","0","20","1","10041","610041503"
"0","0","-120","2","10042","610042501"
"0","0","-40","2","10042","610042502"
"0","0","10","2","10042","610042503"
"1","1","20","2","10045","610045501"
"1","2","140","2","10045","610045502"
"1","3","300","2","10045","610045503"
"0","0","-275","1","10046","610046404"
"0","0","-45","1","10046","610046405"
"0","0","115","1","10046","610046406"
"0","0","175","1","10046","610046407"
"0","0","-150","2","10048","610048601"
"0","0","-145","2","10048","610048602"
"0","0","-120","1","10049","610049501"
"0","0","-10","1","10049","610049502"
"0","0","30","1","10049","610049503"
"1","1","20","1","10050","610050404"
"1","2","140","1","10050","610050405"
"1","3","300","1","10050","610050406"
"0","0","-220","1","10051","610051502"
"0","0","10","1","10051","610051503"
"0","0","100","1","10051","610051505"
"0","1","20","1","10052","610052401"
"0","2","140","1","10052","610052402"
"0","3","300","1","10052","610052403"
"0","0","-180","1","10053","610053501"
"0","0","-80","1","10053","610053502"
"0","0","-180","2","10054","610054501"
"0","0","20","2","10054","610054502"
"0","0","150","2","10054","610054503"
"0","0","-120","1","10055","610055501"
"0","0","-10","1","10055","610055502"
"0","0","30","1","10055","610055503"
"0","0","-120","1","10057","610057501"
"0","0","-40","1","10057","610057502"
"0","0","10","1","10057","610057503"
"0","0","50","1","10057","610057504"
"1","1","20","1","10058","610058501"
"1","2","140","1","10058","610058502"
"1","3","300","1","10058","610058503"
"0","0","200","1","10058","610058601"
"0","0","-200","1","10058","610058602"
"0","0","40","2","10059","610059501"
"0","0","-15","2","10059","610059502"
"0","0","-90","2","10059","610059503"
"0","0","200","2","10059","610059504"
"0","0","-120","1","10060","610060501"
"0","0","-10","1","10060","610060502"
"0","0","30","1","10060","610060503"
"0","0","-80","1","10060","610060504"
"0","0","-200","1","10061","610061501"
"0","0","-80","1","10061","610061502"
"0","0","100","1","10061","610061503"
"0","0","10","1","10174","610062501"
"0","0","-120","1","10174","610062502"
"0","0","90","1","10174","610062503"
"0","0","-220","1","10174","610062601"
"0","0","100","1","10174","610062603"
"0","0","150","1","10174","610062604"
"0","0","-120","1","10065","610065501"
"0","0","-40","1","10065","610065502"
"0","0","10","1","10065","610065503"
"0","0","50","1","10065","610065504"
"0","0","-220","2","10066","610066501"
"0","0","60","2","10066","610066502"
"0","0","89","2","10066","610066503"
"0","0","-205","1","10067","610067501"
"0","0","122","1","10067","610067502"
"0","0","25","1","10067","610067503"
"0","0","295","1","10067","610067504"
"0","0","-180","2","10068","610068501"
"0","0","20","2","10068","610068502"
"0","0","150","2","10068","610068503"
"0","0","-170","2","10069","610069501"
"0","0","-80","2","10069","610069502"
"0","0","120","2","10069","610069503"
"0","0","350","2","10070","610070506"
"0","0","250","2","10070","610070507"
"0","0","250","1","10070","610070640"
"0","0","350","1","10070","610070641"
"0","0","700","1","10070","610070642"
"0","0","800","1","10070","610070643"
"1","1","20","1","10072","610072501"
"1","2","140","1","10072","610072502"
"1","3","300","1","10072","610072503"
"0","0","-180","2","10072","610072601"
"0","0","-145","2","10072","610072602"
"0","0","80","2","10072","610072603"
"0","0","-275","1","10073","610073404"
"0","0","-45","1","10073","610073405"
"0","0","115","1","10073","610073406"
"0","0","175","1","10073","610073407"
"0","0","250","1","10074","610074501"
"0","0","380","1","10074","610074502"
"0","0","-100","1","10074","610074503"
"0","0","480","1","10074","610074504"
"1","1","20","2","10074","610074601"
"1","2","140","2","10074","610074602"
"1","3","300","2","10074","610074603"
"0","0","-150","2","10075","610075601"
"0","0","-145","2","10075","610075602"
"0","0","-180","2","10076","610076601"
"0","0","-145","2","10076","610076602"
"0","0","150","2","10076","610076603"
"1","1","20","1","10077","610077404"
"1","2","140","1","10077","610077405"
"1","3","300","1","10077","610077406"
"0","1","20","1","10079","610079401"
"0","2","140","1","10079","610079402"
"0","3","300","1","10079","610079403"
"0","0","-220","2","10080","610080601"
"0","0","-110","2","10080","610080602"
"0","0","0","2","10080","610080603"
"0","0","-180","2","10081","610081501"
"0","0","20","2","10081","610081502"
"0","0","150","2","10081","610081503"
"1","0","20","1","10082","610082501"
"1","0","140","1","10082","610082502"
"1","0","300","1","10082","610082503"
"0","0","-120","1","10083","610083501"
"0","0","-10","1","10083","610083502"
"0","0","30","1","10083","610083503"
"0","0","-150","1","10084","610084601"
"0","0","250","1","10084","610084602"
"0","0","50","1","10084","610084603"
"0","0","450","1","10084","610084604"
"1","1","-15","2","10084","610084701"
"1","2","40","2","10084","610084702"
"1","3","-70","2","10084","610084703"
"1","4","40","2","10084","610084704"
"1","5","-15","2","10084","610084705"
"1","6","-70","2","10084","610084706"
"1","7","40","2","10084","610084707"
