586cadd74f9f51c6d6181925ab6ae7fa96ea0da21fa4fbbc0fcc933b9a2de0bf,1f146b7f81b207a565c4cef42901de5e78e9e3e3bea4841ebd251373830659ff,08ec45b7da51527fdbf6f53525987b23245cec23fdc0e17554048f04e0978249,5e43b83bf30e9be64ce8b082716e429fb9b5f54ef958daeede02d3d3dda803ef,b4f501dbd4f6239f0237fe058a529bbbda8386fb7a3662e722941337d062260c,823db228ff8aca7810a8374862ff534f122606276d859609dcf218972bb37017,f23255806a9a26cf5a7880ffe3cdb4bd061c6e807b6568f688e03fe0a36e1291,0e1c43948ca3063c2614e295cbb9812369ee4b66aba06282d3e910d882f6a606,e2fde2d8c70ec5b2eadef1af79a21846c47ab84f34fa84e21eb151ac5dc864df,2c60e5bbd4f3bf62c0136f0ab6d059ce5084069ee8b969655ccc974354319422,23b1748a43c64fa1bc3c22d14a517c179f0d41457815081bcc9ac479240edd3b,88f252c66937525e817359d8cb2af6e28d5a318be5491256183644871ea8071b
"1004","107601","0","2018/12/01 16:00:00","2018/12/20 15:59:59","1","0","10004","5004401","107601","0","0"
"1002","1000403","1","2018/12/01 16:00:00","2018/12/20 15:59:59","2","0","10004","5004402","107601","0","0"
"1001","10","0","2018/12/01 16:00:00","2018/12/20 15:59:59","3","0","10004","5004403","107701","0","0"
"1001","20","0","2018/12/01 16:00:00","2018/12/20 15:59:59","4","0","10004","5004404","107501","0","0"
"1001","30","0","2018/12/01 16:00:00","2018/12/20 15:59:59","5","0","10004","5004405","107601","0","0"
"1003","2","0","2018/12/01 16:00:00","2018/12/20 15:59:59","6","0","10004","5004406","107501","0","0"
"1003","5","0","2018/12/01 16:00:00","2018/12/20 15:59:59","7","0","10004","5004407","107601","0","0"
"1003","8","0","2018/12/01 16:00:00","2018/12/20 15:59:59","8","0","10004","5004408","107801","0","0"
"1003","12","0","2018/12/01 16:00:00","2018/12/20 15:59:59","9","0","10004","5004409","107701","0","0"
"1003","16","0","2018/12/01 16:00:00","2018/12/20 15:59:59","10","0","10004","5004410","107501","0","0"
"1003","20","0","2018/12/01 16:00:00","2018/12/20 15:59:59","11","0","10004","5004411","107601","0","0"
"1004","108001","0","2019/01/03 16:00:00","2019/01/22 15:59:59","12","0","10005","5005401","108001","0","0"
"1002","1000503","1","2019/01/03 16:00:00","2019/01/22 15:59:59","13","0","10005","5005402","107901","0","0"
"1001","10","0","2019/01/03 16:00:00","2019/01/22 15:59:59","14","0","10005","5005403","108001","0","0"
"1001","20","0","2019/01/03 16:00:00","2019/01/22 15:59:59","15","0","10005","5005404","107901","0","0"
"1001","30","0","2019/01/03 16:00:00","2019/01/22 15:59:59","16","0","10005","5005405","108001","0","0"
"1003","2","0","2019/01/03 16:00:00","2019/01/22 15:59:59","17","0","10005","5005406","107901","0","0"
"1003","5","0","2019/01/03 16:00:00","2019/01/22 15:59:59","18","0","10005","5005407","108001","0","0"
"1003","8","0","2019/01/03 16:00:00","2019/01/22 15:59:59","19","0","10005","5005408","107901","0","0"
"1003","12","0","2019/01/03 16:00:00","2019/01/22 15:59:59","20","0","10005","5005409","108001","0","0"
"1003","16","0","2019/01/03 16:00:00","2019/01/22 15:59:59","21","0","10005","5005410","107901","0","0"
"1003","20","0","2019/01/03 16:00:00","2019/01/22 15:59:59","22","0","10005","5005411","108001","0","0"
"1002","1000603","1","2019/02/01 12:00:00","2019/02/19 15:59:59","23","0","10006","5006402","103701","0","0"
"1001","10","0","2019/02/01 12:00:00","2019/02/19 15:59:59","24","0","10006","5006403","100501","0","0"
"1001","20","0","2019/02/01 12:00:00","2019/02/19 15:59:59","25","0","10006","5006404","103701","0","0"
"1001","30","0","2019/02/01 12:00:00","2019/02/19 15:59:59","26","0","10006","5006405","104701","0","0"
"1003","2","0","2019/02/01 12:00:00","2019/02/19 15:59:59","27","0","10006","5006406","100501","0","0"
"1003","5","0","2019/02/01 12:00:00","2019/02/19 15:59:59","28","0","10006","5006407","103701","0","0"
"1003","8","0","2019/02/01 12:00:00","2019/02/19 15:59:59","29","0","10006","5006408","104701","0","0"
"1003","12","0","2019/02/01 12:00:00","2019/02/19 15:59:59","30","0","10006","5006409","107101","0","0"
"1003","16","0","2019/02/01 12:00:00","2019/02/19 15:59:59","31","0","10006","5006410","100501","0","0"
"1003","19","0","2019/02/01 12:00:00","2019/02/19 15:59:59","32","0","10006","5006411","104701","0","0"
