2410aa387dc18f8a644771357fe3b07fb14d4d72f7189c1079e73172a0b1ba94,d26e8001f779822d033d4d108b3eee4c9e74dbbec83a3b7c864ef464d51cf730,4e4aad7e66ed0793f251a71248e60aea3dd567eeb1b01099613567e09610cc76,2a672b096cff4a467336f77139570a2e69c35448e8cbf9eefda9a8641b27a741,caf2e038d70fb9bc33f9e535599dfec6fb4d117ddeb9b9c8d8d3aaff05aa865a
"31058","10","9105801","2","1"
"31020","10","9102001","2","2"
"31002","10","9100201","2","3"
"31055","10","9105501","2","4"
"31016","10","9101601","2","5"
"31124","10","9112401","2","6"
"31044","10","9104401","2","7"
"31023","10","9102301","2","8"
"31059","10","9105901","2","9"
"31042","10","9104201","2","10"
"31040","10","9104001","2","11"
"31021","10","9102101","2","12"
"31063","10","9106301","2","13"
"31065","10","9106501","2","14"
"31009","10","9100901","2","15"
"31017","10","9101701","2","16"
"31056","10","9105601","2","17"
"31053","10","9105301","2","18"
"31027","10","9102701","2","19"
"31108","10","9110801","2","20"
"31043","10","9104301","2","21"
"31125","10","9112501","2","22"
"31004","10","9100401","2","23"
"31037","10","9103701","2","24"
"31061","10","9106101","2","25"
"31018","10","9101801","2","26"
"31013","10","9101301","2","27"
"31011","10","9101101","2","28"
"31001","10","9100101","2","29"
"31030","10","9103001","2","30"
"31060","10","9106001","2","31"
"31015","10","9101501","2","32"
"31054","10","9105401","2","33"
"31109","10","9110901","2","34"
"31010","10","9101001","2","35"
"31066","10","9106601","2","36"
"31028","10","9102801","2","37"
"31008","10","9100801","2","38"
"31049","10","9104901","2","39"
"31047","10","9104701","2","40"
"31014","10","9101401","2","41"
"31094","10","9109401","2","42"
"31038","10","9103801","2","43"
"31048","10","9104801","2","44"
"31045","10","9104501","2","45"
"31022","10","9100601","2","46"
"31006","10","9100601","2","47"
"31005","10","9100501","2","48"
"31126","10","9112601","2","49"
"31092","10","9109201","2","50"
"31025","10","9102501","2","51"
"31031","10","9103101","2","52"
"31012","10","9101201","2","53"
"31026","10","9102601","2","54"
"31050","10","9105001","2","55"
"31003","10","9100301","2","56"
"31007","10","9100701","2","57"
"31029","10","9102901","2","58"
"31036","10","9103601","2","59"
"31093","10","9109301","2","60"
"31071","10","9107101","2","61"
"31110","10","9111001","2","62"
"31046","10","9104601","2","63"
"31033","10","9103301","2","64"
"31051","10","9105101","2","65"
"31057","10","9105701","2","66"
"31032","10","9103201","2","67"
"31052","10","9105201","2","68"
"31034","10","9103401","2","69"
"31070","10","9107001","2","70"
"31058","10","9105802","2","71"
"31020","10","9102002","2","72"
"31002","10","9100202","2","73"
"31055","10","9105502","2","74"
"31016","10","9101602","2","75"
"31044","10","9104402","2","77"
"31023","10","9102302","2","78"
"31059","10","9105902","2","79"
"31042","10","9104202","2","80"
"31040","10","9104002","2","81"
"31021","10","9102102","2","82"
"31063","10","9106302","2","83"
"31065","10","9106502","2","84"
"31009","10","9100902","2","85"
"31017","10","9101702","2","86"
"31056","10","9105602","2","87"
"31068","10","9106802","2","88"
"31053","10","9105302","2","89"
"31027","10","9102702","2","90"
"31108","10","9110802","2","91"
"31043","10","9104302","2","92"
"31004","10","9100402","2","94"
"31037","10","9103702","2","95"
"31061","10","9106102","2","96"
"31018","10","9101802","2","97"
"31013","10","9101302","2","98"
"31011","10","9101102","2","99"
"31001","10","9100102","2","100"
"31030","10","9103002","2","101"
"31060","10","9106002","2","102"
"31015","10","9101502","2","103"
"31054","10","9105402","2","104"
"31109","10","9110902","2","105"
"31180","10","9118002","2","106"
"31010","10","9101002","2","107"
"31066","10","9106602","2","108"
"31028","10","9102802","2","109"
"31008","10","9100802","2","110"
"31049","10","9104902","2","111"
"31047","10","9104702","2","112"
"31014","10","9101402","2","113"
"31094","10","9109402","2","114"
"31038","10","9103802","2","115"
"31048","10","9104802","2","116"
"31045","10","9104502","2","117"
"31022","10","9100602","2","118"
"31006","10","9100602","2","119"
"31005","10","9100502","2","120"
"31092","10","9109202","2","122"
"31025","10","9102502","2","123"
"31031","10","9103102","2","124"
"31012","10","9101202","2","125"
"31026","10","9102602","2","126"
"31050","10","9105002","2","127"
"31003","10","9100302","2","128"
"31007","10","9100702","2","129"
"31029","10","9102902","2","130"
"31036","10","9103602","2","131"
"31093","10","9109302","2","132"
"31071","10","9107102","2","133"
"31110","10","9111002","2","134"
"31046","10","9104602","2","135"
"31033","10","9103302","2","136"
"31051","10","9105102","2","137"
"31057","10","9105702","2","138"
"31032","10","9103202","2","139"
"31052","10","9105202","2","140"
"31034","10","9103402","2","141"
"31070","10","9107002","2","142"
"31058","10","9105803","2","143"
"31020","10","9102003","2","144"
"31002","10","9100203","2","145"
"31055","10","9105503","2","146"
"31016","10","9101603","2","147"
"31067","10","9106703","2","148"
"31044","10","9104403","2","149"
"31023","10","9102303","2","150"
"31059","10","9105903","2","151"
"31042","10","9104203","2","152"
"31040","10","9104003","2","153"
"31021","10","9102103","2","154"
"31063","10","9106303","2","155"
"31065","10","9106503","2","156"
"31009","10","9100903","2","157"
"31017","10","9101703","2","158"
"31056","10","9105603","2","159"
"31068","10","9106803","2","160"
