c4f11169c503c583dbb7f3287afdf28005fc536973d4e0ebad572f3379e576da,fd3d765a571bc27b482463b017883fdeb3e6f14dc4f0591e8a7862fb71f0e6b6,f2a7cd5cc732bc8176d55e7f4228af4b46855b95eba2ed41301d87dfc348a32a,e41b3cf9f8846d0bfdce1eaef521a6d6bb5410243a7d9e97f6ef749e93c9098a,6ecb7f53def7c3ee436523eb790629f23b4869aa4c2c4873110020b138ec39f9,02c05234c6005badff0e889e77aa2cbac493ac61bc6ca65390f86ea02371ad12,e89f647ac83350f31d8a9cf722d3dfc18ac789b4e555857e6d9b3349e633f912,bf3b3e5f8ca2d274dde316171fd6f378657a7a37fb06a8a2c4f993b2b261a4b8,054706ab94dfbeffc691ffa780a125a1f5145e6fef53a73bc930dac51b0eb2be,f140bf29a88b701c39c41e1bd559b14ec2387e2d2e6b3a7629f05f2ac590e6c3
"1100001","1001","1002","10590","32","1003","1","575","1","1"
"1100002","1004","1005","10590","32","1006","1","575","1","1"
"1100003","1007","1008","10590","32","1009","2","575","1","1"
"1100004","1010","1011","11820","33","1012","1","500","1","1"
"1100005","1013","1014","11820","33","1015","1","500","1","1"
"1100006","1016","1017","11820","33","1018","2","500","1","1"
"1100007","1019","1020","11820","33","1021","4","500","1","1"
"1100008","1022","1023","13050","35","1024","1","375","1","1"
"1100009","1025","1026","13050","35","1027","1","375","1","1"
"1100010","1028","1029","13050","35","1030","6","375","1","1"
"1200001","2001","2002","10590","34","2003","1","575","2","1"
"1200002","2004","2005","10590","34","2006","1","575","2","1"
"1200003","2007","2008","10590","34","2009","1","575","2","1"
"1200004","2010","2011","10590","34","2012","1","575","2","1"
"1200005","2013","2014","10590","34","2015","2","575","2","1"
"1200006","2016","2017","10590","34","2018","4","575","2","1"
"1200007","2019","2020","10590","34","2021","6","575","2","1"
"1200008","2022","2023","11820","35","2024","1","500","2","1"
"1200009","2025","2026","11820","35","2027","1","500","2","1"
"1200010","2028","2029","11820","35","2030","1","500","2","1"
"1200011","2031","2032","11820","35","2033","1","500","2","1"
"1200012","2034","2035","11820","35","2036","4","500","2","1"
"1200013","2037","2038","11820","35","2039","6","500","2","1"
"1200014","2040","2041","13050","38","2042","1","375","2","1"
"1200015","2043","2044","13050","38","2045","1","375","2","1"
"1200016","2046","2047","13050","38","2048","1","375","2","1"
"1200017","2049","2050","13050","38","2051","1","375","2","1"
"1200018","2052","2053","13050","38","2054","2","375","2","1"
"1200019","2055","2056","13050","38","2057","4","375","2","1"
"1200020","2058","2059","13050","38","2060","6","375","2","1"
"1300001","3001","3002","10590","37","3003","1","575","3","1"
"1300002","3004","3005","10590","37","3006","1","575","3","1"
"1300003","3007","3008","10590","37","3009","1","575","3","1"
"1300004","3010","3011","10590","37","3012","1","575","3","1"
"1300005","3013","3014","10590","37","3015","1","575","3","1"
"1300006","3016","3017","10590","37","3018","1","575","3","1"
"1300007","3019","3020","10590","37","3021","2","575","3","1"
"1300008","3022","3023","10590","37","3024","2","575","3","1"
"1300009","3025","3026","10590","37","3027","4","575","3","1"
"1300010","3028","3029","10590","37","3030","6","575","3","1"
"1300011","3031","3032","11820","38","3033","1","500","3","1"
"1300012","3034","3035","11820","38","3036","1","500","3","1"
"1300013","3037","3038","11820","38","3039","1","500","3","1"
"1300014","3040","3041","11820","38","3042","1","500","3","1"
"1300015","3043","3044","11820","38","3045","1","500","3","1"
"1300016","3046","3047","11820","38","3048","1","500","3","1"
"1300017","3049","3050","11820","38","3051","2","500","3","1"
"1300018","3052","3053","11820","38","3054","4","500","3","1"
"1300019","3055","3056","11820","38","3057","4","500","3","1"
"1300020","3058","3059","11820","38","3060","6","500","3","1"
"1300021","3061","3062","13050","40","3063","1","375","3","1"
"1300022","3064","3065","13050","40","3066","1","375","3","1"
"1300023","3067","3068","13050","40","3069","1","375","3","1"
"1300024","3070","3071","13050","40","3072","1","375","3","1"
"1300025","3073","3074","13050","40","3075","1","375","3","1"
"1300026","3076","3077","13050","40","3078","1","375","3","1"
"1300027","3079","3080","13050","40","3081","2","375","3","1"
"1300028","3082","3083","13050","40","3084","4","375","3","1"
"1300029","3085","3086","13050","40","3087","6","375","3","1"
"1300030","3088","3089","13050","40","3090","6","375","3","1"
"2100001","4001","4002","9360","29","4003","3","700","1","2"
"2100002","4004","4005","9360","29","4006","5","700","1","2"
"2100003","4007","4008","9360","29","4009","7","700","1","2"
"2100004","4010","4011","9360","29","4012","3","700","1","2"
"2100005","4013","4014","9360","29","4015","5","700","1","2"
"2100006","4016","4017","9360","29","4018","7","700","1","2"
"2100007","4019","4020","10590","30","4021","3","575","1","2"
"2100008","4022","4023","10590","30","4024","5","575","1","2"
"2100009","4025","4026","10590","30","4027","7","575","1","2"
"2100010","4028","4029","10590","30","4030","3","575","1","2"
"2200001","5001","5002","9360","33","5003","3","700","2","2"
"2200002","5004","5005","9360","33","5006","5","700","2","2"
"2200003","5007","5008","9360","33","5009","7","700","2","2"
"2200004","5010","5011","9360","33","5012","3","700","2","2"
"2200005","5013","5014","9360","33","5015","5","700","2","2"
"2200006","5016","5017","9360","33","5018","7","700","2","2"
"2200007","5019","5020","9360","33","5021","3","700","2","2"
"2200008","5022","5023","9360","33","5024","5","700","2","2"
"2200009","5025","5026","9360","33","5027","7","700","2","2"
"2200010","5028","5029","9360","33","5030","3","700","2","2"
"2200011","5031","5032","9360","33","5033","5","700","2","2"
"2200012","5034","5035","9360","33","5036","7","700","2","2"
"2200013","5037","5038","10590","34","5039","3","575","2","2"
"2200014","5040","5041","10590","34","5042","5","575","2","2"
"2200015","5043","5044","10590","34","5045","7","575","2","2"
"2200016","5046","5047","10590","34","5048","3","575","2","2"
"2200017","5049","5050","10590","34","5051","5","575","2","2"
"2200018","5052","5053","10590","34","5054","7","575","2","2"
"2200019","5055","5056","10590","34","5057","5","575","2","2"
"2200020","5058","5059","10590","34","5060","7","575","2","2"
