da0a4685570789ce0f42e69a04a94aa4199ae3c1fd87122721e452b4a638ee6b,d651887f49e602df300ab71139083c9a2f1ddedfbe9a9fe5646b1ccadce6c934,a1da55b1d6410ed78d64633d835ca459c6aafb1278eb1cc1e7612982a64120ff,d206e635a341d040133ab1703a7bf74f7da2e0297e90c9774ec0ba50fe1ae137,66593f6d584dca93d9f084ddfe75667fc8a379b7425e7a304a585140dd927cb3,46da5d1eb27d89881dbb918cb313f23516ee76445fe811d08045ebd42e485061,f4ba26879059baa1a2cf928da755b551323511b5f8bf6005295b51f0323a7a21,f0e3baa0e80f908d7f29792ca434c417e66dbb04fbd0995b94dfacdd316a45e8,828738e6adb7e98a4636d87f4cbf67c34675759f92c55376790023bfd955c9df,b68a67fe85a9d5974a4d47d438d1d2491b0417bf5575289890300de0dc3f7ee0,8bdebce8e92681c452473c75c37b3a248b4663d32c1b9068d7e0f16ea1b67068
"10","31","25013","8","91002","283001001","25021","2","2","1","8"
"10","31","25013","8","91002","283001002","25021","2","2","2","8"
"10","32","25013","8","91002","283001003","25021","2","2","3","8"
"10","32","25013","8","91002","283001004","25021","2","2","4","8"
"10","33","25013","8","91002","283001005","25021","2","2","5","8"
"10","33","25013","8","91002","283001006","25021","2","2","6","9"
"10","34","25013","8","91002","283001007","25021","2","2","7","9"
"10","35","25013","8","91002","283001008","25021","2","2","8","9"
"10","35","25013","8","91002","283001009","25021","2","2","9","9"
"30","37","25013","8","91002","283001010","25021","2","2","10","10"
"10","41","25013","8","91002","283001011","25021","2","2","11","10"
"10","43","25013","8","91002","283001012","25021","2","2","12","11"
"10","46","25013","8","91002","283001013","25021","2","2","13","11"
"10","48","25013","8","91002","283001014","25021","2","2","14","12"
"10","50","25013","8","91002","283001015","25021","2","2","15","12"
"10","53","25013","8","91002","283001016","25021","2","2","16","13"
"10","55","25013","8","91002","283001017","25021","2","2","17","14"
"10","58","25013","8","91002","283001018","25021","2","2","18","14"
"10","60","25013","8","91002","283001019","25021","2","2","19","15"
"30","62","25013","8","91002","283001020","25021","2","2","20","15"
"10","68","25013","8","91002","283001021","25021","2","2","21","16"
"10","70","25013","8","91002","283001022","25021","2","2","22","16"
"10","72","25013","8","91002","283001023","25021","2","2","23","16"
"10","75","25013","8","91002","283001024","25021","2","2","24","17"
"10","77","25013","8","91002","283001025","25021","2","2","25","18"
"10","79","25013","8","91002","283001026","25021","2","2","26","18"
"10","82","25013","8","91002","283001027","25021","2","2","27","19"
"10","84","25013","8","91002","283001028","25021","2","2","28","19"
"10","86","25013","8","91002","283001029","25021","2","2","29","19"
"30","89","25013","8","91002","283001030","25021","2","2","30","20"
"10","94","25013","8","91002","283001031","25021","2","2","31","20"
"10","96","25013","8","91002","283001032","25021","2","2","32","21"
"10","99","25013","8","91002","283001033","25021","2","2","33","21"
"10","101","25013","8","91002","283001034","25021","2","2","34","22"
"10","103","25013","8","91002","283001035","25021","2","2","35","22"
"10","106","25013","8","91002","283001036","25021","2","2","36","23"
"10","108","25013","8","91002","283001037","25021","2","2","37","23"
"10","111","25013","8","91002","283001038","25021","2","2","38","24"
"10","113","25013","8","91002","283001039","25021","2","2","39","25"
"30","115","25013","8","91002","283001040","25021","2","2","40","25"
"10","121","25013","8","91002","283001041","25021","2","2","41","26"
"10","123","25013","8","91002","283001042","25021","2","2","42","27"
"10","125","25013","8","91002","283001043","25021","2","2","43","28"
"10","128","25013","8","91002","283001044","25021","2","2","44","28"
"10","130","25013","8","91002","283001045","25021","2","2","45","29"
"10","132","25013","8","91002","283001046","25021","2","2","46","30"
"10","135","25013","8","91002","283001047","25021","2","2","47","30"
"10","137","25013","8","91002","283001048","25021","2","2","48","31"
"10","139","25013","8","91002","283001049","25021","2","2","49","31"
"30","142","25013","8","91002","283001050","25021","2","2","50","31"
"10","144","25013","8","91002","283001051","25021","2","2","51","32"
"10","146","25013","8","91002","283001052","25021","2","2","52","32"
"10","149","25013","8","91002","283001053","25021","2","2","53","32"
"10","152","25013","8","91002","283001054","25021","2","2","54","33"
"10","155","25013","8","91002","283001055","25021","2","2","55","33"
"10","157","25013","8","91002","283001056","25021","2","2","56","33"
"10","160","25013","8","91002","283001057","25021","2","2","57","34"
"10","163","25013","8","91002","283001058","25021","2","2","58","34"
"10","166","25013","8","91002","283001059","25021","2","2","59","34"
"30","169","25013","8","91002","283001060","25021","2","2","60","35"
"10","171","25013","8","91002","283001061","25021","2","2","61","35"
"10","174","25013","8","91002","283001062","25021","2","2","62","35"
"10","177","25013","8","91002","283001063","25021","2","2","63","36"
"10","180","25013","8","91002","283001064","25021","2","2","64","36"
"10","182","25013","8","91002","283001065","25021","2","2","65","36"
"10","185","25013","8","91002","283001066","25021","2","2","66","37"
"10","187","25013","8","91002","283001067","25021","2","2","67","37"
"10","190","25013","8","91002","283001068","25021","2","2","68","37"
"10","193","25013","8","91002","283001069","25021","2","2","69","38"
"30","196","25013","8","91002","283001070","25021","2","2","70","38"
