1f1ad7d40a895fcabb8e75108ef9beb5155e3538c5bf653f45673aaa3262ef78,9fb922d3a780f63d659948cc372108fdcc6eedd0ecd5f2cad068627f4e22e787,f7617bcfada302c75b07307e84c13643a4eb788357e733579e0bc61e339f5440,6d74c1b123ed778d306369c552af55127521f6a25da54c942735d095e6791a2d,e9eabc6b40354134a347e86b1b1546dbb2857d61526283733639bfcda55a37dd,3caad5fe1fab2fdb2c79d55600b86087dcd994e4c5b6df61acf550afe9af22b0,d9b5ab876d847d8575b6900433380a5e2c2eded7051822114af79923bc46b832,87be6007cdcf855cd3ed42801001e31097752303890828a42efddde4f3dcd2ea
"1","52001","1","【料理】骰子增加成為兩個","0","1","1","0"
"1","52002","1","【料理】骰子只會丟出「1」","0","2","1","0"
"1","52002","2","【料理】跳過下次的回合數計算","0","3","3","0"
"1","52004","1","【料理】骰子只會丟出「4」","0","4","1","0"
"1","52006","1","【料理】骰子只會丟出\n「4・5・6」","0","5","1","0"
"1","52007","1","【料理】骰子第1次只會丟出「3」，第2次只會丟出「6」","0","6","1","0"
"1","52003","1","【料理】骰子只會丟出「5」","0","7","1","0"
"1","52008","7","【料理】里程格所獲得的里程將提升200%","0","8","2","0"
"2","4","2","【事件】跳過下次的回合數計算","0","9","3","0"
"2","5","3","【事件】里程格所獲得的里程將提升100%","0","10","2","0"
"2","6","5","【事件】小遊戲所獲得的里程將提升100%","0","11","2","0"
"2","7","4","【事件】里程商店的所有商品折價20%以上","0","12","3","0"
"1","52009","1","【料理】骰子第1次只會丟出「8」，第2次只會丟出「1」","0","13","1","0"
"1","52010","6","【料理】「里程格」「寶物格」\n「商店格」的RANK提升1個","0","14","2","0"
"1","52011","1","【料理】骰子第1次只會丟出「2」，第2次只會丟出「7」","0","15","1","0"
"1","52012","1","【料理】骰子只會丟出\n「1・2・3」","0","16","1","0"
"1","52012","2","【料理】跳過下次的回合數計算","0","17","3","0"
"1","52014","8","【料理】移動時將可以跳過里程格。","0","18","1","0"
"1","52005","1","【料理】下次移動時，將多移動1格。","0","19","1","0"
"1","52014","1","【料理】下次移動時，將多移動1格。","2","20","1","2"
"1","52015","1","【料理】骰子增加成為兩個","0","21","1","0"
"1","52015","1","【料理】下次移動時，將多移動1格。","0","22","1","0"
"1","52016","1","【料理】投擲的骰子一定會丟出「6」。","0","23","1","0"
"1","52017","9","【料理】變得無法食用移動系的料理。","0","24","1","0"
"1","52018","1","【料理】投擲的骰子一定會丟出「3」。","0","25","1","0"
"1","52019","1","【料理】投擲的骰子一定會丟出「8」。","0","26","1","0"
"2","98011","2","【事件】跳過下次的回合數計算","0","27","3","0"
"2","98012","2","【事件】跳過下次的回合數計算","0","28","3","0"
"1","52020","10","【料理】移動時將可以跳過里程格。","0","29","2","0"
"1","52020","1","【料理】下次移動時，將多移動1格。","2","30","1","2"
"1","52021","10","【料理】移動時可以跳過寶物格。","0","31","2","0"
"1","52022","1","【料理】投擲的骰子丟出「5和6」的\n機率變成3倍。","0","32","1","0"
