f6bfb9d4e7d5ef1dc88f791dc8d05fbe43661242fb27e5bb6fa2909ca4907899,4b07f5faa31754178e4d103209e128c1086520a0c6c00b83eb04ef769f848c05,c90610e7c7335f49b9ee4700642a765fffa8db7fdedc2650c1a795159e1e8a31,f3bba35b1a91572a7a42f4c9735633e9d98befe12a4d695259e1a78d85b920c6,e3630b2af47ebeb93ba7e5fcde1e44345942c27754ba15830413545d7ce2c735,2dc0b49f78ec19f0da11310efa011a9e03b7b8d4ecc139fd23fd7325ad7d88e3,82cdd9182d10ce9307e4cb9ef4200485c1a1c7ec533c12d6040e7a0e1e2a8b8c,12aa488ac081ac2de1f10a01685c5de204039045d2f8348d069af479dff71d0f,0a82967f444f8c98fbd569323b94c9057b8ed47965fc8c35a73963c4d173ffc0,3a162eac18cc2ca6be2fc9e5aba48cbaa160b69fce86689c9c4fb95831ba75ea,f0174161a205f96f1572e3e6ae71c659766c626625df9cb2400a284570f0501e,e0c4646241998a06329fd61941939fe5dea0f88a4b44ab38af6e0000da8a98c3
"1000101","0","0","10001115","10001","0","0","1000102","0","2018/09/07 16:00:00","0","10001201"
"1000102","0","0","0","10001","1000101","0","0","0","0","0","0"
"1000201","0","0","10002115","10002","0","0","1000202","0","2018/10/13 16:00:00","0","10002201"
"1000202","0","0","0","10002","1000201","0","0","0","0","0","0"
"1000301","0","0","10003115","10003","0","0","1000302","0","2018/11/11 16:00:00","0","10003201"
"1000302","0","0","0","10003","1000301","0","0","0","0","0","0"
"1000401","0","0","10004115","10004","0","0","1000402","0","2018/12/11 16:00:00","0","10004201"
"1000402","0","0","0","10004","1000401","0","1000403","0","0","0","0"
"1000403","0","0","0","10004","1000402","0","0","0","0","0","0"
"1000501","0","0","10005115","10005","0","0","1000502","0","2019/01/13 16:00:00","0","10005201"
"1000502","0","0","0","10005","1000501","0","1000503","0","0","0","0"
"1000503","0","0","0","10005","1000502","0","0","0","0","0","0"
"1000601","0","0","10006115","10006","0","0","1000602","0","2019/02/11 12:00:00","0","10006201"
"1000602","0","0","0","10006","1000601","0","1000603","0","0","0","0"
"1000603","0","0","0","10006","1000602","0","0","0","0","0","0"
"1000701","0","0","10007115","10007","0","0","1000702","0","2019/03/13 16:00:00","0","10007201"
"1000702","0","0","0","10007","1000701","0","1000703","0","0","0","0"
"1000703","0","0","0","10007","1000702","0","0","0","0","0","0"
"1000801","0","0","10008115","10008","0","0","1000802","0","2019/04/09 16:00:00","0","10008201"
"1000802","0","0","0","10008","1000801","0","1000803","0","0","0","0"
"1000803","0","0","0","10008","1000802","0","0","0","0","0","0"
"1000901","0","0","10009115","10009","0","0","1000902","0","2019/05/09 12:00:00","0","10009201"
"1000902","0","0","0","10009","1000901","0","1000903","0","0","0","0"
"1000903","0","0","0","10009","1000902","0","0","0","0","0","0"
"1001001","0","0","10010115","10010","0","0","1001002","0","2019/06/10 12:00:00","0","10010201"
"1001002","0","0","0","10010","1001001","0","1001003","0","0","0","0"
"1001003","0","0","0","10010","1001002","0","0","0","0","0","0"
"1001004","0","0","0","10010","0","0","0","3","0","0","0"
"1001101","0","0","10011115","10011","0","0","1001102","0","2019/07/08 12:00:00","0","10011201"
"1001102","0","0","0","10011","1001101","0","1001103","0","0","0","0"
"1001103","0","0","0","10011","1001102","0","0","0","0","0","0"
"1001104","0","0","0","10011","0","0","0","3","0","0","0"
"1001201","0","0","10012115","10012","0","0","1001202","0","2019/07/24 12:00:00","0","10012201"
"1001202","0","0","0","10012","1001201","0","1001203","0","0","0","0"
"1001203","0","0","0","10012","1001202","0","0","0","0","0","0"
"1001204","0","0","0","10012","0","0","0","3","0","0","0"
"1001301","0","0","10013115","10013","0","0","1001302","0","2019/08/08 12:00:00","0","10013201"
"1001302","0","0","0","10013","1001301","0","1001303","0","0","0","0"
