994b41774621e7e86deb37dc5f7c5994e02f4c331fd8552280c99d89b130f7b8,70abe84a71c7a7eafdd39fbceba820e1e4eee5786ac1bad018f7ef6eef4322de,86714060986f2caf77d9fc035216b53fa42d7b0f45b1d70bd7b6aeae638eaa3f,d9386f6648e875b0d28e29c1e2b66d7522af3f2332e04f97230310552a676297,3907d9f8e25d2ffd689763a4a02a696f219ebace4b9a711efd313a3b936ad125,4e33acbe6617e82d4018c3a250b8aeda37ea1214a6e6b959e64995d0a855c138,ca6c4e25a88930d541fedb03a1ff825475f71587f39bc0388e798bf97eee2474,82c410a60829cafe4b9641a6544a539fccb3b486ee55dc6761ad6ca290d621f1,8f9b809635521e4ee6bfa58b672d1ee14ed31120da72ed2a48a531265a3f45bb
"100101","1","3","0","3","1001","累積獲得3個★","100000001","4101"
"100102","2","6","0","6","1001","累積獲得6個★","100000002","4101"
"100103","3","9","1","9","1001","累積獲得9個★","100000003","4101"
"100104","4","12","0","12","1001","累積獲得12個★","100000004","4101"
"100105","5","15","0","15","1001","累積獲得15個★","100000005","4101"
"100106","6","18","0","18","1001","累積獲得18個★","100000006","4101"
"100107","7","21","1","21","1001","累積獲得21個★","100000007","4101"
"100108","8","24","0","24","1001","累積獲得24個★","100000008","4101"
"100109","9","27","1","27","1001","累積獲得27個★","100000009","4101"
"100110","10","30","0","30","1001","累積獲得30個★","100000010","4101"
"100111","11","33","0","33","1001","累積獲得33個★","100000011","4101"
"100112","12","36","1","36","1001","累積獲得36個★","100000012","4101"
"100113","13","39","0","39","1001","累積獲得39個★","100000013","4101"
"100114","14","42","0","42","1001","累積獲得42個★","100000014","4101"
"100115","15","45","1","45","1001","累積獲得45個★","100000015","4101"
"100116","16","48","0","48","1001","累積獲得48個★","100000016","4101"
"100117","17","51","1","51","1001","累積獲得51個★","100000017","4101"
"100118","18","54","0","54","1001","累積獲得54個★","100000018","4101"
"100201","1","3","0","3","1002","累積獲得3個★","100200001","4101"
"100202","2","6","0","6","1002","累積獲得6個★","100200002","4101"
"100203","3","9","1","9","1002","累積獲得9個★","100200003","4101"
"100204","4","12","0","12","1002","累積獲得12個★","100200004","4101"
"100205","5","15","0","15","1002","累積獲得15個★","100200005","4101"
"100206","6","18","0","18","1002","累積獲得18個★","100200006","4101"
"100207","7","21","1","21","1002","累積獲得21個★","100200007","4101"
"100208","8","24","0","24","1002","累積獲得24個★","100200008","4101"
"100209","9","27","1","27","1002","累積獲得27個★","100200009","4101"
"100210","10","30","0","30","1002","累積獲得30個★","100200010","4101"
"100211","11","33","0","33","1002","累積獲得33個★","100200011","4101"
"100212","12","36","1","36","1002","累積獲得36個★","100200012","4101"
"100213","13","39","0","39","1002","累積獲得39個★","100200013","4101"
"100214","14","42","0","42","1002","累積獲得42個★","100200014","4101"
"100215","15","45","1","45","1002","累積獲得45個★","100200015","4101"
"100216","16","48","0","48","1002","累積獲得48個★","100200016","4101"
"100217","17","51","1","51","1002","累積獲得51個★","100200017","4101"
"100218","18","54","0","54","1002","累積獲得54個★","100200018","4101"
"100301","1","3","0","3","1003","累積獲得3個★","100300001","4101"
"100302","2","6","0","6","1003","累積獲得6個★","100300002","4101"
"100303","3","9","1","9","1003","累積獲得9個★","100300003","4101"
"100304","4","12","0","12","1003","累積獲得12個★","100300004","4101"
"100305","5","15","0","15","1003","累積獲得15個★","100300005","4101"
"100306","6","18","0","18","1003","累積獲得18個★","100300006","4101"
"100307","7","21","1","21","1003","累積獲得21個★","100300007","4101"
"100308","8","24","0","24","1003","累積獲得24個★","100300008","4101"
"100309","9","27","1","27","1003","累積獲得27個★","100300009","4101"
"100310","10","30","0","30","1003","累積獲得30個★","100300010","4101"
"100311","11","33","0","33","1003","累積獲得33個★","100300011","4101"
"100312","12","36","1","36","1003","累積獲得36個★","100300012","4101"
"100313","13","39","0","39","1003","累積獲得39個★","100300013","4101"
"100314","14","42","0","42","1003","累積獲得42個★","100300014","4101"
"100315","15","45","1","45","1003","累積獲得45個★","100300015","4101"
"100316","16","48","0","48","1003","累積獲得48個★","100300016","4101"
"100317","17","51","1","51","1003","累積獲得51個★","100300017","4101"
"100318","18","54","0","54","1003","累積獲得54個★","100300018","4101"
"100401","1","3","0","3","1004","累積獲得3個★","100400001","4101"
"100402","2","6","0","6","1004","累積獲得6個★","100400002","4101"
"100403","3","9","1","9","1004","累積獲得9個★","100400003","4101"
"100404","4","12","0","12","1004","累積獲得12個★","100400004","4101"
"100405","5","15","0","15","1004","累積獲得15個★","100400005","4101"
"100406","6","18","0","18","1004","累積獲得18個★","100400006","4101"
"100407","7","21","1","21","1004","累積獲得21個★","100400007","4101"
"100408","8","24","0","24","1004","累積獲得24個★","100400008","4101"
"100409","9","27","1","27","1004","累積獲得27個★","100400009","4101"
"100410","10","30","0","30","1004","累積獲得30個★","100400010","4101"
