14de6212f89ff22d59291974c45732c49f45bea2dc50b74a9e0443fd9ad60361,9620bcf609da5bbfccfb40997997a3b21dcef4d6d73d082d304112775505da55,233c394fde6e8dadf916c062bf72a31739d03c41fae179fdcf9a835265306f0e,7fb61faf5b943ed2c52bed8245855089ccca6dadab3e867410ced469096638e1,2314340605729812c30acaf8b8cc7643b650c2dfc97df4038bc80f37c864e08e,724f9dfff622c550dbde4ccff09ba77105a6a84ac984f0664142816c24f0759f,687653f67e3b591f9fa383b585b11fd7a7fb65bf198c83d3fffa034d1d2b87d3,875ee6258f6ec40493e0111cf69a96b05423bf9865da0260681d3e45b44c9ada,920e5ee3ccfc36b28c7f614514734ef9131bd30ad5fbe551b73225e53b778089,7f6e96f0b91ec70f5c6016bf6e78ffb06923fc69ff25a6179704f1b01ebe60e2,41ab315836759987f77e6eb1b293cb6bc2846392e75f9669dce34547611ab3f1,272d4b4e81f1139ca98c3e4075d7d0a40cb8663abc0010b734d62441aa2eec56,37c6bed84b4c32e3b0a4b350e7125939ee716b34aefa0873201a965f37d81660,963dddebca5f4ce7376d466aff84c46ee2c610030318109549cdb4354a54e24e
"恭喜你們，訓練成功。\n在該誇獎時，好好地誇獎，\n也是教官的職責。還是說，\n你們比較喜歡被痛罵呢？嘻嘻。","129901","2030/12/17 14:59:59","100","7","1","2024/08/01 16:00:00","24","0","0","100","10142","惠理子","10.85"
"就算是嚴苛的訓練，結束後回顧，\n還是會覺得時光稍縱即逝呢。\n坦白說，我甚至鬧得不夠盡興……\n沒事，沒什麼。嘻嘻。","129901","2030/12/17 14:59:59","101","2","1","2024/08/01 16:00:00","24","0","0","101","10142","惠理子","11.15"
"將擋住去路的可恨礙事者全部擊垮，\n漂亮地抵達終點……！\n簡直就是象徵我與那位大人的\n人生路途……","129901","2030/12/17 14:59:59","102","5","7","2024/08/01 16:00:00","24","0","0","102","10142","惠理子","6.4"
"這結果太令人失望了。\n但是，還有挽回的機會。\n為了擺脫垃圾蟲的地位，\n你們下次要拚死努力。聽到了嗎？","129901","2030/12/17 14:59:59","103","3","3","2024/08/01 16:00:00","24","0","0","103","10142","惠理子","0"
"嘻嘻……啊，您毋須擔心，\n我只是在思考要給予\n留下這種難看成績的傢伙們\n什麼樣的處罰才適合……嘻嘻嘻。","129901","2030/12/17 14:59:59","104","8","2","2024/08/01 16:00:00","24","0","0","104","10142","惠理子","2.43"
"要是我沒能以教官的身分得到認可，\n就會讓那位大人感到失望……\n唯獨這件事絕對不能發生，\n你們也很清楚吧？","129901","2030/12/17 14:59:59","105","3","4","2024/08/01 16:00:00","24","0","0","105","10142","惠理子","9.08"
"雖然這結果不算差，\n但要是這點程度就感到滿足，\n那可傷腦筋了。身為惠理子班的一員，\n你們還得以更高的境界為目標才行。","129901","2030/12/17 14:59:59","106","6","6","2024/08/01 16:00:00","24","0","0","106","10142","惠理子","0"
"接受我的指導，卻交出這種結果……\n我得更認真思考才行呢。\n思考如要讓你們時刻不敢懈怠，\n需要什麼樣的管教……嘻嘻。","129901","2030/12/17 14:59:59","107","8","3","2024/08/01 16:00:00","24","0","0","107","10142","惠理子","10.6"
"要因完成訓練而獎勵，\n還是因沒能完全發揮實力而懲罰……\n這樣的結果該如何處置各位，\n讓我有些傷腦筋呢。","129901","2030/12/17 14:59:59","108","4","6","2024/08/01 16:00:00","24","0","0","108","10142","惠理子","7.54"
"剛才的奮戰英姿值得誇讚。\n這也是你們的努力，\n與我這位優秀教官的教育結果。\n是吧？嘻嘻嘻……","129901","2030/12/17 14:59:59","109","7","2","2024/08/01 16:00:00","24","0","0","109","10142","惠理子","11.5"
"能夠一路挺進到此地，你們及格了。\n不過要是想以更高的境界為目標……\n我就陪你們進行\n更進一步的訓練吧。","129901","2030/12/17 14:59:59","110","1","2","2024/08/01 16:00:00","24","0","0","110","10142","惠理子","8.83"
"曾不成氣候又不靠譜的你們，\n已經有了令人刮目相看的成長。\n原來如此……這份心情，\n就是身為教官的榮幸吧。","129901","2030/12/17 14:59:59","111","2","1","2024/08/01 16:00:00","24","0","0","111","10142","惠理子","6.68"
"沒想到你們能發揮出\n遠超我所預期的力量……真令人吃驚。\n你們已經不是垃圾蟲了，\n作為獨當一面的騎士，引以為傲吧。","129901","2030/12/17 14:59:59","112","2","6","2024/08/01 16:00:00","24","0","0","112","10142","惠理子","8.8"
"嘻嘻，你們表現得很出色。\n我一直深信各位肯定辦得到。\n因為你們是接受我的指導，\n惠理子班優秀的新兵呀。","129901","2030/12/17 14:59:59","113","1","2","2024/08/01 16:00:00","24","0","0","113","10142","惠理子","8.9"
"如此出色的成績……！\n今天這天就作為「為那位大人著想的\n惠理子超越極限紀念日」\n寫入歷史吧……！","129901","2030/12/17 14:59:59","114","5","2","2024/08/01 16:00:00","24","0","0","114","10142","惠理子","3.7"
"好，這是一場不錯的訓練呢。\n你們的動作也很靈敏，\n我認為你們確實已經有所成長。\n保持這個狀態，繼續加油吧。","129801","2030/12/17 14:59:59","200","2","1","2024/08/01 16:00:00","24","0","0","200","10142","真琴","7.6"
"總之，恭喜你們抵達終點！\n不過，努力這件事貴在堅持不懈啊。\n如果你們有幹勁繼續加油，\n無論多少次，我都很樂意奉陪喔。","129801","2030/12/17 14:59:59","201","1","2","2024/08/01 16:00:00","24","0","0","201","10142","真琴","2.25"
"這樣行軍訓練就結束了！\n……你們該不會有這種想法吧？\n直到身體牢牢記住學習成果前，\n要腳踏實地反覆去做才算練習啊。","129801","2030/12/17 14:59:59","202","1","2","2024/08/01 16:00:00","24","0","0","202","10142","真琴","3.28"
"我讓大家太勉強自己了嗎……\n不過，不能這樣就放棄啊。\n下次肯定會順利。只要相信這件事，\n持續努力鍛鍊，肯定能開闢出一條路！","129801","2030/12/17 14:59:59","203","1","4","2024/08/01 16:00:00","24","0","0","203","10142","真琴","2.98"
"這結果真讓人不甘心啊……\n總之，有很多該反省的地方，\n一件一件克服吧。\n我們齊心協力一起面對，來！","129801","2030/12/17 14:59:59","204","1","4","2024/08/01 16:00:00","24","0","0","204","10142","真琴","3"
"你們還是不成氣候的訓練兵，\n不必對失敗耿耿於懷。\n不過面臨實戰可就不能這樣了呢。\n下次要重新打起精神挑戰喔！","129801","2030/12/17 14:59:59","205","2","1","2024/08/01 16:00:00","24","0","0","205","10142","真琴","10.3"
"這就是你們的全力？\n不不不，不該是這樣吧。\n你們肯定能變得更強！\n我都這麼說了，肯定不會錯！","129801","2030/12/17 14:59:59","206","1","6","2024/08/01 16:00:00","24","0","0","206","10142","真琴","2.93"
"考慮到你們的實力，\n這個成績算不上是竭盡全力。\n那麼，接下來該做的事情已經決定了。\n轉換心情，重新鍛鍊！","129801","2030/12/17 14:59:59","207","1","3","2024/08/01 16:00:00","24","0","0","207","10142","真琴","9.3"
"還有很多課題尚待改善呢～\n拖沓的動作，慢半拍的判斷……\n只要好好改進這些部分，\n紀錄肯定也能更進一步提升。","129801","2030/12/17 14:59:59","208","1","4","2024/08/01 16:00:00","24","0","0","208","10142","真琴","6.9"
"能夠一路來到這個地方，你們及格了！\n不如說，回想起一開始不靠譜的樣子，\n你們已經有了驚人的成長吧？\n我認為這是值得自豪的結果啊！","129801","2030/12/17 14:59:59","209","2","2","2024/08/01 16:00:00","24","0","0","209","10142","真琴","0"
"雖然這次的訓練挺艱辛的，\n但大家都能確實地跟上呢。\n你們展現了腳踏實地持續進行\n基礎訓練的成果，這就是證據。","129801","2030/12/17 14:59:59","210","2","1","2024/08/01 16:00:00","24","0","0","210","10142","真琴","5.95"
"你們這次訓練也很努力呢！\n好好休息，為下次做好準備喔！\n該怎麼說，看著學生持續在成長，\n我覺得很開心呢……","129801","2030/12/17 14:59:59","211","1","2","2024/08/01 16:00:00","24","0","0","211","10142","真琴","6.73"
"你們幾個，太厲害了！\n我看這下啊，已經不能說你們是\n菜鳥新兵了呢。就算是在騎士團，\n你們肯定也能大為活躍喔！","129801","2030/12/17 14:59:59","212","2","2","2024/08/01 16:00:00","24","0","0","212","10142","真琴","0"
"與敵人的戰鬥方式，正確的狀況判斷，\n最重要的毅力……全都棒極了！\n要是一不留神，連身為教官的我\n都可能會被你們超越呢……嘿嘿。","129801","2030/12/17 14:59:59","213","2","1","2024/08/01 16:00:00","24","0","0","213","10142","真琴","6.65"
"我的指導很出色？\n不不不，能夠變強到這個地步，\n全是因為你們自己的努力。\n我重新再說一次……恭喜你們！","129801","2030/12/17 14:59:59","214","1","6","2024/08/01 16:00:00","24","0","0","214","10142","真琴","3.05"
