c022af91236a341819de13a579ec4564c82b4d65770320e9183e8889079512b2,1d142ef80e9d9472f2f46fc0a1aa9faee7ca88ba74c3c2e6df6ba5446a02183a,1fdbaa658f9dd55c96ebe52d04b60e8c729b336738adbb765d6f02d38893d7e7,5dec13fa451ac3cacc38d5acc023798ede715049ac9634a11c43c9792e2847dc,490a0f9dcf0cd7e81387336b8281891314c9c500f78b161e79a92e607b338766
"傷害值衰減","500000101","75000001","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","500000102","75000001","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","500000103","75000001","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","500000104","75000001","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","500000105","75000001","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","500000106","75000001","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
"傷害值衰減","500000201","75000002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","500000202","75000002","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","500000203","75000002","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","500000204","75000002","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","500000205","75000002","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","500000206","75000002","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
"傷害值衰減","500000301","75000003","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","500000302","75000003","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","500000303","75000003","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","500000304","75000003","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","500000305","75000003","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少降低TP","500000306","75000003","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut"
"傷害值衰減","500000401","75000004","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"賦予TP上升的上限","500000402","75000004","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","500000403","75000004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","500000404","75000004","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
