0a59146a4f680aebe602f52deee73a3a5c4db58409bbc6c921553d14184c3ec1,6cccc86ab2ac3fc5cc819b31b3a24dec07d370ed03568d2e2995502c90549dd6,102c2f7ae133e4a5098fe931b0e0fc4eecaeb15320f257adf725768bcfd08f46,7497056f3dcca7224260e2d0e5fc254bf5b2b6e4067a7d9d56a37172e7ae113b,77cf3514cab6d6c85a58ae01e7024598286af8605cedd55a1da74c053a70f15d,3201e39edf12788a6d8543499a50b030a021c4180c86b6690606a914dd17143f,a0754d1a6e8df4875faae24597dff74ab91cb466dc450b6d1219bfff7476bc14,78574c3681722bb1db02bbf8e10f37908abb0e32c8c7d5fa9487abbc75256dfb,57917dccc8f044ff0c379c7fc6cf2e82bc3bd89d7f123c7ee6d0feac20423c6a,554daa1b59ad60b8dc82a634745db48e13bfea97075e41a76c3f851074aca14f,ab21ebf12d6512005ccd14bac97109e846674f5686033ca755ba8c3095631a0c,20761242ff76d1ce0bfae5707b7626c9efbb9830544476978e5936b0ce339111,7288deccea4949c4ccb3387517712a978147c0818fb1d827169a6963626a362d
"1","狗","3110001","0","0","0","豬","0","0","狼","豹","0","1"
"1","二","3110002","0","0","0","三","0","0","一","四","0","1"
"1","鱘","3110003","0","0","0","鰆","0","1","鱷","鮑","0","0"
"1","要","3110004","0","0","0","亭","0","0","花","也","0","1"
"1","松","3110006","0","0","0","椒","0","0","杉","椰","1","1"
"1","禁食","3110007","0","0","0","牢固地","0","1","快","容易","0","1"
"0","收集","3110009","0","0","0","改正","0","1","正確","得體","1","1"
"1","不過","3110010","0","0","0","然後","0","0","但是","因此","0","1"
"1","步步身高","3110011","0","0","0","測量身高","0","0","氣球往上身高","身高長高","0","1"
"1","打擊","3110012","0","0","0","好球","0","1","罷工","衝鋒","0","1"
"1","畚","3110013","0","0","0","要","0","0","必","奘","0","1"
"1","五","3110015","0","0","0","一","0","0","六","二","0","1"
"1","突襲","3111001","0","0","0","刀刃","0","0","公主","皇后","0","1"
"1","全體","3111002","0","0","0","進攻","0","0","治癒","炸裂","0","1"
"0","G","3120001","0","0","0","H","0","0","F","J","1","1"
"1","白皮膚","3120002","0","0","0","黑髮美女","0","0","金髮","藍色的","0","1"
"1","制裁","3120006","0","0","0","批准","0","1","反對","討伐","0","0"
"1","Sea","3120007","0","0","0","Dam","0","0","Salt Water","Distilled Water","0","1"
"1","美味多汁的","3120008","0","0","0","豪華的","0","0","性感的","悠閒的","0","1"
"1","精力恢復","3120010","0","0","0","提神物","0","1","茶點","重新再來","0","1"
"1","古樸的","3120011","0","0","0","古怪的","0","1","大量的","熟悉的","0","0"
"0","見獵心喜","3120012","0","0","0","見異思遷","0","1","三心二意","七上八下","0","1"
"1","滴水穿石","3120013","0","0","0","滄海桑田","0","0","百折不撓","精衛填海","1","1"
"1","眉頭不伸","3120014","0","0","0","灰身滅智","0","0","愁山悶海","豆重榆瞑","0","1"
"0","樂嗟苦咄","3120015","0","0","0","心花怒放","0","1","大喜若狂","幸災樂禍","0","1"
"0","席不暇暖","3120016","0","0","0","孜孜不倦","0","1","宵衣旰食","夙興夜寐","1","1"
"1","垃圾貓","3121001","0","0","0","混帳精靈族","0","0","羅莉老太婆","該死眼鏡女","0","1"
"1","創造","3121002","0","0","0","鏡子","0","0","物件","阿瓦隆","0","1"
"1","仙姿玉色","3130001","0","0","0","沈腰潘鬢","0","0","秀色可餐","龐眉皓髮","0","1"
"0","視如敝屣","3130002","0","0","0","袖手旁觀","0","1","視若無睹","視如草芥","0","1"
"1","四面受敵","3130004","0","0","0","五里夢中","0","0","前所未聞","嫌妻良母","0","1"
"1","光明正大","3130005","0","0","0","自炊自擂","0","0","專心一意","一期一繪","0","1"
"1","山明水秀","3130006","0","0","0","千鈞一髮","0","1","眉開眼笑","單刀直人","0","1"
"1","三位一體","3130007","0","0","0","垂頭喪氣","0","1","三人成虎","惺味盎然","0","1"
"1","間不容髮","3130010","0","0","0","如箭在弦","0","0","一髮千鈞","當風秉燭","1","1"
"1","如魚得水","3130011","0","0","0","下坂走丸","0","1","順水推舟","洪爐燎髮","1","0"
"0","山盟海誓","3130013","0","0","0","漏泄春光","0","0","連枝比翼","伉儷情深","1","1"
"1","見多識廣","3130014","0","0","0","老馬識途","0","1","事不師古","身經百戰","1","0"
"0","白眉赤眼","3130016","0","0","0","水火不容","0","1","針鋒相對","龍爭虎鬥","1","1"
"1","血盟","3131001","0","0","0","戰記","0","0","煉獄","真空","0","1"
"1","銷魂","3131002","0","0","0","旅行","0","0","絕頂","妄想","0","1"
"1","茄子","3210001","0","0","0","黃瓜","0","1","番茄","白蘿蔔","0","1"
"1","腎臟","3210002","0","0","0","肝臟","0","0","肺","心臟","0","1"
"1","消化系統","3210003","0","0","0","循環系統","0","1","呼吸系統","排泄系統","0","1"
"1","章魚","3210005","0","0","0","海參","0","0","烏賊","海葵","0","1"
"1","無尾熊","3210006","0","0","0","山豬","0","0","袋鼠","樹懶","0","1"
"1","丹鳥","3210008","0","0","0","臭蟲","0","0","火金姑","月娘","0","1"
"1","白粉蝶","3210009","0","0","0","斑緣點藍蝶","0","0","斑緣點粉蝶","斑緣點赤蝶","0","1"
"1","中指","3210010","0","0","0","食指","0","0","小指","拇指","0","1"
"1","B型","3210011","0","0","0","C型","0","0","A型","D型","0","1"
"1","蛤蜊","3210013","0","0","0","寄居蟹","0","0","蜆","蝦子","0","1"
"1","馬","3210014","0","0","0","獅子","0","0","兔子","狼","0","1"
"1","鹿","3210015","0","0","0","熊","0","0","犀牛","無尾熊","0","1"
"1","初音","3211001","0","0","0","禊","0","0","鈴奈","咲戀","0","1"
"1","嘉夜","3211002","0","0","0","祈梨","0","1","帆稀","美冬","0","1"
"1","蜘蛛","3220001","0","0","0","螞蟻","0","0","蜈蚣","水黽","0","1"
"1","蚯蚓","3220002","0","0","0","青蛙","0","0","蝗蟲","人類","0","1"
"1","岩魚","3220003","0","0","0","飛魚","0","0","鹿角魚","鮟鱇魚","0","1"
"1","鬥魚","3220006","0","0","0","金魚","0","0","孔雀魚","青鱂魚","0","1"
"1","風信子","3220007","0","0","0","向日葵","0","0","鬱金香","蒲公英","0","1"
"1","抹香鯨","3220009","0","0","0","藍鯨","0","1","露脊鯨","鯨鯊","0","1"
"1","穿山甲","3220011","0","0","0","日本松雀鷹","0","1","台灣黑熊","亞洲錦蛙","0","1"
"1","哈密瓜","3220012","0","0","0","草莓","0","1","西瓜","香蕉","0","1"
"1","光照","3220013","0","0","0","二氧化碳","0","1","水","氧氣","0","1"
"1","蚤狀溞","3220014","0","0","0","團藻","0","1","水綿","寬翅紡織娘","0","1"
"1","巴哥","3220015","0","0","0","西施","0","1","吉娃娃","索馬利","0","1"
"1","毛毛蟲","3220016","0","0","0","海蟑螂","0","0","綠介殼蟲","眼蟲","0","1"
"1","美美","3221001","0","0","0","優花梨","0","0","莫妮卡","鏡華","0","1"
"1","栞","3221002","0","0","0","莫妮卡","0","1","智","初音","0","1"
"1","羊","3230001","0","0","0","老鼠","0","0","牛","獅子","0","1"
"1","山貓","3230004","0","0","0","獅子","0","1","海鷗","老虎","1","0"
"1","琺瑯質","3230005","0","0","0","牙骨質","0","1","象牙質","牙齦","0","1"
"1","藍腹鷴","3230006","0","0","0","台灣藍鵲","0","1","帝雉","黑面琵鷺","0","1"
"1","仙人掌型","3230007","0","0","0","單瓣型","0","1","白頭翁開","羅塞塔型","0","1"
"1","山椒魚","3230008","0","0","0","海豚","0","0","鱷魚","日本獼猴","0","1"
"1","蝙蝠","3230010","0","0","0","兀鷲","0","0","飛鼠","雕鴞","0","1"
"1","海豚","3230011","0","0","0","企鵝","0","0","鼯鼠","鴕鳥","0","1"
"1","蠑螈","3230012","0","0","0","蝙蝠","0","1","壁虎","蝸牛","1","0"
"1","胸","3230013","0","0","0","腹","0","1","頭","屁股","0","1"
"1","大天鵝","3230014","0","0","0","白枕鶴","0","1","燕子","麻雀","0","1"
"1","烏龜","3230016","0","0","0","蝙蝠","0","0","蛇","人類","0","1"
"1","雪菲","3231001","0","0","0","貪吃佩可","0","0","可可蘿","凱留","0","1"
"1","怜","3231002","0","0","0","帆稀","0","1","可可蘿","拉比林斯達","0","1"
"1","4","3310001","0","0","0","1","0","0","2","3","0","1"
"1","鋁","3310003","0","0","0","銅","0","0","銀","金","0","1"
"1","尺","3310005","0","0","0","英吋","0","1","公尺","法拉","0","1"
"1","餘弦","3310006","0","0","0","正切","0","1","正弦","多切","0","1"
"1","菱形","3310007","0","0","0","長方形","0","1","正方形","扇形","0","1"
"1","215","3310008","0","0","0","827","0","0","405","112","0","1"
"1","E","3310009","0","0","0","D","0","1","L","A","0","1"
"1","鋁","3310010","0","0","0","金","0","1","鐵","銀","1","0"
"1","氫氧化鈉水溶液","3310012","0","0","0","蒸餾水","0","0","肥皂水","硝酸","0","1"
"1","深藍色","3310013","0","0","0","綠色","0","1","紅色","桃色","0","1"
"1","5","3310014","0","0","0","4","0","0","6","3","0","1"
"0","4:1","3310015","0","0","0","15:9","0","1","10:6","12:8","0","1"
"1","大間","3311001","0","0","0","蘭德索爾","0","1","索爾之塔","芭菲之城城鎮","0","1"
"1","芭菲之城城鎮","3311002","0","0","0","索爾之塔","0","0","FUN FUN農場","大間","0","1"
"1","積雨雲","3320001","0","0","0","捲積雲","0","1","魚鱗雲","蜘蛛雲","0","1"
"1","牛郎星","3320002","0","0","0","織女星","0","1","天津四","心宿二","0","1"
"1","施力點","3320003","0","0","0","抗力點","0","1","支點","交點","0","1"
"1","對流","3320004","0","0","0","輻射","0","1","傳導","反射","0","1"
"0","11111","3320005","0","0","0","111111","0","1","111","1111","0","1"
"1","藍色","3320007","0","0","0","綠色","0","1","紅色","黃色","0","1"
"1","天王星","3320008","0","0","0","海王星","0","1","地球","冥王星","0","1"
"1","天鷹座","3320010","0","0","0","小犬座","0","0","天鵝座","大犬座","0","1"
"1","鹽酸","3320011","0","0","0","鹽水","0","0","檸檬果汁","氨水溶液","0","1"
"1","溴","3320014","0","0","0","氧氣","0","0","氯","二氧化碳","0","1"
"1","為最輕的氣體","3320015","0","0","0","顏色為水藍色","0","0","與氧混合燃燒會發出聲響","會發出刺鼻味道","0","1"
"1","2","3320016","0","0","0","1","0","0","3","0","0","1"
"1","月光學院","3321001","0","0","0","墨丘利財團","0","0","小小甜心","王宮騎士團","0","1"
"1","鼻喉保濕效果","3321002","0","0","0","美膚效果","0","0","清涼效果","保溫效果","0","1"
"1","豺狼座","3330001","0","0","0","大熊座","0","1","大犬座","綿羊座","0","1"
"1","參宿七","3330002","0","0","0","牛郎星","0","0","參宿四","天狼星","0","1"
"1","玄武岩","3330003","0","0","0","安山岩","0","1","流紋岩","閃長岩","0","1"
"1","鎂","3330004","0","0","0","鋁","0","0","鈣","鉀","0","1"
"1","碳","3330007","0","0","0","氮","0","0","氧","氫","0","1"
"1","2×2×5×5","3330010","0","0","0","根號1000","0","0","10的二次方","6!","0","1"
"1","根號225","3330011","0","0","0","2×3×4","0","0","4+5+6","112÷7","0","1"
"1","氫","3330012","0","0","0","氧","0","1","碳","氮","0","1"
"1","硝酸","3330013","0","0","0","硫酸","0","0","鹽酸","氫氧化鈉","0","1"
"1","弱核力","3330014","0","0","0","熱力","0","0","強核力","電磁力","1","1"
"1","氯","3330015","0","0","0","矽","0","0","氟","氮","0","1"
"1","鑽石","3330016","0","0","0","富勒烯","0","1","石墨","臭氧","0","1"
"1","佩特羅大森林","3331001","0","0","0","刻瑞斯森林","0","0","卡斯塔利亞樹林","伊麗絲樹海","0","1"
"1","赫里克巨木","3331002","0","0","0","柔卡絲塔岩山","0","1","席歐涅樹林","阿爾巴岸堤","0","1"
"1","廁所","3410001","0","0","0","廚房","0","1","浴室","玄關","0","1"
"1","教育部","3410002","0","0","0","移民署","0","0","國防部","警政署","0","1"
"1","瓦楞紙","3410003","0","0","0","報紙","0","1","雜誌","螢光燈","0","1"
"1","綠色","3410004","0","0","0","藍色","0","1","金色","銀色","0","1"
"0","塞馬運河","3410005","0","0","0","蘇伊士運河","0","1","巴拿馬運河","基爾運河","1","1"
"1","藍色","3410006","0","0","0","黃色","0","1","紅色","紫色","0","1"
"1","廢物利用","3410007","0","0","0","回收","0","1","減少使用","重新開始","0","1"
"1","祖父","3410008","0","0","0","孫","0","1","妻","摯友","0","1"
"1","切絲","3410010","0","0","0","切片","0","1","切末","切手","0","1"
"1","豆腐","3410011","0","0","0","豆漿","0","1","納豆","豆瓣醬","0","1"
"1","白胡椒","3410013","0","0","0","粉紅胡椒","0","1","黑胡椒","紅胡椒","0","1"
"1","普洱","3410015","0","0","0","茉莉","0","1","烏龍","藍山","0","1"
"1","怜","3411001","0","0","0","日和","0","1","優衣","香織","0","1"
"1","禊","3411002","0","0","0","鏡華","0","1","美美","優妮","0","1"
"1","煤","3420001","0","0","0","天然氣","0","1","石油","木柴","0","1"
"1","立法","3420002","0","0","0","行政","0","1","司法","憲法","0","1"
"1","水費","3420003","0","0","0","電車車費","0","0","電費","報紙費","0","1"
"1","財源廣進","3420004","0","0","0","富貴有餘","0","1","闔家平安","黃道吉日","0","1"
"1","多雲時陰","3420005","0","0","0","晴時多雲","0","1","陰時多雲","多霧時陰","0","1"
"1","３號電池","3420007","0","0","0","４號電池","0","1","１號電池","７號電池","0","1"
"1","鐘錶起子","3420009","0","0","0","電動螺絲起子","0","1","組合型螺絲起子","心型起子","0","1"
"1","老豆腐","3420010","0","0","0","凍豆腐","0","1","嫩豆腐","吞豆腐","0","1"
"1","奶油","3420011","0","0","0","優格","0","1","起司","美乃滋","0","1"
"1","炒蛋","3420012","0","0","0","火腿蛋鬆餅","0","1","歐姆蛋","薄切生肉","0","1"
"1","糯米","3420014","0","0","0","口米","0","0","粳米","酢米","0","1"
"1","義大利直麵","3420015","0","0","0","冷麥麵","0","1","烏龍麵","蕎麥麵","0","1"
"1","禊","3421001","0","0","0","鏡華","0","1","美美","碧","0","1"
"1","稀有轉蛋","3421002","0","0","0","巡遊轉蛋","0","0","珍稀轉蛋","飯糰轉蛋","0","1"
"1","Z","3430001","0","0","0","G","0","0","E","P","0","1"
"1","法國","3430002","0","0","0","加拿大","0","0","希臘","土耳其","1","1"
"1","高血糖","3430004","0","0","0","高血脂","0","1","高血壓","高血栓","0","1"
"1","大黑天","3430005","0","0","0","布袋","0","1","惠比壽","達摩","0","1"
"1","噪音","3430007","0","0","0","震動","0","1","地層下陷","流感","0","1"
"1","助行器","3430008","0","0","0","輪椅坡道","0","1","輪椅","電扶梯","0","1"
"1","幼稚園兒童","3430009","0","0","0","小學三年級生","0","0","剛出生半年","國中三年級生","0","1"
"1","油","3430010","0","0","0","蛋","0","1","醋","牛奶","0","1"
"1","威士忌","3430011","0","0","0","啤酒","0","1","燒酎","紅酒","0","1"
"0","F","3430012","0","0","0","V","0","1","C","D","1","1"
"1","鼠田草","3430013","0","0","0","白蘿蔔","0","1","芹菜","香菜","0","1"
"1","穀麥","3430015","0","0","0","燕麥片","0","1","玉米片","莎樂美腸","0","1"
"1","夏日遊戲的霸者","3431001","0","0","0","旗子不能讓出","0","0","絕不退讓的夏日遊戲","沙灘的公主殿下","0","1"
"1","海岸的強棒","3431002","0","0","0","海岸屹立不搖的4號","0","1","海岸的4號見習隊員","噗吉好球","0","1"
"1","圍棋","3510001","0","0","0","西洋棋","0","1","黑白棋","將棋","0","1"
"1","長笛","3510002","0","0","0","直笛","0","1","尺八","小提琴","0","1"
"1","單簧管","3510003","0","0","0","尺八","0","1","太鼓","網路","0","1"
"1","皇后","3510004","0","0","0","主教","0","1","兵","大將","0","1"
"1","車","3510005","0","0","0","砲","0","1","將","槍","0","1"
"1","扭扭遊戲","3510006","0","0","0","飛鏢","0","1","大富翁","撲克牌","0","1"
"1","４","3510007","0","0","0","１","0","1","３","２","0","1"
"1","吃","3510008","0","0","0","槓","0","1","碰","自摸","0","1"
"1","La","3510009","0","0","0","Ti","0","0","Fa","Mi","0","1"
"1","低音提琴","3510013","0","0","0","管風琴","0","0","小提琴","長笛","0","1"
"1","定音鼓","3510014","0","0","0","三角鐵","0","1","鈴鼓","貝斯","0","1"
"1","低音管","3510015","0","0","0","小號","0","0","長笛","低音號","0","1"
