e38fe0c5ac881c92d4c78ce8e2d8b29187a47b5838a21e4d9cfc237e2e26a1da,f9bc3817321936cb8a55f292fe51bbe6a5f2acc26149a272cb58d0ba8a53ea27,221105c83a5cc737cb1fc5cf27aa6bb0416e901709f5fec0717838ba4d532e5d
"與香織的海邊特訓！","1003","5021700"
"始於禮而止於禮","1003","5021701"
"挑戰自己的極限","1003","5021710"
"真的才是最棒的","1003","5021711"
"再次前往艾爾皮斯島！","1004","5027700"
"過熱的戰鬥","1004","5027701"
"真打登場","1004","5027702"
"戰鬥的結果……","1004","5027703"
"朝向更高處邁進！","1004","5027704"
"看守起司！","1005","5040700"
"與小小敵人之間的攻防戰","1005","5040701"
"起司的誘惑","1005","5040702"
"萌生愛意？","1005","5040703"
"勞動會持續到天長地久","1005","5040704"
"通往究極之路","1008","5080700"
"布丁會持續到天長地久","1008","5080701"
"不會結束的假期","1010","5096700"
"競爭、互相理解的羈絆","1010","5096701"
"教教我吧，凱留老師","1012","5126700"
"酸酸甜甜的是誰害的？","1012","5126701"
"最討厭讀書……？","1012","5126702"
"鉛筆100支份的青春","1012","5126703"
"會讀書的女生！","1012","5126710"
"效果驚人到笑出來","1012","5126711"
"熟能生巧？","1012","5126712"
"解不開的不可思議","1012","5126713"
"以更高的境界為目標","1013","5142700"
"挑戰極限","1013","5142701"
"美好的友情","1013","5142702"
"戰車戰鬥大會，開幕！","1014","5156700"
"無限持續的戰鬥跑道","1014","5156701"
"團結一致以答對為目標！","1009","9004201"
