9f404ea0e9937beeb659e82c494698b749a588abd774b7f6ca7f90c589ba0330,a76f2dd53bb2670f6b8a1b9202e361b6d7778cb463b418164a6490bebd2d5eda,df59f475fbeff8cea266875dc21f947630ddaace2284f43cf23341e5a6db1513
"0","1","1"
"1","1","1"
"2","1","1"
"5","1","1"
"0","1","2"
"1","1","2"
"2","1","2"
"5","1","2"
"0","1","3"
"1","1","3"
"2","1","3"
"5","1","3"
"0","1","4"
"1","1","4"
"2","1","4"
"5","1","4"
"0","1","5"
"1","1","5"
"2","1","5"
"5","1","5"
"0","1","6"
"1","1","6"
"2","1","6"
"5","1","6"
"0","1","7"
"1","1","7"
"2","1","7"
"5","1","7"
"0","1","8"
"1","1","8"
"2","1","8"
"5","1","8"
"0","1","9"
"1","1","9"
"2","1","9"
"5","1","9"
"0","1","10"
"1","1","10"
"2","1","10"
"5","1","10"
"0","1","11"
"1","1","11"
"2","1","11"
"5","1","11"
