a4c9ff6ddda9598fc0acf28d77cdf93f25576035fb65bfa473c05a80479abb99,15c274e0b612b6ad9f5fddbe0e7fa1a660708b422729de2b986d2ee70249dca8,291547adc3aede07a766127ca663a90bcf4ec1107fed9e9e53421e9a558205b3,666b6fff1bc24f87a340e95fac98650f143d31b4bdccc6cd11a620fa6adc690e,697f48f4791e2399b1978f5fc2ab7665213dbe945548507afec58d44ae5bae16,488a20e6e010fce96dbd91458865e23b4c9327857632888613510f57b38b702d,3d66922db591fcafa9e2dd787c2080d6ed8fa64f6f3eb148a182552bb2159d9c,ae0ff131dbfa62b1e8c00b89392243fcc57408c26429a8ffde37eefa86959d01,c7b51b24cf1a30c166fb6089dbe9210a9a76b80e11462bacbfbada9d1173a6f5,7463011e83093820eae9e8bc893cbb81381979d67ac9208a18bcb308fd837652,e9b633d7037ec5f5f2a6eb572d4ce2df6ac3f995a88b99a289eba559d24b60b1,ed687cbb6f45901db8c9f632c2e359007a86f1bdffa6c6cbcbdd291356175339
"1010001","vo_10020900","0","2","1","0","0","0","0","0","1","vo_10020900_0001"
"1010002","0","1","1","2","0","0.818181818181818","0","0","180","1","0"
"1010003","0","1","4","3","1","0","0.818181818181818","0","0","1","0"
"1010004","0","2","1","4","0","0.634285714285714","0","0","226","1","0"
"1010005","0","2","4","5","1","0","1.03428571428571","0","0","1","0"
"1010006","0","2","1","6","0","1.33714285714286","0","226","460","1","0"
"1010007","0","2","4","7","1","0","2.13714285714286","0","0","1","0"
"1010008","vo_10020900","0","2","8","0","0","0","0","0","1","vo_10020900_0002"
"1010009","0","3","1","9","0","1.12948051948052","0","0","132","1","0"
"1010010","0","3","4","10","1","0","2.12948051948052","0","0","1","0"
"1010011","vo_10020900","0","2","11","0","0","0","0","0","1","vo_10020900_0003"
"1010012","0","3","1","12","0","0.545454545454545","0","132","271","1","0"
"1010013","0","3","4","13","1","0","1.04545454545455","0","0","1","0"
"1010014","0","3","1","14","0","1.71545454545455","0","271","700","1","0"
"1010015","0","3","4","15","1","0","2.71545454545455","0","0","1","0"
"1010016","vo_10020900","0","2","16","0","0","0","0","0","1","vo_10020900_0004"
"1010017","0","4","1","17","0","1.67857142857143","0","0","244","1","0"
"1010018","0","4","4","18","1","0","2.17857142857143","0","0","1","0"
"1010019","vo_10020900","0","2","19","0","0","0","0","0","1","vo_10020900_0005"
"1010020","0","4","1","20","0","1.28311688311688","0","244","715","1","0"
"1010021","0","4","4","21","1","0","1.98311688311688","0","0","1","0"
"1010022","0","5","1","22","0","1.2987012987013","0","0","214","1","0"
"1010023","0","5","4","23","1","0","1.9987012987013","0","0","1","0"
"1010024","0","5","1","24","0","2.07792207792208","0","214","603","1","0"
"1010025","0","5","4","25","1","0","3.07792207792208","0","0","1","0"
"1010026","vo_10020900","0","2","26","0","0","0","0","0","1","vo_10020900_0006"
"1010027","0","6","1","27","0","1.06363636363636","0","0","241","1","0"
"1010028","0","6","4","28","1","0","1.56363636363636","0","0","1","0"
"1010029","0","6","1","29","0","2.96","0","241","750","1","0"
"1010030","0","6","4","30","1","0","3.96","0","0","1","0"
"1010031","vo_10020900","0","2","31","0","0","0","0","0","1","vo_10020900_0007"
"1010032","0","7","1","32","0","0.386363636363636","0","0","85","1","0"
"1010033","0","7","4","33","1","0","0.886363636363636","0","0","1","0"
"1010034","0","7","1","34","0","3.54090909090909","0","85","750","1","0"
"1010035","0","7","4","35","1","0","4.54090909090909","0","0","1","0"
"1010036","vo_10020900","0","2","36","0","0","0","0","0","1","vo_10020900_0008"
"1010037","0","8","1","37","0","0.431818181818182","0","0","138","1","0"
"1010038","0","8","4","38","1","0","1.03181818181818","0","0","1","0"
"1010039","vo_10020900","0","2","39","0","0","0","0","0","1","vo_10020900_0009"
"1010040","0","8","1","40","0","0.709090909090909","0","138","349","1","0"
"1010041","0","8","4","41","1","0","1.30909090909091","0","0","1","0"
"1010042","vo_10020900","0","2","42","0","0","0","0","0","1","vo_10020900_0010"
"1010043","0","8","1","43","0","3.07662337662338","0","349","750","1","0"
"1010044","0","8","4","44","1","0","4.07662337662338","0","0","1","0"
"1010045","vo_10020900","0","2","45","0","0","0","0","0","1","vo_10020900_0011"
"1010046","0","9","1","46","0","1.43506493506493","0","0","242","1","0"
"1010047","0","9","4","47","1","0","2.43506493506493","0","0","1","0"
"1010048","vo_10020900","0","2","48","0","0","0","0","0","1","vo_10020900_0012"
"1010049","0","9","1","49","0","2.75","0","242","754","1","0"
"1010050","0","9","4","50","1","0","3.95","0","0","1","0"
"1010051","vo_10020900","0","2","51","0","0","0","0","0","1","vo_10020900_0013"
"1010052","0","10","1","52","0","1.67792207792208","0","313","556","1","0"
"1010053","0","10","4","53","1","0","2.27792207792208","0","0","1","0"
"1010054","0","10","1","54","0","0.9","0","556","750","1","0"
