538a7ed0843b73451e59d803f154ffde6a59efe2d1946f1fbd9703b29d498919,5a3b9a52feed1dddcea1b962e0c569a4f8f8bec16acd4b8dd710bcbe4a733d3e,9037319c78c33a8d9cce0890bb28fa934ce6e062f9493b7ffca045de27fe3251,729fc5f0daa21c2ac3a2ef2b2be1a5b79e99e831a54a146a1c2a225aaf2ccf24,bb0e491dd0c998bc750507a1051c1c526c5310e65fbf3244288967660158daea,67663cbce5c32c5fe19574eb4eb85ca73c03d1fd00c5793480359a7b8a701ce3,723d5590884447aae4755dab84b9a476b94d7fecb21970276d4ae51b3202909b,97c8e3b5c3b68a3f48d5ba843d2463271cf3b9842ffcc70aac8c114f4228b853,8410f513e53ea9b1fa3f1f73a6712e951abed6d8b851f8b9f0fb16f5ec9c25ae,2b7d07deb7e339a7a2bb86bc8fbf002f919fc97986104a91d2f46fce5f57beae,70f78261a82532bc1eed8cd199b90e7bcbcde6bdbd83ba93d2edb835ae02c279
"10","8","1","31","281001001","91002","25021","25011","2","8","2"
"10","8","2","31","281001002","91002","25021","25011","2","8","2"
"10","8","3","32","281001003","91002","25021","25011","2","8","2"
"10","8","4","32","281001004","91002","25021","25011","2","8","2"
"10","8","5","33","281001005","91002","25021","25011","2","8","2"
"10","9","6","33","281001006","91002","25021","25011","2","8","2"
"10","9","7","34","281001007","91002","25021","25011","2","8","2"
"10","9","8","35","281001008","91002","25021","25011","2","8","2"
"10","9","9","35","281001009","91002","25021","25011","2","8","2"
"30","10","10","37","281001010","91002","25021","25011","2","8","2"
"10","10","11","41","281001011","91002","25021","25011","2","8","2"
"10","11","12","43","281001012","91002","25021","25011","2","8","2"
"10","11","13","46","281001013","91002","25021","25011","2","8","2"
"10","12","14","48","281001014","91002","25021","25011","2","8","2"
"10","12","15","50","281001015","91002","25021","25011","2","8","2"
"10","13","16","53","281001016","91002","25021","25011","2","8","2"
"10","14","17","55","281001017","91002","25021","25011","2","8","2"
"10","14","18","58","281001018","91002","25021","25011","2","8","2"
"10","15","19","60","281001019","91002","25021","25011","2","8","2"
"30","15","20","62","281001020","91002","25021","25011","2","8","2"
"10","16","21","68","281001021","91002","25021","25011","2","8","2"
"10","16","22","70","281001022","91002","25021","25011","2","8","2"
"10","16","23","72","281001023","91002","25021","25011","2","8","2"
"10","17","24","75","281001024","91002","25021","25011","2","8","2"
"10","18","25","77","281001025","91002","25021","25011","2","8","2"
"10","18","26","79","281001026","91002","25021","25011","2","8","2"
"10","19","27","82","281001027","91002","25021","25011","2","8","2"
"10","19","28","84","281001028","91002","25021","25011","2","8","2"
"10","19","29","86","281001029","91002","25021","25011","2","8","2"
"30","20","30","89","281001030","91002","25021","25011","2","8","2"
"10","20","31","94","281001031","91002","25021","25011","2","8","2"
"10","21","32","96","281001032","91002","25021","25011","2","8","2"
"10","21","33","99","281001033","91002","25021","25011","2","8","2"
"10","22","34","101","281001034","91002","25021","25011","2","8","2"
"10","22","35","103","281001035","91002","25021","25011","2","8","2"
"10","23","36","106","281001036","91002","25021","25011","2","8","2"
"10","23","37","108","281001037","91002","25021","25011","2","8","2"
"10","24","38","111","281001038","91002","25021","25011","2","8","2"
"10","25","39","113","281001039","91002","25021","25011","2","8","2"
"30","25","40","115","281001040","91002","25021","25011","2","8","2"
"10","26","41","121","281001041","91002","25021","25011","2","8","2"
"10","27","42","123","281001042","91002","25021","25011","2","8","2"
"10","28","43","125","281001043","91002","25021","25011","2","8","2"
"10","28","44","128","281001044","91002","25021","25011","2","8","2"
