6f385aa39a5d699aa178afd16867c06917719342e323b97ed1ac76a4c7b7d6dc,65a8a934aca5f769f36f3c8a685b122bc9491e327969c456e73d6ef0a77685a9,c3c0a970943153e28b8e771a32df7bd6192f0f0c57cd540e25283edca9dbfb03,a2a5c812f0316468d0fa762a83bfdef5067ce3a1fb96f491ba277a2368341ac3,b1e558f809b7def396bb9868bb6ae65a3f30126f83db00374cffd55bc2468776,92722f20969a64bfe8fc1aa73b873c89ae4e9aa420b7e17b7ee57a4c67dc371a,451a2c46bc341c102dd4e7b4daa0a1ff6c15f1e32f3f5f3f99958af566d61eff,51561e186fee4daea1ea5a746b5d278d1dced262eaf691009c68f3a3557c22f9,7df2048861d887237dafa1e608eacf4095be7a302bdc0a1002b62ada97e3dbfa,ef1a8c4fe494e0ccbee30acc96ab7fa3f22c3cd25dae9981f3571106cdcb5b3b,2ce6d3fc1de252750915f5c483e8aec742f0c70b75847bf882cee1533fb13212
"1","100","1","5","102611","ttk_idle_def","1010001","1","-120","1000","1"
"","0","1","31","2","","1010002","2","1","0","1"
"","-120","1","31","1","","1010003","1","1","-80","1"
"","","","93","","","1010004","1","","","1"
"","0","","21","vo_minigame_1005_top_000","","1010005","vo_minigame_1005","","0","1"
"0.3","ttk_idle_doya","0.3","3","ttk_doya","","1010006","102611","1","0","1"
"0","","0","11","我會把大家\n交代的工作做好的","","1010007","102611","","8","1"
"","","","91","","","1010008","0","","","1"
"1","100","1","5","102611","ttk_idle_def","1020001","1","-120","1000","2"
"","0","1","31","2","","1020002","2","1","0","2"
"","-120","1","31","1","","1020003","1","1","-80","2"
"","","","93","","","1020004","1","","","2"
"","0","","21","vo_minigame_1005_top_001","","1020005","vo_minigame_1005","","0","2"
"0.3","ttk_idle_def","0.3","3","ttk_idle_smile","","1020006","102611","1","0","2"
"0","","0","11","我會讓你後悔\n出現在\n我面前的","","1020007","102611","","8","2"
"","","","91","","","1020008","0","","","2"
"1","100","1","5","102611","ttk_idle_def","1030001","1","-120","1000","3"
"","0","1","31","2","","1030002","2","1","0","3"
"","-120","1","31","1","","1030003","1","1","-80","3"
"","","","93","","","1030004","1","","","3"
"","0","","21","vo_minigame_1005_top_002","","1030005","vo_minigame_1005","","0","3"
"0.3","ttk_idle_joy","0.1","3","ttk_joy","","1030006","102611","1","0","3"
"0","","0","11","只要掌握到訣竅\n其實也還蠻開心的\n不對，勞動就是勞動……","","1030007","102611","","8","3"
"","","","93","","","1030008","2.2","","","3"
"0.3","","0.3","3","ttk_talk_sad","","1030009","102611","","1","3"
"","","","93","","","1030010","3","","","3"
"0.3","","0.3","3","ttk_idle_def","","1030011","102611","","1","3"
"","","","91","","","1030012","0","","","3"
"1","100","1","5","102611","ttk_idle_def","1040001","1","-120","1000","4"
"","0","1","31","2","","1040002","2","1","0","4"
"","-120","1","31","1","","1040003","1","1","-80","4"
"","","","93","","","1040004","1","","","4"
"","0","","21","vo_minigame_1005_top_003","","1040005","vo_minigame_1005","","0","4"
"0.3","ttk_idle_shock","0.3","3","ttk_shock","","1040006","102611","1","0","4"
"0","","0","11","我根本不想知道\n老鼠的事情好嗎\n唉……麻煩死了","","1040007","102611","","8","4"
"","","","93","","","1040008","5","","","4"
"0.3","","0.3","3","ttk_idle_def","","1040009","102611","","1","4"
"","","","93","","","1040010","0.7","","","4"
"1","100","1","5","102611","ttk_idle_def","1050001","1","-120","1000","5"
"","0","1","31","2","","1050002","2","1","0","5"
"","-120","1","31","1","","1050003","1","1","-80","5"
"","","","93","","","1050004","1","","","5"
"","0","","21","vo_minigame_1005_top_004","","1050005","vo_minigame_1005","","0","5"
"0.3","","0.3","3","ttk_surprise","","1050006","102611","","0","5"
"0","","0","11","唔哇！？\n別過來！\n唉……一隻接著一隻\n趕老鼠還真不容易……","","1050007","102611","","8","5"
"","","","93","","","1050008","0.9","","","5"
"0.3","","0.3","3","ttk_talk_anger","","1050009","102611","","1","5"
"","","","93","","","1050010","0.8","","","5"
"0.3","ttk_talk_sad","0.3","3","ttk_sad","","1050011","102611","1","0","5"
"","","","93","","","1050012","5","","","5"
"0.3","","0.3","3","ttk_idle_def","","1050013","102611","","1","5"
"","","","91","","","1050014","0","","","5"
"1","100","1","5","102611","ttk_idle_def","1060001","1","-120","1000","6"
"","0","1","31","2","","1060002","2","1","0","6"
"","-120","1","31","1","","1060003","1","1","-80","6"
"","","","93","","","1060004","1","","","6"
"","0","","21","vo_minigame_1005_top_005","","1060005","vo_minigame_1005","","0","6"
"0.3","","0.3","3","ttk_idle_worry","","1060006","102611","","1","6"
"0","","0","11","我完全不想要\n習慣這種事情……\n不過為了牧場，\n也只能這麼做了","","1060007","102611","","8","6"
"","","","93","","","1060008","7","","","6"
"0.3","ttk_idle_def","0.3","3","ttk_amz","","1060009","102611","1","0","6"
"","","","91","","","1060010","0","","","6"
