6f622fa078added61b38fbae1247b59167ccd8c60f4e360de185114a1d88364a,7a96135fee6b74e47f6f0ef4fbb394080ed7de2444bf3d91b8e779236e65931e,4e248766ea08fe839e39d126eb197b5aaf5d786170cbb793c90013ca06770470,05f78cea847e13441cea03b6f41befc998c35ca0acf215c8919ad6f6e1943f92,5ca9d7bf0fc33be7a19ff0489fdd5326a25517e9ba7b4e0dc84aa7b227e7e311,64e7273084d0ad9e6eaf90197ddcb519cc2974bf03c40a4c4d40577ca65d352c,adc063315d8d86a6838c5ffa8427e2f95157083301d6f69b306e5e3df3422bd9,a8cc9673e63dc4a94c3215fe8c4d211fa4daf5017035943a51fe419c5f777eb7,3e2765959235d2f1f2db800bd1c9f6c0d9ac49e2a891c2ceffecbc219111c190,52c8d6854e004e0dcdd92ca7fcbfbac4976b47be5619eb1241ebdd614a4644b5,7e3e57fbc8550590e4f390f2bf4361ead5550374329f88702ddb9bf1239a581e,488115ec78b6388806ce0e77ce7850775aa1d8e8215abdbfdb582988080aec50,2a4212fad55985e1e8f1a27f8ffe126351174a3f021e81d03458ecf4d7b2bcf0,5b6c3c68ddb440699379d2ee59b45230328fa37141c27b21e1cfd438ca15ffdf,3d6c3269ef8d3777fdf7b6bc97d753926ea5601db106adf67a12dc33df1f8293,ee0ef03f1896286dd21644d912bddb579cb45dd0635e6c25f96ca22ffde27b29,76d825e0571b058b204f5412a9360cc56a3837ebf8c2ea9847b5ced3265cd1a5,9e8ed7bde2134f317f734a677d6ebd8e6f0e461cf48a9ba59033f3418414a748,1a8c181ac654cfe670d6906316db767d3164170ba1e129565beaa58a468bd54b,6c8a03edf444add8854646b8ddf415daa653ad71ad63a6006ab9c7b9ad7aa551,c1f3cea4facbbabaa9deb53e140552fc6572d055c347d76ae4e2e8bc3db4199c,b685e7536f87549664ff803a4f22146248804b9f992c6aacd9fb7d2ac798b011,c75b5f5382dd9d5ef0837581950e57e32fb63684a07823892e72399d6eba2b5d,6bfeb6a9b803fbea9112df933a255b36ef165d131344d3e519e36848bf2699a6,c7a713778ca0abc12cce31f0e01e1db1ee83ca91e0ca36c632f6283ce53b9eac,bb6c367b327ccc08f4f0dfc15bb578a04ab32452efde7ca9e1e0cfd4869b0780
"0","2","0","0","0","0","0","34","2","60002","33","0","1000110101","2","0","0","60002","33","0","3","2","0","0","4","60002","0"
"0","12","0","0","0","0","0","34","3000","94002","33","0","1000110102","12","0","0","94002","33","0","4000","12","0","0","5000","94002","0"
"0","0","0","0","0","0","0","0","1","0","100","0","1000110103","0","0","0","0","0","eq_rank_3-6","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","97","1","0","3","0","1000120101","0","0","0","60002","0","1000120101","1","2","0","0","0","0","0"
"0","0","0","0","0","0","0","97","1","0","3","0","1000120102","0","0","0","60002","0","1000120102","1","2","0","0","0","0","0"
"0","2","0","0","0","0","0","34","3","60002","33","0","1000120103","2","0","0","60002","33","0","4","2","0","0","5","60002","0"
"0","12","0","0","0","0","0","34","30000","94002","33","0","1000120104","12","0","0","94002","33","0","32000","12","0","0","34000","94002","0"
"0","0","0","0","0","0","0","0","1","0","100","0","1000120105","0","0","0","0","0","eq_rank_4-7","0","0","0","0","0","0","0"
"0","2","0","0","0","0","0","34","2","60012","33","0","1000210101","2","0","0","60012","33","0","3","2","0","0","4","60012","0"
"0","12","0","0","0","0","0","34","3000","94002","33","0","1000210102","12","0","0","94002","33","0","4000","12","0","0","5000","94002","0"
"0","0","0","0","0","0","0","0","1","0","100","0","1000210103","0","0","0","0","0","eq_rank_3-6","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","97","1","0","3","0","1000220101","0","0","0","60012","0","1000220101","1","2","0","0","0","0","0"
"0","0","0","0","0","0","0","97","1","0","3","0","1000220102","0","0","0","60012","0","1000220102","1","2","0","0","0","0","0"
"0","2","0","0","0","0","0","34","3","60012","33","0","1000220103","2","0","0","60012","33","0","4","2","0","0","5","60012","0"
"0","12","0","0","0","0","0","34","10000","94002","33","0","1000220104","12","0","0","94002","33","0","10500","12","0","0","11000","94002","0"
"0","0","0","0","0","0","0","0","1","0","100","0","1000220105","0","0","0","0","0","eq_rank_4-7","0","0","0","0","0","0","0"
"0","2","0","0","0","0","0","34","2","60022","33","0","1000310101","2","0","0","60022","33","0","3","2","0","0","4","60022","0"
"0","12","0","0","0","0","0","34","3000","94002","33","0","1000310102","12","0","0","94002","33","0","4000","12","0","0","5000","94002","0"
"0","0","0","0","0","0","0","0","1","0","100","0","1000310103","0","0","0","0","0","eq_rank_3-6","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","1","0","100","0","1000320101","0","0","0","0","0","1000320101","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","1","0","100","0","1000320102","0","0","0","0","0","1000320102","0","0","0","0","0","0","0"
"0","2","0","0","0","0","0","34","4","60022","33","0","1000320103","2","0","0","60022","33","0","5","2","0","0","6","60022","0"
"0","12","0","0","0","0","0","34","10000","94002","33","0","1000320104","12","0","0","94002","33","0","10500","12","0","0","11000","94002","0"
"0","0","0","0","0","0","0","0","1","0","100","0","1000320105","0","0","0","0","0","eq_rank_4-7","0","0","0","0","0","0","0"
"0","2","0","0","0","0","0","34","2","60032","33","0","1000410101","2","0","0","60032","33","0","3","2","0","0","4","60032","0"
"0","12","0","0","0","0","0","34","3000","94002","33","0","1000410102","12","0","0","94002","33","0","4000","12","0","0","5000","94002","0"
"0","0","0","0","0","0","0","0","1","0","100","0","1000410103","0","0","0","0","0","eq_rank_3-6","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","1","0","100","0","1000420101","0","0","0","0","0","1000420101","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","1","0","100","0","1000420102","0","0","0","0","0","1000420102","0","0","0","0","0","0","0"
"0","2","0","0","0","0","0","34","4","60032","33","0","1000420103","2","0","0","60032","33","0","5","2","0","0","6","60032","0"
"0","12","0","0","0","0","0","34","10000","94002","33","0","1000420104","12","0","0","94002","33","0","10500","12","0","0","11000","94002","0"
"0","0","0","0","0","0","0","0","1","0","100","0","1000420105","0","0","0","0","0","eq_rank_4-7","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","1","31076","100","0","1000430101","2","0","0","0","0","0","0","0","0","0","0","0","0"
"0","2","0","0","0","0","0","34","2","60032","33","0","1000430102","2","0","0","60032","33","0","5","2","0","0","8","60032","0"
"0","12","0","0","0","0","0","34","30000","94002","33","0","1000430103","12","0","0","94002","33","0","31500","12","0","0","33000","94002","0"
"0","0","0","0","0","0","0","0","3","0","100","0","1000430104","0","0","0","0","0","eq_rank_5-8","0","0","0","0","0","0","0"
"0","2","0","0","0","0","0","34","2","60042","33","0","1000510101","2","0","0","60042","33","0","3","2","0","0","4","60042","0"
"0","12","0","0","0","0","0","34","3000","94002","33","0","1000510102","12","0","0","94002","33","0","4000","12","0","0","5000","94002","0"
