92d593dbd7788fca0f2b3ce943843c3a747607cef14fe80f3be88e5d6ce0f95e,b023012dae889ff6590ea28587d25b6cbca002ced9537dd7c3e31cc0cf1d6808,9b96f5499df0ea5b58d8d38ec9bbe801157e79918fdc58bd3492a6f6903e54eb,341cbd214871ae572a3bd6198d1c55dbc09ae57edbffb3d465a9cc14ed2640ea,a7ce6cfb58aa31ccb2361f27f6068ac9ccb4181935891deb6b5ca63c59f5c311
"追加1隻闇影","add_shadow","追加吉塔的闇影。","1","74001102"
"追加3隻闇影","add_shadow","追加吉塔、咲戀（夏日）、愛梅斯的闇影。","2","74001103"
"闇影★6化","star6_shadow","望的闇影變成★6。","3","74001104"
"追加3隻闇影","add_shadow","追加吉塔、咲戀（夏日）、愛梅斯的闇影。","4","74001104"
"闇影★6化","star6_shadow","望、吉塔、鏡華的闇影\n變成★6。","5","74001105"
"追加3隻闇影","add_shadow","追加吉塔、咲戀（夏日）、愛梅斯的闇影。","6","74001105"
"追加1隻闇影","add_shadow","追加優花梨的闇影。","7","74001202"
"追加3隻闇影","add_shadow","追加優花梨、矛依未（新年）、優衣的闇影。","8","74001203"
"闇影★6化","star6_shadow","優花梨與優衣的闇影變成★6。","9","74001204"
"追加3隻闇影","add_shadow","追加優花梨、矛依未（新年）、優衣的闇影。","10","74001204"
"闇影★6化","star6_shadow","宮子、優花梨、真步、優衣的闇影變成★6。","11","74001205"
"追加3隻闇影","add_shadow","追加優花梨、矛依未（新年）、優衣的闇影。","12","74001205"
"Boss魔法傷害降低","boss_magic_cut","戰鬥開始時，Boss怪物的魔法傷害為減少20%的狀態。","13","74001301"
"Boss魔法傷害降低","boss_magic_cut","戰鬥開始時，Boss怪物的魔法傷害為減少50%的狀態。","14","74001302"
"追加1隻闇影","add_shadow","追加靜流（夏日）的闇影。","15","74001302"
"開始時恢復TP","energy_recover","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","16","74001303"
"Boss魔法傷害降低","boss_magic_cut","戰鬥開始時，Boss怪物的魔法傷害為減少50%的狀態。","17","74001303"
