2ea675b7755e760dac895e15706562c9b4fa0681ffe21b69c7cd5772932f788b,0621d82eca0fe946d99e61c3c775e08783acb06420dd3ebad133ce8215c5f1ff,8707f7d4594c899b7c807034b942bb55f288d65564d5b2b84d24f4f28ccb78be,8fe1c7cf7b3dddfcba123a77b3dae292341cb1d62587bec33fbcaa5aba7164f7,adac5f3c1061785526d7e618f20fbed29efac22b78b166b3d32e440fd3b39896,e4ebd0641889f674d46fdbc9146ac7f6156b8b88ce5e323097811d5c23323c35,4dc25ee52af1d5b8d965bd5c6f620c50a6772f5804b446309dda2cb6766fcb3f,d237d600d7885febbd2017f062f4e8337671d8a2f271078d7a8a9b9502bf753b
"【料理】骰子增加成為兩個","52001","0","1","1","1","1","0"
"【料理】骰子只會丟出「1」","52002","0","1","1","1","2","0"
"【料理】跳過下次的回合數計算","52002","0","2","1","3","3","0"
"【料理】骰子只會丟出「4」","52004","0","1","1","1","4","0"
"【料理】骰子只會丟出\n「4・5・6」","52006","0","1","1","1","5","0"
"【料理】骰子第1次只會丟出「3」，第2次只會丟出「6」","52007","0","1","1","1","6","0"
"【料理】骰子只會丟出「5」","52003","0","1","1","1","7","0"
"【料理】里程格所獲得的里程將提升200%","52008","0","7","1","2","8","0"
"【事件】跳過下次的回合數計算","4","0","2","2","3","9","0"
"【事件】里程格所獲得的里程將提升100%","5","0","3","2","2","10","0"
"【事件】小遊戲所獲得的里程將提升100%","6","0","5","2","2","11","0"
"【事件】里程商店的所有商品折價20%以上","7","0","4","2","3","12","0"
"【料理】骰子第1次只會丟出「8」，第2次只會丟出「1」","52009","0","1","1","1","13","0"
"【料理】「里程格」「寶物格」\n「商店格」的RANK提升1個","52010","0","6","1","2","14","0"
"【料理】骰子第1次只會丟出「2」，第2次只會丟出「7」","52011","0","1","1","1","15","0"
"【料理】骰子只會丟出\n「1・2・3」","52012","0","1","1","1","16","0"
"【料理】跳過下次的回合數計算","52012","0","2","1","3","17","0"
"【料理】移動時將可以跳過里程格。","52014","0","8","1","1","18","0"
"【料理】下次移動時，將多移動1格。","52005","0","1","1","1","19","0"
"【料理】下次移動時，將多移動1格。","52014","2","1","1","1","20","2"
"【料理】骰子增加成為兩個","52015","0","1","1","1","21","0"
"【料理】下次移動時，將多移動1格。","52015","0","1","1","1","22","0"
"【料理】投擲的骰子一定會丟出「6」。","52016","0","1","1","1","23","0"
"【料理】變得無法食用移動系的料理。","52017","0","9","1","1","24","0"
"【料理】投擲的骰子一定會丟出「3」。","52018","0","1","1","1","25","0"
"【料理】投擲的骰子一定會丟出「8」。","52019","0","1","1","1","26","0"
"【事件】跳過下次的回合數計算","98011","0","2","2","3","27","0"
"【事件】跳過下次的回合數計算","98012","0","2","2","3","28","0"
"【料理】移動時將可以跳過里程格。","52020","0","10","1","2","29","0"
"【料理】下次移動時，將多移動1格。","52020","2","1","1","1","30","2"
"【料理】移動時可以跳過寶物格。","52021","0","10","1","2","31","0"
"【料理】投擲的骰子丟出「5和6」的\n機率變成3倍。","52022","0","1","1","1","32","0"
"【料理】第1次投擲骰子一定會丟出「6」，第2次一定會丟出「3」","52023","0","1","1","1","33","0"
"【料理】下次移動時多前進3格","52024","0","1","1","1","34","0"
"【料理】移動時可以跳過「里程格」及「寶物格」。","52025","0","10","1","2","35","0"
"【料理】骰子只會丟出「5」","52027","0","1","1","1","36","0"
"【料理】投擲的骰子\n只會丟出「1、2」。","52028","0","1","1","1","37","0"
"【料理】投擲的骰子一定會丟出「2」。","52029","0","1","1","1","38","0"
"【料理】跳過下次的回合數計算","52029","0","2","1","3","39","0"
"【事件】里程商店的所有商品折價20%以上","8","0","4","2","3","40","0"
"【料理】將「里程格」變成「寶物格」。","52030","0","11","1","3","41","0"
"【料理】下次投擲的骰子\n會丟出「1、6、6、6、8、8」。","52031","0","1","1","1","42","0"
"【料理】移動時可以跳過料理格","52032","0","10","1","2","43","0"
"取得最大n里程","1","0","99","3","1","1001","0"
"重新擲1次骰子","2","0","99","3","1","1002","0"
"重新擲1次骰子_有效回合2","3","0","99","3","1","1003","0"
"【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","1001","0","126501","3","1","11001","0"
"【夥伴】取得最大1000里程","1002","0","105301","3","1","11002","0"
"【夥伴】取得1個料理","1003","0","126401","3","1","11003","0"
"【夥伴】重新擲1次骰子","1004","0","100501","3","1","11004","0"
"【夥伴】重新擲2次骰子","1005","0","101301","3","1","11005","0"
"【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","1006","0","104301","3","1","11006","0"
"【夥伴】同時投擲數字為3的骰子並可在骰子之間做選擇","1007","0","102701","3","1","11007","0"
"【夥伴】追加投擲骰子直到數字合計為7以上","1008","0","100901","3","1","11008","0"
"【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","1009","0","105101","3","1","11009","0"
"【夥伴】取得最大1000里程","1010","0","101801","3","1","11010","0"
"【夥伴】可以選擇使用骰子的正面或背面","1011","0","129701","3","1","11011","0"
"【夥伴】重新擲1次骰子","1012","0","101601","3","1","11012","0"
"【夥伴】重新擲2次骰子","1013","0","105601","3","1","11013","0"
"【夥伴】同時投擲數字為3的骰子並可在骰子之間做選擇","1014","0","102001","3","1","11014","0"
"【夥伴】追加投擲骰子直到數字合計為7以上","1015","0","129601","3","1","11015","0"
"【夥伴】骰子擲出奇數時，可以讓對手休息1個回合","1016","0","100401","3","1","11016","0"
"【夥伴】骰子擲出偶數時，多前進1格。","1017","0","127701","3","1","11017","0"
"【夥伴】骰子擲出奇數時，可以讓對手休息1個回合","1018","0","127801","3","1","11018","0"
"【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","1019","0","104801","3","1","11019","0"
"【夥伴】重新擲2次骰子","1020","0","104701","3","1","11020","0"
"【夥伴】追加投擲骰子直到數字合計為7以上","1021","0","105001","3","1","11021","0"
"【夥伴】取得最大2000里程","1022","0","103201","3","1","11022","0"
"【夥伴】取得1張抽獎券","1023","0","130901","3","1","11023","0"
"【夥伴】取得1個料理","1024","0","102501","3","1","11024","0"
"【夥伴】可以選擇使用骰子的正面或背面","1025","0","100801","3","1","11025","0"
"【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","1026","0","123301","3","1","11026","0"
"【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","1027","0","104601","3","1","11027","0"
"【夥伴】重新擲2次骰子","1028","0","118101","3","1","11028","0"
"【夥伴】追加投擲骰子直到數字合計為7以上","1029","0","103401","3","1","11029","0"
"【夥伴】取得最大2000里程","1030","0","118001","3","1","11030","0"
"【夥伴】取得1張抽獎券","1031","0","102801","3","1","11031","0"
"【夥伴】取得1個料理","1032","0","100201","3","1","11032","0"
"【夥伴】骰子擲出奇數時，多前進1格。","1033","0","101201","3","1","11033","0"
"【夥伴】重新擲1次骰子","1034","0","118201","3","1","11034","0"
"【夥伴】追加投擲骰子直到數字合計為7以上","1035","0","106101","3","1","11035","0"
"【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","1036","0","103101","3","1","11036","0"
"【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","1037","0","103301","3","1","11037","0"
"【夥伴】取得最大2000里程","1038","0","103601","3","1","11038","0"
"【夥伴】取得1張抽獎券","1039","0","133001","3","1","11039","0"
"【夥伴】取得1個料理","1040","0","133101","3","1","11040","0"
