a76142b6284785f5b159dddb62c5548158181070796d7f6fd4ff96deddd956d9,e3492ff74331016dd42f6d7ff8c607e71482b86acbdbc9ebc9ce8b6abb28f9d8,7232569600cc7d14bf32a6824442532ed347bd8c4737ae0eaa5fff2f16353cd9,b9b12bf83a859f9551d687d12e6f2a60e3a5c7a12161df333b273c0ee8f4da8e,2c3d2fd718e29db1a0829a302bcc168ad3030392bf7d242c8330b36ab01e85a5,e2f583baf2a81a211009513f5bb822ecd2c84bdfbc134132d8f1abcfac60fd9f,e9199a50592d5ca493297bc82cb2b0cf103f109fcf6e1968e051a5bb7df43625,ebd174b7f4ae282514381f4a9af622e4c7e532f93b58bf0a74d873c04a4ccdbb,e5d3aa6c183ed6077f27c726efb13bb0a354908214bfa633624c99968f10e54e,6c564806bb48c665a502deffe2f8f9eab03ba4b2894369578ecbf1a50e41e399,6747a5f4a40833898842ffd9fe280a1acc4829f63fc178042a872be871060cce,69c339733603458db8d5ee4ba25f9a265909498bc82e5ba423b87e4f1d69c477,1146d36a8b64ad1449c1478347825461c31cdbc3d364503400a313f801dc2f4c,cca4b0aaccb81452f584e40862965cea8479cd79a11780b26c312119f6b7e924,d256aec6708b9e76b69ef8301604b8b2c75936a9fe7ee03a3ea7635560c60f7f,29ff62e265803a732ac3a3de1af147a4b27ebd06ae30718eb8b41f77ecd31d25
"0","1","0","0","0","94002","0","20000","0","15","12","0","收集 15 種布丁","0","1","0"
"0","1","0","0","0","94002","0","30000","0","30","12","0","收集 30 種布丁","0","2","0"
"0","1","0","0","0","91002","0","50","0","40","8","0","收集 40 種布丁","0","3","0"
"0","1","0","0","0","94002","0","50000","0","50","12","0","收集 50 種布丁","0","4","0"
"0","1","0","0","0","91002","0","50","0","55","8","0","收集 55 種布丁","0","5","0"
"0","1","0","0","0","94002","0","100000","0","60","12","0","收集 60 種布丁","0","6","0"
"100","1","8","0","91002","11001164","0","1","0","66","15","0","收集所有 66 種布丁","0","7","0"
"0","2","0","0","0","94002","0","50000","0","25","12","0","完成 25％ 布丁筆記本","0","8","0"
"0","2","0","0","0","91002","0","50","0","50","8","0","完成 50％ 布丁筆記本","0","9","0"
"0","2","0","0","0","94002","0","100000","0","75","12","0","完成 75％ 布丁筆記本","0","10","0"
"1","2","15","0","11001165","9000100","8","1","100","100","16","0","完成 100％ 布丁筆記本","0","11","91002"
