963bbf40bada998d54729877a1bc6f734ad2c0385823ee5724b2ed26afa53494,2824ad6c04d7d2666f214ef468acede1f1b1db180311716de962ff85e41f9d7a,67ff2eafb0460652f028146c77914a76d6d0ff57e815ef14290dd02347a05845,4e8e6a33b3c9faf65930cfa4e80eef824f73be8d7ec36b57fd99e1fcf6cd8e7a,9fcb604fabd7c602010dfbcfe46502259c4b5970dc9555a9ac31c0078f413309,7f66fa3b9cc0656b5f0f361e1162fbd320b0d1a9389afbd4b068023270a14fa8,c90fb3df014154a94e297106112caabc0114c7a42ddbf0d4e5caf552fb60aa1e,0815ea014d534d9b00ccbd00b3ff4051d5efc302c2e285f9d3d30cd7b8cf095d,a72bfb42152748847ceeaf097e70b38a50fec99838620ad48a07af5e136c5693,705b8c6f553bc0176c8f9ccf2f64104aca058bbdb5ff1cf9d95e799be7fe7f3b,ef9701d41e73b17a49c838f2eb4eb223736ff466579288e5d4d29bc00341ccf1,80e5eeb27a01acfb8a9c1be990e1f1b1dbb04efd8860aba7ccd80b6892b43544,e84bf47b7e6785a08b0c029499a83bf1c2991a45d89725b2a0531a5666c333e5
"20001","2030/04/19 15:00:00","0","0","0","2020/07/02 16:00:00","5032","0","2018/08/28 16:00:00","10001","1","-6","0"
"20002","2030/04/19 15:00:00","0","0","0","2020/08/03 16:00:00","8135","0","2018/10/03 16:00:00","10002","1","-3","0"
"20003","2030/04/19 15:00:00","0","0","0","2020/09/04 16:00:00","201","0","2018/11/01 15:59:59","10003","1","-8","0"
"20004","2030/04/19 15:00:00","0","0","0","2020/09/30 16:00:00","3394","0","2018/12/01 16:00:00","10004","1,2","-5","0"
"20005","2030/04/19 15:00:00","0","0","0","2020/11/02 16:00:00","3060","0","2019/01/03 16:00:00","10005","1,4","-3","0"
"20006","2030/04/19 15:00:00","0","0","0","2020/12/04 15:00:00","1412","0","2019/02/01 12:00:00","10006","1","-5","0"
"20007","2030/04/19 15:00:00","0","0","0","2021/01/20 16:00:00","3481","0","2019/03/06 16:00:00","10007","1,5","-2","0"
"20008","2030/04/19 15:00:00","0","0","0","2021/02/09 16:00:00","3490","0","2019/04/03 16:00:00","10008","1","-3","0"
"20009","2030/04/19 15:00:00","0","0","0","2021/03/25 16:00:00","5402","0","2019/05/02 16:00:00","10009","1,6","0","0"
"20010","2030/04/19 15:00:00","0","0","0","2021/04/21 16:00:00","2192","0","2019/06/03 16:00:00","10010","1,7","-5","0"
