68921f52cad70d1c9214a0fe596b7d7cfb2e0125b4c9ed861c81be04ab2bccf9,fc02d1e79740c4f6b52e35ac1b6df6efe90d0fdf4e5e453418a12c8d9ff342e6,605f15dbbc5e6896bf8ca50e7262cafdf362af5976a4aa786082523aca24ecf5,7875f604955f619e819e218b0a4f382533ff6b03f70953d5d3529063b779af18,84d50e2944e64b09594484a49c17cf4fc437906554b1ef72a263a8195a14aac0,5c3f52a567a68a508511bf29820ee2f62543980711170b88f84eefb26e97e385,6b0f8c1c7fb1dc68e132a904239e9dee6142c15e426649f751f5bc811dec7672,da0aa97d5c1631af6858cf7d4cdc95208487bb5d824b55ef95f57c4e961cafb8,2fea794c07fbc38d483c595dc5114b1716d544dcef1c9fd0a9f02f389c8d7558,55a42944972569c0e1ec243d7c82562e1250897d2395e7459f88a806f8582cc1
"1","1","獲得20個零件","1","3","20","0","100","10000","1"
"1","2","獲得25個零件","2","3","25","0","100","10001","1"
"1","3","獲得30個零件","2","3","30","0","100","10002","1"
"1","4","獲得35個零件","3","3","35","0","100","10003","1"
"1","5","獲得40個零件","3","3","40","0","100","10004","1"
"1","6","獲得45個零件","4","3","45","0","100","10005","1"
"1","7","獲得50個零件","4","3","50","0","100","10006","1"
"1","101","將總戰力提升至1500以上","3","2","1500","0","101","20000","2"
"1","102","將總戰力提升至2000以上","3","2","2000","0","101","20001","2"
"1","103","將總戰力提升至2500以上","3","2","2500","0","101","20002","2"
"1","104","將總戰力提升至3000以上","3","2","3000","0","101","20003","2"
"1","105","將總戰力提升至3500以上","3","2","3500","0","101","20004","2"
"1","106","將總戰力提升至4000以上","4","2","4000","0","101","20005","2"
"1","107","將總戰力提升至4500以上","4","2","4500","0","101","20006","2"
"1","108","將總戰力提升至5000以上","4","2","5000","0","101","20007","2"
"1","109","將總戰力提升至6000以上","4","2","6000","0","101","20008","2"
"1","110","將總戰力提升至7000以上","4","2","7000","0","101","20009","2"
"1","111","將總戰力提升至8000以上","5","2","8000","0","101","20010","2"
"1","112","將總戰力提升至9000以上","5","2","9000","0","101","20011","2"
"1","600","將總戰力提升至10000以上","5","2","10000","0","101","20012","2"
"2","201","累積獲得100pt戰鬥點數","2","4","100","0","200","30000","3"
"2","202","累積獲得200pt戰鬥點數","2","4","200","0","200","30001","3"
"2","203","累積獲得300pt戰鬥點數","2","4","300","0","200","30002","3"
"2","204","累積獲得400pt戰鬥點數","2","4","400","0","200","30003","3"
"2","205","累積獲得500pt戰鬥點數","2","4","500","0","200","30004","3"
"2","206","累積獲得600pt戰鬥點數","3","4","600","0","200","30005","3"
"2","207","累積獲得700pt戰鬥點數","3","4","700","0","200","30006","3"
"2","208","累積獲得800pt戰鬥點數","3","4","800","0","200","30007","3"
"2","209","累積獲得900pt戰鬥點數","3","4","900","0","200","30008","3"
"2","210","累積獲得1000pt戰鬥點數","3","4","1000","0","200","30009","3"
"4","401","從布武機那邊獲得5個零件","7","1","5","0","400","50000","5"
"4","402","從布武機那邊獲得10個零件","7","1","10","0","400","50001","5"
"4","403","從布武機那邊獲得15個零件","7","1","15","0","400","50002","5"
"4","404","從布武機那邊獲得20個零件","7","1","20","0","400","50003","5"
"4","405","從布武機那邊獲得25個零件","7","1","25","0","400","50004","5"
"4","406","從布武機那邊獲得30個零件","7","1","30","0","400","50005","5"
"4","407","從布武機那邊獲得35個零件","7","1","35","0","400","50006","5"
"4","408","從布武機那邊獲得40個零件","7","1","40","0","400","50007","5"
"4","409","從布武機那邊獲得45個零件","7","1","45","0","400","50008","5"
"4","700","從布武機那邊獲得50個零件","6","1","50","0","400","50009","5"
"2","999","累積獲得800pt戰鬥點數（可以不限次數達成）","7","4","800","30009","209","60000","6"
"3","799","通過關卡14","6","3","14","0","300","70000","7"
"3","800","通過關卡50","8","3","50","0","301","70001","7"
