c54e6e41e77ff433d048938f729255d5aabb8300d826f689c0db9bbd4b5c22f9,c81e299b5e87b11ee8fa750849c7c4a3cff8eaf0b1b32cecc8b88c2bfc0f8950,0be9c2e385e27bc29a1aade642610a9eb2714a66ea8e0674d146743c93db04b1,2e72e77a2caaaf71bc1c4e54d69052dc2f4913c750234943c1995388bd4738b5,c3716b7c9a016ba4bcc3a7c11072396b7d91f8c7579b7384d20a83f6e9480afa,92d88f697e2128c7008a6e2eeedf8aaca35b4cb4bce1b33a8a7ad08d8211a27f,3041bf8ccdece387122a7dd40f3116fdc5ccbcf4f26e588bdba8c50713ee4749,90a51e0340c711696d801a13884d813e0387343ba8bc292c21c2c85fc1579e64
"1000101","0","1","","5001000","5001","bgm_M32","1"
"1000201","0","1","","5002000","5002","bgm_M98","1"
"1000301","0","1","","5003000","5003","bgm_M106","1"
"1000401","0","1","","5004000","5004","bgm_M112","1"
"1000501","0","1","","5005000","5005","bgm_M121","1"
"1000601","0","1","","5006000","5006","bgm_M128","1"
"1000701","0","1","","5007000","5007","bgm_M135","1"
"1000801","0","1","","5008000","5008","bgm_M162","1"
"1000901","0","1","","5009000","5009","bgm_M171","1"
"1001001","0","1","","5010000","5010","bgm_M182_02","1"
"1001101","0","1","","5011000","5011","bgm_M189","1"
"1001201","0","1","","5012000","5012","bgm_M206","1"
"1001301","0","1","","5013000","5013","bgm_M215","1"
"1001501","0","1","","5015000","5015","bgm_M223","1"
"1001701","0","1","","5017000","5017","","1"
"1001901","0","1","","5019000","5019","bgm_M237","1"
"1002101","0","1","","5021000","5021","bgm_M245_02","1"
"1002301","0","1","","5023000","5023","bgm_M254","1"
"1002501","0","1","","5025000","5025","bgm_M265_Top","1"
"1002701","0","1","","5027000","5027","bgm_M273","1"
"1002901","0","1","","5029000","5029","bgm_M281","1"
"1003101","0","1","","5031000","5031","bgm_M294","1"
"1003301","0","1","","5033000","5033","bgm_M316","1"
"1003601","0","1","","5036001","5036","bgm_M341","1"
"1003801","0","1","","5038000","5038","bgm_M343","1"
"1004001","0","1","","5040000","5040","bgm_M351","1"
"1004201","0","1","","5042000","5042","bgm_M375","1"
"1004401","0","1","","5044000","5044","bgm_M380A","1"
"1004601","0","1","","5046000","5046","bgm_M393","1"
"1004801","0","1","","5048000","5048","bgm_M403","1"
"1005001","0","1","","5050000","5050","bgm_M413","1"
"1005201","0","1","","5052000","5052","bgm_M421","1"
"1005401","0","1","","5054000","5054","bgm_M426","1"
