f8c73a3fb584de8ae5ea7cf77ca612ea904f6236ebc1fcb8048e3474980d9531,2bc7c8da5d8f76b3d31d06d1c34f22a8913a1e15d108531a61fa0af7f284e864,b7b677f3846982c755964edf64ffbce29b28a0fb51aab41d907aab2b2b5dd22c,b7d8ca1ba9fbf224362f6c6e084732285415a83f5418bfce26d45a16461139b4,717fc62ccbf06d4e9e61ac99c317fed358819e80a4209b3a082612ffe2232507,a98e3c29d57b4e56939244e97ab6df69bf1af8c4ba52530581d879087fb895e9
"1","1001","1","58002001","10101001","15"
"2","1002","1","58002002","10101002","15"
"3","1003","1","58002003","10101003","15"
"4","1001","1","56011001","10201001","15"
"5","1002","1","56011002","10201002","15"
"6","1003","1","56011003","10201003","15"
"7","0","50","56011003","91002","8"
"8","1001","1","56011004","10201004","15"
"9","1002","1","56011005","10201005","15"
"10","1003","1","56011006","10201006","15"
"11","0","50","56011006","91002","8"
"12","1001","1","56011007","10201007","15"
"13","1002","1","56011008","10201008","15"
"14","1003","1","56011009","10201009","15"
"15","0","50","56011009","91002","8"
"16","1001","1","56011010","10201010","15"
"17","1002","1","56011011","10201011","15"
"18","1003","1","56011012","10201012","15"
"19","0","50","56011012","91002","8"
"20","1001","1","56011013","10201013","15"
"21","1002","1","56011014","10201014","15"
"22","1003","1","56011015","10201015","15"
"23","0","50","56011015","91002","8"
"24","1001","1","56011016","10201016","15"
"25","1002","1","56011017","10201017","15"
"26","1003","1","56011018","10201018","15"
"27","0","50","56011018","91002","8"
"28","1001","1","56011019","10201019","15"
"29","1002","1","56011020","10201020","15"
"30","1003","1","56011021","10201021","15"
"31","0","50","56011021","91002","8"
"32","1001","1","56011022","10201022","15"
"33","1002","1","56011023","10201023","15"
"34","1003","1","56011024","10201024","15"
"35","0","50","56011024","91002","8"
"36","1001","1","56011025","10201025","15"
"37","1002","1","56011026","10201026","15"
"38","1003","1","56011027","10201027","15"
"39","0","50","56011027","91002","8"
"40","1001","1","56011028","10201028","15"
"41","1002","1","56011029","10201029","15"
"42","1003","1","56011030","10201030","15"
"43","0","50","56011030","91002","8"
"44","1001","1","56011031","10201031","15"
"45","1002","1","56011032","10201032","15"
"46","1003","1","56011033","10201033","15"
"47","0","50","56011033","91002","8"
"48","1001","1","56011034","10201034","15"
"49","1002","1","56011035","10201035","15"
"50","1003","1","56011036","10201036","15"
"51","0","50","56011036","91002","8"
"52","1001","1","56011037","10201037","15"
"53","1002","1","56011038","10201038","15"
"54","1003","1","56011039","10201039","15"
"55","0","50","56011039","91002","8"
"56","1001","1","56011040","10201040","15"
"57","1002","1","56011041","10201041","15"
"58","1003","1","56011042","10201042","15"
"59","0","50","56011042","91002","8"
"60","1001","1","56011043","10201043","15"
"61","1002","1","56011044","10201044","15"
"62","1003","1","56011045","10201045","15"
"63","0","50","56011045","91002","8"
"64","1001","1","56011046","10201046","15"
"65","1002","1","56011047","10201047","15"
"66","1003","1","56011048","10201048","15"
"67","0","50","56011048","91002","8"
"68","1001","1","56011049","10201049","15"
"69","1002","1","56011050","10201050","15"
"70","1003","1","56011051","10201051","15"
"71","0","50","56011051","91002","8"
"72","1001","1","56011052","10201052","15"
"73","1002","1","56011053","10201053","15"
"74","1003","1","56011054","10201054","15"
"75","0","50","56011054","91002","8"
"76","1001","1","56011055","10201055","15"
"77","1002","1","56011056","10201056","15"
"78","1003","1","56011057","10201057","15"
"79","0","50","56011057","91002","8"
"80","1001","1","56011058","10201058","15"
"81","1002","1","56011059","10201059","15"
"82","1003","1","56011060","10201060","15"
"83","0","50","56011060","91002","8"
"84","1001","1","56011061","10201061","15"
"85","1002","1","56011062","10201062","15"
"86","1003","1","56011063","10201063","15"
"87","0","50","56011063","91002","8"
"88","1001","1","56011064","10201064","15"
"89","1002","1","56011065","10201065","15"
"90","1003","1","56011066","10201066","15"
"91","0","50","56011066","91002","8"
"92","1001","1","56011067","10201067","15"
"93","1002","1","56011068","10201068","15"
"94","1003","1","56011069","10201069","15"
"95","0","50","56011069","91002","8"
"96","1001","1","56011070","10201070","15"
"97","1002","1","56011071","10201071","15"
"98","1003","1","56011072","10201072","15"
"99","0","50","56011072","91002","8"
"100","1001","1","56011073","10201073","15"
"101","1002","1","56011074","10201074","15"
"102","1003","1","56011075","10201075","15"
"103","0","50","56011075","91002","8"
"104","1001","1","56011076","10201076","15"
"105","1002","1","56011077","10201077","15"
"106","1003","1","56011078","10201078","15"
"107","0","50","56011078","91002","8"
"108","1001","1","56011079","10201079","15"
"109","1002","1","56011080","10201080","15"
"110","1003","1","56011081","10201081","15"
"111","0","50","56011081","91002","8"
"112","1001","1","56011082","10201082","15"
"113","1002","1","56011083","10201083","15"
"114","1003","1","56011084","10201084","15"
"115","0","50","56011084","91002","8"
"116","1001","1","56011085","10201085","15"
"117","1002","1","56011086","10201086","15"
"118","1003","1","56011087","10201087","15"
"119","0","50","56011087","91002","8"
"120","1001","1","56011088","10201088","15"
"121","1002","1","56011089","10201089","15"
"122","1003","1","56011090","10201090","15"
"123","0","50","56011090","91002","8"
"124","1001","1","56011091","10201091","15"
"125","1002","1","56011092","10201092","15"
"126","1003","1","56011093","10201093","15"
"127","0","50","56011093","91002","8"
"128","1001","1","56011094","10201094","15"
"129","1002","1","56011095","10201095","15"
"130","1003","1","56011096","10201096","15"
"131","0","50","56011096","91002","8"
"132","1001","1","56011097","10201097","15"
"133","1002","1","56011098","10201098","15"
"134","1003","1","56011099","10201099","15"
"135","0","50","56011099","91002","8"
"136","1001","1","56011100","10201100","15"
"137","1002","1","56011101","10201101","15"
"138","1003","1","56011102","10201102","15"
"139","0","50","56011102","91002","8"
"140","1001","1","56011103","10201103","15"
"141","1002","1","56011104","10201104","15"
"142","1003","1","56011105","10201105","15"
"143","0","50","56011105","91002","8"
"144","1001","1","56011106","10201106","15"
"145","1002","1","56011107","10201107","15"
"146","1003","1","56011108","10201108","15"
"147","0","50","56011108","91002","8"
"148","1001","1","56011109","10201109","15"
"149","1002","1","56011110","10201110","15"
"150","1003","1","56011111","10201111","15"
"151","0","50","56011111","91002","8"
"152","1001","1","56011112","10201112","15"
"153","1002","1","56011113","10201113","15"
"154","1003","1","56011114","10201114","15"
"155","0","50","56011114","91002","8"
"156","1001","1","56011115","10201115","15"
"157","1002","1","56011116","10201116","15"
"158","1003","1","56011117","10201117","15"
