7cb765310c4a1f29e966fca9b2faef565f6d071e12554546735896ebaad08c99,052ad5dfcb4cc058d10803e456fc475da768b12cd2affa9c5657d0cce6cbc995,880489a908f5013511400323867a4fc28e0cbd2516693c41bc5ba3e8d240ef30
"10000101","2","15"
"10000201","1","15"
"10000401","1","25"
"10000601","3","50"
"10000801","2","15"
"10000901","1","15"
"10001001","3","25"
"10001101","2","10"
"10001501","3","25"
"10001502","1","15"
"20101001","1","15"
"20103001","3","50"
"20105001","2","25"
"20106001","1","25"
"20107001","3","25"
"20108001","2","25"
"20112001","3","25"
"20112002","1","50"
"20115001","1","30"
"20117001","3","75"
"20119001","2","50"
"20120001","1","50"
"20121001","3","30"
"20122001","2","50"
"20126001","3","30"
"20126002","1","50"
"20129001","2","50"
"20131001","1","50"
"20133001","3","100"
"20135001","2","50"
"20136001","1","50"
"20137001","3","50"
"20138001","2","50"
"20142001","3","50"
"20142002","1","50"
"20145001","1","100"
"20146001","3","100"
"20147001","2","75"
"20150001","1","200"
