33207f0558e844a9369055db2e67a6415992b479b30b0e5f6671c6689aa94643,a1e6504347f9524f1b664bd9d3f97bc8b475af000fb7b83eb9151a8bd69a4620,efafa338d9463c5f068e5ae257d7285622aee42e350fc56e3b69391f959bd5d8,f472e09b8d0e83cbcead33113701614d38e9242ce0a9cd365496d6df1e34f80a,2bc4c88939c9439d0cc638cd87daa12a2aaa2de1dfd51f84ce5d1ae849856730,c1e14099239c3a3f9270096663f3dcf52703356f37b7f7414eb98f8d385bb733,25d8584bc37067012c3fc0e52ce86615c711c0d0c29fe8254919630480aa15e9,e2b9259e0dfa69b0354c65f5456b403b47ecd4176564d820afdd4a17019373f0,a5e0584a75c812ab7104a98f0d7b434ae053890a7026811696fc02b4e2098d42,679ed21a7d0c0e9f75deb4a425b9338540fd5eb8f5782c7f812c71682b139004,a722e039105ac135bc8fd583674db63ac05697d24ab6f80967c75e1c974d2e40
"1","160","cgg_idle_normal","1","101","101001","5","-230","0","-420","100"
"1","1.6","cgg_idle_def","105811","101","101002","1","-230","1","375","100"
"1","1.6","cgg_idle_def","106011","101","101003","1","-230","1","490","101"
"1","0.1","","1","101","101004","6","1","0","1","1"
"105811","0.1","","1","101","101005","6","1","0","1","1"
"106011","0.1","","1","101","101006","6","1","0","1","1"
"0.2","","","0","101","101007","93","","","",""
"vo_minigame_1007","","","vo_minigame_1007_top_talk_1_001","101","101008","21","","","0","0"
"105811","0","0","妳看，小凱留♪\n有好多慈樂之音的\n周邊喔☆","101","101009","11","0","0","0","4"
"1","0.2","","cgg_idle_surprise1","101","101010","3","","","","1"
"105811","0.2","","cgg_surprise_kira","101","101011","3","1","0","cgg_talk_surprise_kira","0"
"2.1","","","0","101","101012","93","","","",""
"1","0.2","","cgg_idle_surprise3","101","101013","3","","","","1"
"105811","0.2","","cgg_talk_joy1","101","101014","3","","","","1"
"101009","","","","101","101015","91","","","",""
"105811","0.2","","cgg_idle_def","101","101016","3","","","","1"
"vo_minigame_1007","","","vo_minigame_1007_top_talk_1_002","101","101017","21","","","0","0"
