49203030dd474877c984298a460b497774d02af9abf19530901a4ff552d80cd2,9175ad17ec403a61347b8a5d8dd22136d0291a5b0b9d4213acc04ab52c63858c,ab2bc6754b20b83f2f0dc4c0f0e0fc4d1e08b73a79367b89aa41f5c54fb8192f,a77430cbad0ab6a9f9c4443aff5c1faa41348d43c5b0dc45db1c3801f7859ae8,80cf2ca2dc446316b966dd96680c8bcc23aa665311ef1097c6114276a6517880,76bedcef9be822c9151c005b1b28906bb54d13c7c13a73c49e04799b6761eca5
"1","10009101","1","1","0","10009106"
"2","10009101","1","1","0","10009112"
"3","10010101","1","1","0","10010110"
"4","10019101","1","2","0","1001901"
"5","10021101","1","1","0","10021112"
"6","10025101","1","1","0","10025109"
"7","10025","2","3","500810","5025001"
"8","20009101","1","1","0","20009106"
"9","20009101","1","1","0","20009112"
"10","20010101","1","1","0","20010110"
"12","10042","2","3","501001","5042001"
"13","20015101","1","2","0","2001501"
"14","10044","2","3","501031","5044001"
"15","20016101","1","1","0","20016112"
"16","10046","2","3","501103","5046002"
"17","10049101","1","1","0","10049109"
"19","10066101","1","1","0","10066112"
"20","10066","2","3","501291","5066005"
"21","10069","2","3","501001","5042001"
"22","10071","2","3","501031","5044001"
"23","10068","2","3","501341","5068001"
"24","10070","2","3","501353","5070004"
"25","10070","2","3","500016","5070005"
"26","10072","2","3","501364","5072004"
"27","10072","2","3","501365","5072006"
"28","10073","2","3","501103","5046002"
"29","10074","2","3","501383","5074001"
"30","10076101","1","1","0","10076112"
"31","10076","2","3","505036","5076005"
"32","10078","2","3","501451","5078004"
"33","10080","2","3","501463","5080005"
"34","10082101","1","1","0","10082105"
"35","10082102","1","1","0","10082108"
"36","10082103","1","1","0","10082111"
"37","10082","2","3","501160","5082002"
"38","10082","2","3","501031","5082004"
"39","10082","2","3","501483","5082005"
"40","10084","2","3","500368","5084001"
"41","10084","2","3","510306","5084002"
"42","10084","2","3","500039","5084003"
"43","10085","2","3","500368","5085002"
"44","10085","2","3","510203","5085003"
"45","10085","2","3","500272","5085004"
"46","10085","2","3","501501","5085005"
"47","10088","2","3","501810","5088005"
"50","20025","2","3","501001","5042001"
"51","10090","2","3","501541","5090002"
"55","20026","2","3","501031","5044001"
"56","10093101","1","1","0","10093112"
"57","10093","2","3","501291","5066005"
"58","20027","2","3","501103","5046002"
"59","10092","2","3","501031","5092001"
"60","10092","2","3","501551","5092004"
"61","10094","2","3","501593","5094001"
"62","10095","2","3","501341","5068001"
"67","20018","2","3","500810","5025001"
"68","10096","2","3","501613","5096002"
"73","10097","2","3","501353","5070004"
"74","10097","2","3","500016","5070005"
"75","10098","2","3","501031","5098000"
"76","10098101","1","1","0","10098104"
"77","10098102","1","1","0","10098111"
"78","10099","2","3","501364","5072004"
"79","10099","2","3","501365","5072006"
"80","10100","2","3","500837","5100003"
"82","10101","2","3","501383","5074001"
"83","10101","2","3","501383","5074001"
"84","10102","2","3","501873","5102002"
