9547c37a6ef46b9fd370da0e235cb7bb8e2cd6601b1722966cf04947fba75994,571728e21a1b7c3fd9cde036c4b2a5bfe3c555b803ae5549e2f8ee0d0bec08a3,0c596c66cc8d32162687f2a656f62b6e0bf22ce4c3d68769819d7fc9abd23cc5,228a71d38a111558c6fc0f0c29e14802744a79c6f679bbe13bb8a63e0daa099a,fa5b9de17546d5a4869c0b65deb7c87cac730a30f37046fbf212b2d7e648be13,32db2b4b62974f9eae77c4a7cc219b1da05e9171e3d36a1243a94e001445bab8
"1","自動","1","2019/02/15 15:00:00","","1"
"2","預設","2","2019/02/15 15:00:00","","2"
"3","周年","3","2020/08/03 16:00:00","","3"
"4","粉紅色","1","2020/04/20 12:00:00","","4"
"5","紅色","1","2020/04/20 12:00:00","","5"
"6","黃色","1","2020/04/20 12:00:00","","6"
"7","綠色","1","2020/04/20 12:00:00","","7"
"8","淺藍色","1","2020/04/20 12:00:00","","8"
"9","藍色","1","2020/04/20 12:00:00","","9"
"10","紫色","1","2020/04/20 12:00:00","","10"
"11","灰色","1","2020/04/20 12:00:00","","11"
