1082d8cdabc77f4a52c5c4924c319c44afc53ed0f959196efd74dab3c4b99e63,f54b646a7220e0881b86cef5eac54ef887c05d18e851705fba32f395eb47c8aa,4ac73e76b22b27362e4e5124df960be1044c38c6afe34307484c5008ab68d8ce,5cbbd11a26d2295770a48072156c552199936adfd6479bcb2d076024f8ce555c,3b9324d8c5274d5d68d3ad3c4509eceaa7994f47e47e3f35a23e37d4a707eea9,5657ec3b63e0f760834b7573b96208e2dc573c47ee3c0bcfd4aba13104bec3b3,cc1c7ab7ddb2a81c33025e747fb37665c7850429b8778bc242d37841097b47df,d45d20ff7968e76d9b41458aa4fbaacea07b1af9990956421ee8c8fa596ef960,15bb538f6be0f11aa5e4733877b429efdc2218faced64ad0659ef8d566c28fca,d0e5464835007b4d0c5d490d522238569f210094c7b0fb559ba9160beb137398,d67b38be696b7cfa6180a7940606aa67a399c7c0a8a8cf2d0150d627891f0b78
"100","psy_miyako_idle","1001","-200","1","-220","1.7","0","119931","1","1"
"100","psy_idle_normal","1002","1000","1","-220","1.7","1","1","5","1"
"105","psy_fairy_idle","1003","-50","1","-220","1.7","0","2","5","1"
"0","","1004","0","1","1","1","","11","31","1"
"1","","1005","","1","","0.2","","psy_item00_run","3","1"
"-220","","1006","2.5","1","0","","","285","2","1"
"","","1007","","2.5","","","","","93","1"
"1","","1008","","1","","0.2","","psy_item00_idle","3","1"
"","","1009","","0.5","","","","","93","1"
"1","","1010","","119931","","0.2","","psy_miyako_talk1","3","1"
"0","","1011","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0101","21","1"
"5","0.5","1012","1","119931","0","0","0","等老奶奶買完東西回來後，\n宮子要給她看\n究極的布丁，\n讓她大吃一驚喲！","11","1"
"","","1013","","6","","","","1","93","1"
"0","","1014","psy_miyako_doya_loop","119931","1","0.2","0.2","psy_miyako_doya_in","3","1"
"","","1015","","1012","","","","","91","1"
"","","1016","","0","","","","0","22","1"
"1","","1017","","2","","0.2","","psy_fairy_talk","3","1"
"0","","1018","0","vo_minigame_1008","","","","vo_minigame_1008_drama_9901","21","1"
"3","0.5","1019","1","2","0","0","0","啾啾！","11","1"
"","","1020","","0","","","","","91","1"
"1","","1021","","2","","0.2","","psy_fairy_idle","3","1"
"1","","1022","","119931","","0.2","","psy_miyako_talk2","3","1"
"0","","1023","0","vo_minigame_1008","","","","vo_minigame_1008_drama_0102","21","1"
