6052aa0e496c78ce0c91d577c6a1a0a09f7489631f72711845f83ef5b4b19b32,cb46348e1b05f7661cd4a065337b9047c1dd38a95b3b78077e96b71b15148b56,585547a75d0e0f640db3d4a300c640e6ca875a9117c1933e0eb7f006f11b004b,d1df19913cffd1f6f994d7f8c3b3de99a2dbdc5bf855099a5a8ccabaea1bf7bd,90c7ed36cc764b34610bfb67d282309511046a2ec4e81c78f8c52ac35049f947,330924b2623fc54e079735c11a6537a2765cd9b404e014029b7ddd1a7da37432,3e0516016f8fc18e47cdcd662cf497672f7a5eec6f48fd6277dc30fa5733054c,734f2df8638972c9eb35f18d8e5f1517d5e3f6b872c41120164dedb4fbf4e0a4,09f5e201cedcd9f9049226ab559aa0b3c5ac7e46cb56e83b7987406478ccc2fb,efc8027eadc5744fe92f7c7014c8414487b875d8ee1caf9af6090ea09e2e683f,83e0a2a42c8a6ec3efce8136cc3d1d164cb1c37cd3b27cd45924cdac97a532d7,2a69a4d0636eac2599dc519be0deaf433da0ad9d7ed10c8e2f37bc6f784dc71c,d97d68368e874c7ba8968213ba511112f688364413a17d34780950a8a5747e8a,1fc7e5c8493c052cb56c7b5f10c783f4111d8fb25b82e908f1f3b765e0251ca5,551aa52fd92ff7b5569fd98ec0edc222ca2b1d1c9163ccbf5bcc197012f4f5c3,61b25593d9aadb8aa776664e7cfa1748baf9852fef9977ab7967b49772b36be0,d5e41d279bcc11fa30a13bddcdfb9dc06c9014a6b445ed06ea59183f08ea5335,a03541fc82eedc0da2ddf5d4bf6dfed216351fdc9a5b08cac5df9e26b3756be3
"0","分數累積獲得 20000 分","20000","1","12","0","0","0","0","0","94002","5000","0","0","0","0","0","0"
"0","分數累積獲得 40000 分","40000","2","12","0","0","0","0","0","94002","10000","0","0","0","0","0","0"
"0","分數累積獲得 60000 分","60000","3","12","0","0","0","0","0","94002","15000","0","0","0","0","0","0"
"0","分數累積獲得 80000 分","80000","4","12","0","0","0","0","0","94002","20000","0","0","0","0","0","0"
"0","分數累積獲得 100000 分","100000","5","8","0","0","0","2","0","91002","50","0","23001","0","5","0","0"
"0","分數累積獲得 120000 分","120000","6","12","0","0","0","0","0","94002","25000","0","0","0","0","0","0"
"0","分數累積獲得 140000 分","140000","7","12","0","0","0","0","0","94002","30000","0","0","0","0","0","0"
"0","分數累積獲得 160000 分","160000","8","12","0","0","0","0","0","94002","35000","0","0","0","0","0","0"
"0","分數累積獲得 180000 分","180000","9","12","0","0","0","0","0","94002","40000","0","0","0","0","0","0"
"0","分數累積獲得 200000 分","200000","10","8","0","0","0","2","0","91002","50","0","23001","0","5","0","0"
"0","分數累積獲得 220000 分","220000","11","12","0","0","0","0","0","94002","55000","0","0","0","0","0","0"
"0","分數累積獲得 240000 分","240000","12","12","0","0","0","0","0","94002","35000","0","0","0","0","0","0"
"0","分數累積獲得 260000 分","260000","13","12","0","0","0","0","0","94002","40000","0","0","0","0","0","0"
"0","分數累積獲得 280000 分","280000","14","12","0","0","0","0","0","94002","45000","0","0","0","0","0","0"
"0","分數累積獲得 300000 分","300000","15","8","0","0","0","2","0","91002","150","0","23001","0","10","0","0"
