9ba08499cf9f6fad9074d2645847e6ef756b12785323ad53af0ec085248b0ab0,e16d8d9c28d4f49daac52bd7e83cd341d487e8c236f0af408ef2773949f22aaf,effc469307e4451fb12448c19703411e45cc52e910d685e7ec77751d816f45af,ca0251c366fc4fdae6ee6981ecdeeb593b610ce50fdcd1f07516c6f9ba439132,f463ab23e89acb9715dc114536d11b26afdcc185b89e613bc0c10a62d436ef06
"1","97501","97501","1","1"
"2","97502","97502","2","3"
"1","97503","97503","3","1"
"1","97504","97504","4","1"
"1","97505","97505","5","1"
"2","97506","97506","6","3"
"2","97507","97507","7","3"
"2","97508","97508","8","3"
"1","97509","97509","9","1"
"1","97510","97510","10","1"
"2","97511","97511","11","3"
"2","97512","97512","12","3"
"2","97513","97513","13","3"
"2","97514","97514","14","3"
"1","97515","97515","15","1"
"2","97516","97516","16","3"
"2","97517","97517","17","3"
"2","97518","97518","18","3"
"2","97519","97519","19","3"
"2","97520","97520","20","3"
"1","99657","97521","21","1"
"1","99668","97522","22","1"
"1","99686","97523","23","1"
"1","99696","97524","24","1"
"1","99711","97525","25","1"
