ad37fe2ef9d62f5f7b9950b4746f3d694257ba6be00f0621f2933b0dcf7551fc,8364db8b793d5e85e23a2627a68ddc40baa5f613897180c4b7202ba1b75da8ce,ad6cbc832ecc04796941a66a48d794116356609b305759d7649aa87a05046138,5942595cd88af2de14aceb3d37f079515b4180870c11c6f13630c60c28b98059,4fb881c1a988dce12509545b22a836ae5efc6f23aaea8cd0c3ff0f051655053c,ba5853969da8cae3093b938c6bb71a4695791d69fbd4758d7aeb1bdf57f48415,4406c72757aaf3f6164714d80dd04b10a915796bef52d7cac5a6655f7749c9b0,a0822feeddb6f8aadc5674f37bfb010b78beaa37bc1534c54af95b774cc3ca89,9e06d364fb6ef6b5b6aa24bd38e90dd18dff691a2b9c6981a324afa474380e34,b5321f7c42ba75db33b40c7f6696260f3c75787e1448057829ddf334c5e68335,8615b9ea08106da7674a3ac62d71f357a8516b57c343f407d22350309da48e23,dd60334b7c0c0480c39b33cb8a69cf6c9434091bd38719bd131e4bc417950610,330d96a02524b422023b1fd000a01881136d544e2d0304383606e8c43fe07f67,6966e6aa05325709aeb5005552d5c33d92553d67753536a136daceb44f24b54f,fe26e58a67963a8b2037ee772c86ddd6bd9bc44c2b633f15bb34489704fdfb6f,07b33b4f1666a946ff22779db9ae303b9e01fe200cd1a8f2c8763a7cd3440540,c12950ff4ce2a155154c09b3a04ee1274a10f83e834e7644de1d46759b35803e,3e2be4603562487f922b686df69ef7cbacdda8f60bf724a3766e4c8cf8f49479,3e84c38d1b92340c9ce01fb6fba47c6931b1145b6bb55512aa6c1f73035f04fd
"1","100111","100003","100701","6","105501","1001","1","6","103401","0","112201","-100","6","90","6","123001","6","100701"
"2","100112","100003","106601","6","100901","1001","1","6","103401","0","105101","-100","6","90","6","123001","6","103401"
"3","100113","100003","112701","6","110301","1001","1","6","113401","0","106901","-100","6","90","6","101801","6","110301"
"1","100121","100003","102901","4","117301","1001","2","4","103401","0","123001","-100","5","90","4","100201","4","100201"
"2","100122","100003","104801","4","105101","1001","2","4","117301","0","110301","-100","4","90","4","104001","4","104001"
"3","100123","100003","101401","4","118501","1001","2","4","118001","0","100801","-100","4","90","4","111001","5","101401"
"1","100131","100003","100701","1","112201","1001","3","1","117301","0","123001","-100","3","90","2","100801","2","112201"
"2","100132","100003","100501","2","103401","1001","3","1","106601","0","105501","-100","1","90","2","112201","1","105501"
"3","100133","100003","105401","3","113401","1001","3","1","104801","0","110301","-100","2","90","1","124501","2","124501"
"1","100211","100003","106601","6","117301","1002","1","6","103401","0","105001","-100","6","90","6","111401","6","111401"
"2","100212","100003","105201","6","113401","1002","1","6","105401","0","123001","-100","6","90","6","100801","6","113401"
"3","100213","100003","100501","6","105501","1002","1","6","103401","0","123001","-100","6","90","6","107701","6","105501"
"1","100221","100003","122801","4","124101","1002","2","4","103401","0","100901","-100","4","90","4","119001","5","122801"
"2","100222","100003","105201","5","103401","1002","2","4","100501","0","121101","-100","4","90","4","123001","4","100501"
"3","100223","100003","100701","5","105501","1002","2","4","103401","0","123001","-100","5","90","4","118501","4","118501"
"1","100231","100003","105201","3","103401","1002","3","1","108901","0","102601","-100","1","90","2","123001","1","108901"
"2","100232","100003","104801","3","113401","1002","3","1","102601","0","112201","-100","2","90","1","123001","2","104801"
"3","100233","100003","100701","7","100501","1002","3","1","114701","0","110301","-100","2","90","2","106001","1","106001"
"1","100311","100003","102901","6","103401","1003","1","6","122801","0","123001","-100","6","90","6","125101","6","102901"
"2","100312","100003","105401","6","180301","1003","1","6","106601","0","110301","-100","6","90","6","111001","6","180301"
"3","100313","100003","101401","6","123001","1003","1","6","121401","0","118001","-100","6","90","6","118501","6","121401"
"1","100321","100003","114701","5","103401","1003","2","4","106601","0","110301","-100","4","90","4","123001","4","114701"
"2","100322","100003","100701","4","110301","1003","2","4","117301","0","106901","-100","5","90","4","180201","4","106901"
"3","100323","100003","103401","5","105101","1003","2","4","117501","0","113401","-100","4","90","4","124501","4","124501"
"1","100331","100003","103401","3","117301","1003","3","1","108101","0","102601","-100","1","90","8","123001","2","108101"
"2","100332","100003","100701","8","112701","1003","3","1","103401","0","123501","-100","2","90","1","108201","2","108201"
"3","100333","100003","101401","8","101001","1003","3","1","123001","0","100801","-100","1","90","3","108301","1","108301"
"1","100411","100003","114701","6","103401","1004","1","6","106601","0","100901","-100","6","90","6","110301","6","106601"
"2","100412","100003","180401","6","105401","1004","1","6","100501","0","103401","-100","6","90","6","106901","6","180401"
"3","100413","100003","103401","6","101401","1004","1","6","105501","0","123001","-100","6","90","6","100801","6","100801"
"1","100421","100003","105401","4","180301","1004","2","4","106601","0","110301","-100","4","90","4","118001","4","105401"
"2","100422","100003","105301","4","110301","1004","2","4","113401","0","124501","-100","5","90","4","101801","4","101801"
"3","100423","100003","105201","5","103401","1004","2","4","123301","0","105501","-100","4","90","4","123001","4","123301"
"1","100431","100003","126001","8","126101","1004","3","3","125801","0","110301","-100","2","90","3","108301","3","126101"
"2","100432","100003","103301","8","121101","1004","3","7","103401","0","123001","-100","3","90","1","108301","2","103301"
"3","100433","100003","105801","7","180501","1004","3","7","117301","0","123001","-100","3","90","2","106001","2","105801"
"1","100511","100003","100701","6","105501","1005","1","6","103401","0","112201","-100","6","90","6","123001","6","105501"
"2","100512","100003","106601","6","100901","1005","1","6","103401","0","105101","-100","6","90","6","123001","6","100901"
"3","100513","100003","112701","6","110301","1005","1","6","113401","0","106901","-100","6","90","6","101801","6","112701"
"1","100521","100003","114701","4","100101","1005","2","4","106601","0","123801","-100","4","90","4","110301","4","100101"
"2","100522","100003","105201","4","105501","1005","2","4","103401","0","102601","-100","4","90","4","112201","4","102601"
"3","100523","100003","105401","4","105501","1005","2","4","119201","0","110301","-100","4","90","4","121401","4","119201"
"1","100531","100003","105201","8","103401","1005","3","1","106601","0","107701","-100","8","90","1","108301","1","106601"
"2","100532","100003","127901","8","126101","1005","3","3","103401","0","123001","-100","3","90","1","108301","3","127901"
"3","100533","100003","105801","8","102601","1005","3","7","123301","0","123001","-100","3","90","2","108401","1","108401"
"1","100611","100003","106601","6","117301","1006","1","6","103401","0","105001","-100","6","90","6","111401","6","111401"
"2","100612","100003","105201","6","113401","1006","1","6","105401","0","123001","-100","6","90","6","100801","6","113401"
"3","100613","100003","100501","6","105501","1006","1","6","103401","0","123001","-100","6","90","6","107701","6","107701"
"1","100621","100003","106601","4","112201","1006","2","4","103401","0","105001","-100","4","90","4","111401","4","112201"
"2","100622","100003","102901","5","105301","1006","2","4","105401","0","105501","-100","4","90","4","123001","4","123001"
"3","100623","100003","100701","5","101401","1006","2","4","117301","0","112201","-100","4","90","4","123001","4","117301"
"1","100631","100003","128301","8","105501","1006","3","3","103401","0","106001","-100","7","90","1","108301","1","128301"
"2","100632","100003","106501","8","123301","1006","3","1","106601","0","123001","-100","3","90","1","108301","2","106501"
"3","100633","100003","109001","8","110301","1006","3","8","102601","0","123001","-100","3","90","1","107701","2","109001"
"1","100711","100003","102901","6","103401","1007","1","6","122801","1001","123001","-100","6","90","6","125101","6","125101"
"2","100712","100003","105401","6","180301","1007","1","6","106601","1001","110301","-100","6","90","6","111001","6","111001"
"3","100713","100003","101401","6","123001","1007","1","6","121401","1001","118001","-100","6","90","6","118501","6","118001"
"1","100721","100003","102901","4","117301","1007","2","4","103401","1001","123001","-100","5","90","4","100201","4","100201"
"2","100722","100003","104801","4","105101","1007","2","4","117301","1001","110301","-100","4","90","4","104001","4","105101"
"3","100723","100003","101401","4","118501","1007","2","4","118001","1001","100801","-100","4","90","4","111001","4","100801"
"1","100731","100003","128801","3","102601","1007","3","3","123301","1001","123001","-100","3","90","2","118501","1","128801"
"2","100732","100003","104501","8","105501","1007","3","1","103401","1001","128901","-100","3","90","1","108301","1","128901"
"3","100733","100003","128301","8","117301","1007","3","3","128701","1001","123001","-100","3","90","3","108301","2","128701"
"1","100811","100003","100701","6","105501","1008","1","6","103401","1002","112201","-100","6","90","6","123001","6","100701"
"2","100812","100003","106601","6","117301","1008","1","6","103401","1002","105001","-100","6","90","6","111401","6","111401"
"3","100813","100003","102901","6","103401","1008","1","6","122801","1002","123001","-100","6","90","6","125101","6","102901"
"1","100821","100003","104601","4","110301","1008","2","4","103401","1002","101201","-100","4","90","4","111401","4","110301"
"2","100822","100003","105201","5","113401","1008","2","4","106601","1002","106901","-100","5","90","4","123001","4","106601"
"3","100823","100003","103401","4","101401","1008","2","4","105501","1002","123001","-100","5","90","4","100801","4","123001"
"1","100831","100003","108901","8","112201","1008","3","1","103401","1002","108801","-100","1","90","1","108301","2","108801"
"2","100832","100003","100701","3","126101","1008","3","1","108901","1002","107701","-100","8","90","1","129001","3","129001"
"3","100833","100003","103401","1","101401","1008","3","1","126101","1002","123001","-100","3","90","3","100201","1","100201"
"1","100911","100003","114701","6","103401","1009","1","6","106601","1003","100901","-100","6","90","6","110301","6","100901"
"2","100912","100003","180401","6","105401","1009","1","6","100501","1003","103401","-100","6","90","6","106901","6","106901"
"3","100913","100003","103401","6","101401","1009","1","6","105501","1003","123001","-100","6","90","6","100801","6","101401"
"1","100921","100003","122801","4","124101","1009","2","4","103401","1003","100901","-100","4","90","4","119001","4","122801"
"2","100922","100003","105201","5","103401","1009","2","4","100501","1003","121101","-100","4","90","4","123001","4","100501"
"3","100923","100003","100701","5","105501","1009","2","4","103401","1003","123001","-100","5","90","4","118501","4","103401"
"1","100931","100003","120001","8","103401","1009","3","2","104901","1003","101601","-100","7","90","7","108301","1","120001"
"2","100932","100003","108901","3","101801","1009","3","1","100501","1003","112201","-100","2","90","1","129001","1","112201"
"3","100933","100003","100701","3","126101","1009","3","1","128801","1003","123001","-100","3","90","3","129001","3","123001"
