4bb6640967267c2c5c556e8965d87557d67e57ffc658847119f453f1594b5692,3181e540be620273e560659e91a05c5d417d96cbb05299055d35f1dfa676acd8,b1f2fb2cdf08c93b3de759f3c404511661f98dea9c181c7538173166bd35d680,52a80bae11dcbc5ded79baaa548501813acfaa3e237b935ace204db30b5b69bc,fe04acf0298b8d8914017326f36d1f8fc38c79b189145bc4b00d34e2f851bd62,f794c3592b78011f3eb373bd396f0b23b4aa0b26604109a703e05c512ab7573e,753e8cc5984f30c3bc738f013df2e9ecba59a6faf01bf59af244db9a82e11363,4d3ab3345d16a103986f8e3ab52ebc97a44405c84ac7b48be3b316d446f219a6,dec0a7f131e6c9c4ff945ad6a635ad8193b153f2a40dd6fce11c5b4005db67ca,07fe9ac7b1666281603cdba40c7970cb73e1f1be2d869862f3f6d3300da79705,0eb0d17cf6f58273186e33e5617c48949a9d64196b89e205f48bd80f497657e0
"105831","100","0","1","1","1.3","01_uek_cmn_idol_def_N","-157","-496","1010001","1"
"105931","110","0","1","1","1.3","01_uek_cmn_idol_def_N","-178","-355","1010002","1"
"112631","100","1","1","1","1.3","01_uek_cmn_idol_def_N","-124","410","1010003","1"
"112531","110","1","1","1","1.3","01_uek_cmn_idol_def_N","-258","389","1010004","1"
"106031","120","0","1","1","1.3","01_uek_cmn_idol_def_N","-234","-415","1010005","1"
"112431","120","1","1","1","1.3","01_uek_cmn_idol_def_N","-235","262","1010006","1"
"01_uek_01_peko","0","0.2","105831","3","0","","1","01_uek_cmn_pose03","1010007","1"
"01_uek_01_kokkoro","0","0.2","105931","3","0","","1","01_uek_talk_normal","1010008","1"
"01_uek_01_kyaru","0","0.2","106031","3","0","","1","01_uek_cmn_pose02","1010009","1"
"01_uek_01_mio","0","0.2","112631","3","0","","1","01_uek_cmn_pose03","1010010","1"
"01_uek_01_rin","0","0.2","112531","3","0","","1","01_uek_cmn_pose02","1010011","1"
"01_uek_01_uduki","0","0.2","112431","3","0","","1","01_uek_cmn_pose01","1010012","1"
"","","","3","93","","","","","1010013","1"
"01_uek_cmn_pose03","1","","112631","3","0.2","","0","","1010014","1"
"01_uek_cmn_pose01","1","","112431","3","0.2","","0","","1010015","1"
"01_uek_cmn_pose03","1","","105831","3","0.2","","0","","1010016","1"
"01_uek_talk_normal","0","0.1","105931","3","0.2","","1","01_uek_cmn_idol_def_N","1010017","1"
"01_uek_cmn_pose02","0","0.1","106031","3","0.2","","1","01_uek_cmn_idol_def_N","1010018","1"
"01_uek_cmn_pose02","0","0.1","112531","3","0.2","","1","01_uek_cmn_idol_def_N","1010019","1"
"唔哇……！\n變得超大的，\n太讚了吧☆","10","","105831","11","","","","","1010020","1"
"","","","0","91","","","","","1010021","1"
"盆栽小花已經長到\n讓人猜不透究竟會\n高到什麼程度了。","10","","105931","11","","","","","1010022","1"
"","","","0","91","","","","","1010023","1"
"這種情況下，\n就讓人想看看\n上面是怎樣呢！","10","","112631","11","","","","","1010024","1"
"","","","0","91","","","","","1010025","1"
"確實是呢……而且\n說不定還能知道\n變成這樣的原因。","10","","112531","11","","","","","1010026","1"
"","","","0","91","","","","","1010027","1"
"反正我也挺感興趣，\n就陪陪妳們吧。","10","","106031","11","","","","","1010028","1"
"","","","0","91","","","","","1010029","1"
"好♪大家一起\n加油以登頂\n為目標吧！","10","","112431","11","","","","","1010030","1"
"","","","0","91","","","","","1010031","1"
"104431","100","0","1","1","1.3","02_uek_cmn_idol_def_N","0","0","1020001","2"
"02_uek_02_ilya","0","","104431","3","","","0","02_uek_02_ilya_loop","1020002","2"
"哈～哈哈哈！\n妾身要踏出征服\n世界的第一步了！","10","","104431","11","","","","0","1020003","2"
"","","","0","91","","","0","","1020004","2"
"105831","100","0","1","1","1.3","01_uek_cmn_idol_def_N","-10","-140","1030001","3"
"105931","100","1","1","1","1.3","01_uek_cmn_idol_def_N","10","120","1030002","3"
"106031","100","1","1","1","1.3","01_uek_cmn_idol_def_N","0","0","1030003","3"
"01_uek_03_peko","0","","105831","3","","","0","01_uek_03_peko_loop","1030004","3"
"01_uek_03_kyaru","0","","106031","3","","","0","01_uek_03_kyaru_loop","1030005","3"
"小凱留！\n妳快看，\n景色很棒哦☆","10","","105831","11","","","","0","1030006","3"
"","","","0","91","","","","","1030007","3"
"喂，妳幹嘛啦！\n不要拉我啦！\n會掉下去的！","10","","106031","11","","","","0","1030008","3"
"","","","0","91","","","","","1030009","3"
"01_uek_03_kokkoro","0","","105931","3","","","1","01_uek_cmn_idol_def_N","1030010","3"
"呵呵，在這上面應該\n還有更棒的景色\n在等著我們。","10","","105931","11","","","","0","1030011","3"
"101131","100","0","1","1","1.3","02_uek_cmn_idol_def_N","-30","-120","1040001","4"
"104931","100","1","1","1","1.3","02_uek_cmn_idol_def_N","-5","20","1040002","4"
"02_uek_talk_joy2","1","","101131","3","","","","","1040003","4"
"千萬行星也要\n始於腳下！\n我會加油的！","10","","101131","11","","","","0","1040004","4"
"","","","0","91","","","","","1040005","4"
"02_uek_cmn_idol_def_N","1","","101131","3","0.2","","","","1040006","4"
"02_uek_04_shizuru","1","","104931","3","0.2","","","","1040007","4"
"妳要說的應該是\n千里之行始於\n足下喔，璃乃。","10","","104931","11","","","","0","1040008","4"
"","","","0","91","","","","","1040009","4"
"02_uek_cmn_idol_def_N","1","","104931","3","0.2","","","","1040010","4"
"105031","100","0","1","1","1.3","02_uek_cmn_idol_def_N","0","-70","1050001","5"
"101631","100","1","1","1","1.3","02_uek_cmn_idol_def_N","1","70","1050002","5"
"02_uek_05_misaki","0","","105031","3","","","-15","02_uek_05_misaki_loop","1050003","5"
"02_uek_05_suzuna","0","","101631","3","","","0","02_uek_05_suzuna_loop","1050004","5"
"我要登上大人\n的階梯了～！","10","","105031","11","","","","0","1050005","5"
"","","","0","91","","","0","","1050006","5"
"人家也要成為\n超級巨星名模囉！","10","","101631","11","","","","0","1050007","5"
"100531","100","1","1","1","1.3","02_uek_cmn_idol_def_N","25","120","1060001","6"
"103731","100","0","1","1","1.3","02_uek_cmn_idol_def_N","5","-20","1060002","6"
"02_uek_cmn_pose04","1","","100531","3","","","","","1060003","6"
"如果因為這點高度\n而軟腳的話，\n就不配當英雄了！","10","","100531","11","","","","0","1060004","6"
"","","","0","91","","","","","1060005","6"
"02_uek_talk_normal","1","","103731","3","0.2","","","","1060006","6"
"嗯，感覺會是\n不錯的訓練呢。\n我越來越期待了。","10","","103731","11","","","","0","1060007","6"
"","","","0","91","","","","","1060008","6"
"02_uek_cmn_idol_def_N","1","","103731","3","0.2","","","","1060009","6"
"103831","100","0","1","1","1.3","02_uek_cmn_idol_def_N","-20","-60","1070001","7"
"02_uek_07_shiori","1","","103831","3","0.2","","","","1070002","7"
"奇怪……姊姊她\n跑去哪裡了？\n……姊姊～？","10","","103831","11","","","","","1070003","7"
"104531","100","0","1","1","1.3","02_uek_08_kuka_loop","40","90","1080001","8"
