f056aba61eeb3de84bed531b30c4a29908226b2477f2a0628bfee5a016e4da4d,87c97c8fc8a214b434db2d45f318fe059ce7227af4f508ae69095f63b5be5c78,7e0c85cd0dec3c02f1bd92e2162c2888a6e3339a55617b85b32a14d7d269ccd4,d11d8b961a4713c2185d603efc6cdcdcc38b989c3000aa08f143b7f762349e89,bd086841d3fa1e1204591bff2193f2398b770f0c492af0c4ea479ae7a00fc1e2
"1","1","0","2700","1"
"2","2","0","3600","1"
"3","3","0","5400","1"
"1","4","1","3600","1"
"2","5","1","5400","1"
"3","6","1","7200","1"
"1","7","0","1800","2"
"2","8","0","2700","2"
"3","9","0","3600","2"
"1","10","1","2700","2"
"2","11","1","4050","2"
"3","12","1","5400","2"
"1","13","0","1800","3"
"2","14","0","2700","3"
"3","15","0","3600","3"
"1","16","1","2700","3"
"2","17","1","4050","3"
"3","18","1","5400","3"
"1","19","0","1800","4"
"2","20","0","2700","4"
"3","21","0","3600","4"
"1","22","1","2700","4"
"2","23","1","4050","4"
"3","24","1","5400","4"
