7a083cbd9b5641562c71e8e3cec9ec465dac2dd2ecc5a87abe16b678ea795bc4,8f539a3176eac380c3faa2864181c5234bd422fc58322a306dd098522f81f547,7cfcdea8c1d3e751b55be6b61c008b8062db1208cc49f3e7a763861e728d8e9c,e3a61955753c585d7a98e98a05720af4cf8b4fa65b974e699137e6f446779b1b,a575ed0189f6efb8825809c4c2e8b5913fca839281a23e2b30040043fe3aae2d,064424109b4d9cf3595d2b49c40306da5e458d27d13cffc9a7e894dfd799c15b,74702d8e0294b71898b8525e9e8614d04787c06eb3a94e3df81d46ce925a70a5,c6cf69aff38edafb1c930b6c5195164c055a1f30564d215a45bd2b80a79ce015,d23c98f20387bdb9a51f414ac7f9c911783644e094fab33631e5fd4c89e4b78e
"2","3","6","2","1","2","3","1","100101"
"1","2","5","1","2","1","3","3","100201"
"1","3","7","3","3","2","2","1","100301"
"2","3","13","2","3","2","2","1","100401"
"2","1","18","2","2","3","3","2","100501"
"1","2","25","2","2","3","3","1","100601"
"2","2","26","3","2","1","3","3","100701"
"2","1","40","3","3","1","2","3","100801"
"1","3","34","3","2","3","2","1","100901"
"1","2","8","1","2","1","3","3","101001"
"3","2","56","2","2","1","3","2","101101"
"3","3","43","2","2","2","1","1","101201"
"1","1","33","2","3","3","3","1","101301"
"1","1","11","1","2","2","2","3","101401"
"1","2","42","1","3","1","2","3","101501"
"3","1","46","2","3","1","3","2","101601"
"3","1","10","2","2","2","3","1","101701"
"1","1","45","1","3","2","2","3","101801"
"2","3","12","1","1","2","3","2","102001"
"1","2","30","1","3","2","3","1","102101"
"3","2","24","1","3","2","1","1","102201"
"2","3","31","2","1","3","3","1","102301"
"3","1","29","1","2","1","2","3","102501"
"2","2","51","1","1","1","3","3","102601"
"2","3","36","3","3","1","1","2","102701"
"2","1","28","1","3","1","2","2","102801"
"2","2","52","1","2","1","3","2","102901"
"1","1","39","2","3","2","3","2","103001"
"2","3","27","3","1","1","2","3","103101"
"2","3","19","2","2","1","1","3","103201"
"1","3","48","2","1","2","3","2","103301"
"2","2","20","1","2","3","1","2","103401"
"2","1","14","3","2","3","1","3","103601"
"2","1","17","3","3","3","2","1","103701"
"1","2","49","3","1","3","2","3","103801"
"3","2","44","1","1","3","1","2","104001"
"2","1","53","3","2","2","2","3","104201"
"3","3","9","3","2","1","2","1","104301"
"1","3","23","3","1","2","2","3","104401"
"1","2","38","1","2","3","2","2","104501"
"3","2","21","2","1","1","2","3","104601"
"3","1","15","3","2","3","2","1","104701"
"3","2","22","3","3","2","1","1","104801"
"2","3","55","1","2","1","2","2","104901"
"3","1","47","1","2","2","3","2","105001"
"3","1","35","3","1","2","1","3","105101"
"2","2","50","2","2","1","3","2","105201"
"2","3","37","3","3","1","2","1","105301"
"3","2","54","2","1","1","3","2","105401"
"1","3","41","1","1","3","2","2","105501"
"3","2","32","3","2","1","3","1","105601"
"2","2","67","1","2","2","3","1","105701"
"2","2","1","2","2","1","3","2","105801"
"1","2","2","1","2","2","2","3","105901"
"3","1","3","3","1","3","2","2","106001"
"2","3","58","2","2","2","3","1","106101"
"2","3","68","1","1","2","3","1","106301"
"2","2","4","1","2","3","3","1","106401"
"2","1","61","3","2","3","3","1","106501"
"2","1","62","2","1","3","3","3","106601"
"1","1","60","3","2","2","2","2","106701"
"2","1","57","1","2","3","1","1","106801"
"1","2","59","3","1","2","1","3","107001"
"2","2","16","3","3","2","1","1","107101"
"1","2","70","1","2","2","2","2","109201"
"3","2","72","2","2","1","3","2","109301"
"3","1","71","3","3","2","2","1","109401"
"3","2","64","1","2","2","2","1","110801"
"2","1","65","2","3","1","2","2","110901"
"1","1","63","3","1","2","3","3","111001"
"3","2","69","2","1","3","2","2","111401"
"3","1","66","2","2","2","1","3","118001"
