7705d3a77ebf9cdaf916e01067e1e1eb0acbbbfb306f07f1895c155bd6842373,26bc5224f2e0e36222e20f8e97c9a2b6942fe63cefca19f81ac7c1b2089b1cd3,71c150f2c67dd2397a185ff367206aa04b1584e6c0fd99087cdf46733c8bb24b,d81f0d061d74b4dd3636d18de59b1fe126645a22dbef5c273b6ab0bbf925db35,fde37983b4f79b81a98ab645e0a54987bd18729a9bcbe343bbe9ad5900daa214,821c331732043285ac9245dd71d0752ade1da85246ac20e881c13953cac9890f,0df43ce518a38ca35c1b5c9e9d8ad1150dd463607858e1d644a865fa50d920cb,657727ce398f03c5c7199c958f4d1a450b791e3fbd4c959cb28953c10c6c9d69,7facc7d8d5bf106adf5b108e813d11227d4dc0b6064cd7aaf41bf690c3689399,da4b2acf9c3de96d972f593747fdc216432748411e21a80e8f23a5978159ccbc,6de9b953aec96e7a688d53d01e0ec230d5411f08e4a012b3b6ec6c17010ce92f,0ecac4d8bc552e78c6e865476ed8ae211a986882eec658c1ade18a5ac688d727,8c117f669f8f1cc2e5b4e738b005ebd5b43a3a5535f2b2cd9ebf0a732d42f93d,c49176eb3cf8d0664af369b6222948b476539e8baeeb3fc7cbf8b6eec1c2a2fd,7d66f4e95e0b52e90a8ffa3bc6d10e76463bdb0661f942bc1a741bcc57f6d505,3fcd26c7c8984fca3b24a4434674b1a1bc5cb72e48ae590b8e6a2b91dea4a28b
"10201","610201101","10201101","bgm_MC223","0","5201004","90","81020102","0","5201301","bgm_MC223","1","213001","103613","90","前篇Boss戰（SCENARIO）"
"10201","610201151","10201151","bgm_MC224","0","5201009","90","81020103","2025/06/07 16:00:00","5201311","bgm_MC224","1","213001","81020101","90","後篇Boss戰（SCENARIO）"
"10201","0","10201201","bgm_MC223","10201101","0","90","103613","0","0","bgm_MC223","2","214001","103613","255","前篇Boss戰（SPECIAL）"
"10201","0","10201251","bgm_MC224","10201151","0","90","81020104","2025/06/07 16:00:00","0","bgm_MC224","2","214001","81020101","255","後篇Boss戰（SPECIAL）"
"10201","0","10201501","bgm_MC223","10201201","0","90","103613","0","0","bgm_MC223","3","115001","103613","331","前篇Boss戰（SPECIAL+）"
"10201","0","10201551","bgm_MC224","10201251","0","90","81020104","2025/06/07 16:00:00","0","bgm_MC224","3","115001","81020101","331","後篇Boss戰（SPECIAL+）"
"10202","610202101","10202101","bgm_MC228","0","5202006","90","81020201","0","5202301","bgm_MC228","1","113001","102370","90","Boss戰（SCENARIO）"
"10202","0","10202201","bgm_MC228","10202101","0","90","102370","0","0","bgm_MC228","2","114001","102370","255","Boss戰（SPECIAL）"
"10202","0","10202501","bgm_MC228","10202201","0","90","102370","0","0","bgm_MC228","3","115001","102370","334","Boss戰（SPECIAL＋）"
"10203","610203101","10203101","bgm_MC236","0","5203006","90","81020301","0","5203301","bgm_MC236","1","113001","81020301","90","Boss戰（SCENARIO）"
"10203","0","10203201","bgm_MC236","10203101","0","90","81020301","0","0","bgm_MC236","2","114001","81020301","255","Boss戰（SPECIAL）"
"10203","0","10203501","bgm_MC236","10203201","0","90","81020301","0","0","bgm_MC236","3","115001","81020301","337","Boss戰（SPECIAL＋）"
"10204","610204101","10204101","bgm_MC253","0","5204006","90","100092","0","5204301","bgm_MC253","1","113001","100092","90","Boss戰（SCENARIO）"
"10204","0","10204201","bgm_MC253","10204101","0","90","100092","0","0","bgm_MC253","2","114001","100092","255","Boss戰（SPECIAL）"
"10204","0","10204501","bgm_MC253","10204201","0","90","100092","0","0","bgm_MC253","3","115001","100092","340","Boss戰（SPECIAL＋）"
"10205","610205101","10205101","bgm_MC257","0","5205006","90","100199","0","5205301","bgm_MC257","1","113001","100199","90","Boss戰（SCENARIO）"
"10205","0","10205201","bgm_MC257","10205101","0","90","100199","0","0","bgm_MC257","2","114001","100199","255","Boss戰（SPECIAL）"
