78fb971be24d6c1d2c6b18dea82617fb16cbde657e74acc6084db2e457c3d60b,d887114c29f25e7f352118db798298c75a942e83d8d30aff0e421abd6add1ef1,876ee7ade36c664d17c9b75ca40c0cb92cf57f23bec65dd21d462ead937334f2,33638b47ce3483aac1cb7d9205a8feb3c6defae5bf657cf7a9a5b61d5d3e1ef3,41071d1afed8203c3a29d2a6f15a67875dd54ccbd86a677db166b38f578c6348,cd6e9e39ac2e5ed72d72f3af7e08fd349426d571b21c0e2ee807589f61cb4a17
"5201087","102013011","301","1","10201","1"
"5201081","102014021","402","1","10201","1"
"5201082","102014022","402","101","10201","0"
"5201066","102015011","501","1","10201","1"
"5201067","102015012","501","1","10201","2"
"5201068","102015013","501","1","10201","3"
"5201069","102015014","501","1","10201","4"
"5201070","102015015","501","1","10201","5"
"5201071","102015016","501","1","10201","6"
"5201072","102015017","501","1","10201","7"
"5201073","102015018","501","1","10201","8"
