95bc293cbb44c9f85075050db0e5a0df3a34ec30040f8c2e91ef6f608e6b0446,b166c716a6904ae0ffc9667fe57637253dddff4e222ab20fd60236a6338fbb75,c74717f0b8901592b86c0bb22bd078d58158e5707346f83f66ffad835bf3a2b0,97153adf85de8e1f03a16a3f618eae454c2fd326f045655883cd88bc4537907c
"1","11100","0","9040001"
"2","107101","5","9050001"
"3","108101","5","9050001"
"4","108301","5","9050001"
"5","11100","0","9040002"
"6","11100","0","9040003"
"7","91001","0","9010001"
"8","91001","0","9020001"
"9","91002","0","9020001"
"10","11101","0","9040004"
"11","11102","0","9040005"
