ce0c73d68a77d762ce1baca3c06ed17b82fc14e76007f63efb65c2b4ed84c312,57c2409691d2a6b9ef2c92d17b3816c789f985957339837172ee8cc2e00732b2,0772d3314f4d03fc184c69331160cdf2434f794dd080d9e142793ab2ea1e6dc6,bf670454e0d11738b1baed188df173649bdf1c4e23d09fdc376b864e53f1cfba,39b54442a7e88c556d8dd39d54e5a6036082766e585dcb13ad50a5beeaeabce8,1cb2ff0798b6cd551e3ad5a754a6dcb60d8b13b3dc5ab15423608f80e2b50eda,cb670742093c7a736317b9e7e9ae0c3d17c4d1b869408f3bfaf82427e1e37732,908b1af56ce6cbc09d7f58351789925fb0498b3489df9db1003c038b6979b3a8,0b605cf263edba2ee1d61c9857ec09446df449c828ddbdbe532895c1112389f9,3dbf48cda587a21382a4eb9ff4208c0d3d1b2527436647860a112f528f69c019,dd0204417ac2a2aeff98437bbb95b1db9d6d6152a8e4807ea0f819cc35d3caa5
"0","0","10004","0","0","0","10002","10001","0","10003","50061"
"0","0","10005","0","0","0","10002","10001","0","10003","50067"
"0","0","10005","0","0","0","10002","10001","10006","10003","50079"
"0","0","10005","10007","0","0","10002","10001","10006","10003","50084"
"0","10008","10005","10007","0","0","10002","10001","10006","10003","50094"
"10009","10008","10005","10007","0","0","10002","10001","10006","10003","50108"
"10009","10008","10005","10007","0","0","10002","10001","10006","10003","50116"
"10009","10008","10005","10007","10010","0","10002","10001","10006","10003","50119"
"10009","10008","10005","10007","10010","0","10002","10001","10006","10003","50129"
"10009","10008","10005","10007","10010","10011","10002","10001","10006","10003","50140"
"10010","10009","10006","10008","10011","10012","10003","10002","10007","10005","50151"
"0","0","10012","0","0","0","10010","10009","10013","10011","50162"
"0","0","10013","0","0","0","10011","10010","10014","10012","50172"
"0","0","10014","0","0","0","10012","10011","10015","10013","50183"
"0","0","10007","0","0","0","10014","10013","10005","10015","50190"
"0","0","10015","0","0","0","10013","10012","10016","10014","50195"
"0","0","10003","0","0","0","10015","10014","10002","10016","50200"
"0","0","10016","0","0","0","10014","10013","10017","10015","50217"
"0","0","10010","0","0","0","10016","10015","10009","10017","50231"
"0","0","10017","0","0","0","10015","10014","10018","10016","50237"
"0","0","0","0","0","0","0","10019","0","0","50248"
"0","0","0","0","0","0","0","10011","0","0","50261"
"0","0","0","0","0","0","0","10020","0","0","50267"
"0","0","0","0","0","0","0","10021","0","0","50278"
"0","0","0","0","0","0","0","10006","0","0","50291"
"0","0","0","0","0","0","0","10022","0","0","50298"
"0","0","0","0","0","0","0","10023","0","0","50309"
"0","0","0","0","0","0","0","10024","0","0","50321"
"0","0","0","0","0","0","0","10025","0","0","50331"
"0","0","0","0","0","0","0","10026","0","0","50341"
"0","0","0","0","0","0","0","10027","0","0","50354"
"0","0","0","0","0","0","0","10028","0","0","50365"
