5507fc978c097cbe86a9c2360b9f5ac40ceb662739f71dafe9ee82f636400df2,e23f8fa18eab07f019eb3f99dc50eb21ce5246bbecae410dc42614e4f01802cd,42a29f2830143a8c06902a16b6301dee0c0dc59d8f9bf050060e286b786a6e7e,adaf5890d93e8a28d312d5bb8417c9327c8e961b5441647620cb94378e920f7a,3566c2af0741eb2eb9b300575e239dbd197f942cd112f1076557472a84f820e5,131285c0e021dcc159b41ddf526e66bea5b9025272fafb73386b4d88217adba2
"111011101","1110111","1","1","0","101001"
"111021101","1110211","1","1","0","101002"
"133011101","1330111","3","1","0","301"
"133011201","1330112","3","1","0","301"
"133020101","1330201","3","0","500","302"
"133020201","1330202","3","0","500","302"
"133030101","1330301","3","0","1","303"
"133030201","1330302","3","0","250","303"
"133030301","1330303","3","0","1","303"
"133030401","1330304","3","0","1","303"
"133030501","1330305","3","0","250","303"
"133030601","1330306","3","0","1","303"
"133040101","1330401","3","0","1000","304"
"133040201","1330402","3","0","1000","304"
"133040301","1330403","3","0","1000","304"
"133040401","1330404","3","0","1000","304"
"133051101","1330511","3","1","0","305"
"133051201","1330512","3","1","0","305"
"134010101","1340101","3","0","1","401"
"134010201","1340102","3","0","1","401"
"134021101","1340211","3","1","0","402"
"134021201","1340212","3","1","0","402"
"140010101","1400101","4","0","1","1"
"140010201","1400102","4","0","1","1"
"140010301","1400103","4","0","10","1"
"140020101","1400201","4","0","0","2"
"210000101","2100001","1","0","0","0"
"211030101","2110301","1","0","0","101003"
"221010101","2210101","2","0","0","100001"
"221020101","2210201","2","0","0","100002"
"221030101","2210301","2","0","0","100003"
"221050101","2210501","2","0","0","100005"
"221070101","2210701","2","0","0","100007"
"221080101","2210801","2","0","0","100008"
"221090101","2210901","2","0","0","100009"
"221100101","2211001","2","0","0","100010"
"221110101","2211101","2","0","0","100011"
"221120101","2211201","2","0","0","100012"
"221130101","2211301","2","0","0","100013"
"221140101","2211401","2","0","0","100014"
"221160101","2211601","2","0","0","100016"
"221170101","2211701","2","0","0","100017"
"222020101","2220201","1","0","0","201020"
"222040101","2220401","1","0","0","201040"
"222050101","2220501","1","0","0","201050"
"222060101","2220601","1","0","0","201060"
"222070101","2220701","1","0","0","201070"
"222080101","2220801","1","0","0","201080"
"222090101","2220901","1","0","0","201090"
"222100101","2221001","1","0","0","201100"
"222110101","2221101","1","0","0","201110"
"222130101","2221301","1","0","0","201130"
"222140101","2221401","1","0","0","201140"
"222160101","2221601","1","0","0","201160"
"222180101","2221801","1","0","0","201180"
"222190101","2221901","1","0","0","201190"
"222200101","2222001","1","0","0","201200"
"222210101","2222101","1","0","0","201210"
"222220101","2222201","1","0","0","201220"
"222230101","2222301","1","0","0","201230"
"222240101","2222401","1","0","0","201240"
"222250101","2222501","1","0","0","201250"
"222270101","2222701","1","0","0","201270"
"222280101","2222801","1","0","0","201280"
"222290101","2222901","1","0","0","201290"
"222300101","2223001","1","0","0","201300"
"222320101","2223201","1","0","0","201320"
"222340101","2223401","1","0","0","201340"
"222350101","2223501","1","0","0","201350"
"222360101","2223601","1","0","0","201360"
"222370101","2223701","1","0","0","201370"
"222380101","2223801","1","0","0","201380"
"222390101","2223901","1","0","0","201390"
"222400101","2224001","1","0","0","201400"
"222410101","2224101","1","0","0","201410"
"222430101","2224301","1","0","0","201430"
"222440101","2224401","1","0","0","201440"
"222470101","2224701","1","0","0","201470"
"222480101","2224801","1","0","0","201480"
"222490101","2224901","1","0","0","201490"
"233010101","2330101","3","0","1000","301"
"233050101","2330501","3","0","1000","305"
"234020101","2340201","3","0","0","402"
"234030101","2340301","3","0","0","403"
"240010101","2400101","4","0","0","1"
"310000101","3100001","1","0","0","0"
"310000102","3100002","1","0","0","0"
"311010101","3110101","1","0","0","101001"
"311020101","3110201","1","0","0","101002"
