58687c83e0a8e36ad78fad91f3f1a32b25a72e3dfe6d23c5d3fd14a2e70c1c29,4674f944518cf6ddc89c74d7650ce76c55138838ea5cbb951ee40ae179b8a898,2e42e7ac4abb91f48a48facb2a8889547ca323f8b5a3bfa545e60be9fbd48dc1,ef6800e8bf4a1323581fc5019c1b8a3822eac3bcfeac740c49d47fa0dd026038,2c62d0fcfec9bcce386ba1f11c64a31501d6647478c3fd7e8965ece2251f941a
"91002","100","1","1","8"
"91002","100","2","2","8"
"91002","100","3","3","8"
"91002","100","4","4","8"
"91002","100","5","5","8"
"23003","500","6","6","2"
"140001","100","7","7","4"
"21953","1","8","8","2"
"23003","500","9","9","2"
"25001","100","10","10","2"
"90005","100","11","11","2"
"41000","1","12","12","2"
"23003","500","13","13","2"
"25011","10000","14","14","2"
"25012","10000","15","15","2"
"25013","10000","16","16","2"
"25014","10000","17","17","2"
"25015","10000","18","18","2"
"25021","5000","19","19","2"
"25101","1","20","20","2"
"23003","100","21","21","2"
"25011","10000","22","22","2"
"25012","10000","23","23","2"
"25013","10000","24","24","2"
"25014","10000","25","25","2"
"25015","10000","26","26","2"
"25021","5000","27","27","2"
"91002","100","28","28","8"
"23003","150","29","29","2"
"23003","150","30","30","2"
"23003","150","31","31","2"
"23003","150","32","32","2"
"23003","150","33","33","2"
"23003","150","34","34","2"
"26202","50000","35","35","2"
"26202","50000","36","36","2"
"26203","1","37","37","2"
"26202","50000","38","38","2"
"26202","50000","39","39","2"
"26203","1","40","40","2"
"26202","50000","41","41","2"
"26202","50000","42","42","2"
"26203","1","43","43","2"
"26202","50000","44","44","2"
"26202","50000","45","45","2"
"26203","1","46","46","2"
"26202","50000","47","47","2"
"26202","50000","48","48","2"
"26203","1","49","49","2"
