112f0e2e311f345d16d5a9753062c1da1cc0e9875e2d1a35fbee0757daf602d7,9f7df6b59b4533f0199c20f69f87630b230b9a96cbe96fac924dd7b400b217ed,2286a0609f885ab8342efbb59eb3e6084c7977d499fa055ce38c97dfe276f6b5
"10101","1","1"
"10102","2","1"
"10103","3","1"
"10104","4","1"
"10201","1","2"
"10202","2","2"
"10203","3","2"
"10204","4","2"
"10301","1","3"
"10302","2","3"
"10303","3","3"
"10304","4","3"
"10401","1","4"
"10402","2","4"
"10403","3","4"
"10404","4","4"
"10501","1","5"
"10502","2","5"
"10503","3","5"
"10504","4","5"
"10601","1","6"
"10602","2","6"
"10603","3","6"
"10604","4","6"
"10701","1","7"
"10702","2","7"
"10703","3","7"
"10704","4","7"
"10801","1","8"
"10802","2","8"
"10803","3","8"
"10804","4","8"
"99999","0","0"
