e7c77028be89240f8a8cdcf73d1fef983ef07d706a061db5b2473f68eefca3c6,7c9b2214b9686c7b0bf48b3df7bf79efa24776442aa0735de15dae5fa86104bc,41f5be37a0fa5a86b285702345f9264b0c550bf2c90e1a33feb94d00f2a08f3e,2427124a8bbb317f9b51ad19fd1c23004f8db3b3e4ff0764782307cf671150ff
"1","18","1","4301511"
"1","18","2","4301512"
"1","18","3","4301513"
"1","18","4","4301514"
"1","18","5","4301515"
"1","2","6","26202"
"2","18","1","4302511"
"2","18","2","4302512"
"2","18","3","4302513"
"2","18","4","4302514"
"2","18","5","4302515"
"2","2","6","26202"
"3","18","1","4303511"
"3","18","2","4303512"
"3","18","3","4303513"
"3","18","4","4303514"
"3","18","5","4303515"
"3","2","6","26202"
"4","18","1","4304511"
"4","18","2","4304512"
"4","18","3","4304513"
"4","18","4","4304514"
"4","18","5","4304515"
"4","2","6","26202"
"5","18","1","4305511"
"5","18","2","4305512"
"5","18","3","4305513"
"5","18","4","4305514"
"5","18","5","4305515"
"5","2","6","26202"
