4c96b9e787def1e89c54b32847c44d43cc51826be32a2d2c2e0d0d897ec2382b,c0fb009c03920bf2556e31065c4e7cf27de5cd61e1caf3837d8c21a9301bc8ca,da7477265b7215ed18ee9ac02fa29bb956a5f03167a4972c8f8747da2e8bc9b3,3d9f45e91cfe18cedaad2a72fd0d1db274149c100f27ba62a004bf7224a138d6,6fdd5a73c1978f53c5681718730923a4d9482f17f09be81e95d292a5b6be53e2,aa2a357ed5725f791d67c06e9b0b5c6e6b53b46028e3476f0a0583dbe31c8317,c21a6f0371f8972b9df33ac442d1bd404d7dcaec040a97e50bd44eeb71fa4aff,d779cfccf59d083f27e4041fc2f12362677ab7ab20a824d4cfaa09814f41e05d,9e2d552ae9f5a200537ee80a210c58a963a21edf49ce2def774dca399be73980,7df036b895448a5704af39026a395654cf6d9cf9688437bdc0ab3884e92b8e5a,d928da22e53c996a8400be81480e869efbad32a1fdabb5c04e0ffd0bfe918d02,0586721ea526d2a344ae7cbfe1b216506efa42c55b702587f12275c0aa415b0f,f793cc6b4dc2772d10bbbbea32573bb344ca55a4bb36509a39d8347012daff34,e21aa99d6b0f92c09a98907bb2d8b346bb85491d6a23d3d693de72f40abe25b8,55b0d6ec78133e4fcfc5e88161bfea1fae17d5d83cdf92c79f7996fc9da48ce8
"101691001","0","110690103","0","0","1","0","0","0","0","101691011","0","0","0","0"
"102311001","16","610132007","0","61013201","1","0","0","0","0","610132504","0","0","0","0"
"102311002","16","610132008","0","61013201","1","0","0","0","0","610132504","0","0","0","0"
"102311003","16","610132009","0","61013201","1","0","0","0","0","610132504","0","0","0","0"
"102312001","16","610134007","0","61013401","1","0","0","0","0","610134504","0","0","0","0"
"102312002","16","610134008","0","61013401","1","0","0","0","0","610134504","0","0","0","0"
"102312003","16","610134009","0","61013401","1","0","0","0","0","610134504","0","0","0","0"
"102401001","16","610136004","0","61013601","1","0","0","0","0","610136404","0","0","0","0"
"102401002","16","610136005","0","61013601","1","0","0","0","0","610136405","0","0","0","0"
"102401003","16","610136006","0","61013601","1","0","0","0","0","610136406","0","0","0","0"
"102401004","16","610136007","0","61013601","1","0","0","0","0","610136504","0","0","0","0"
"102401005","16","610136008","0","61013601","1","0","0","0","0","610136505","0","0","0","0"
"102401006","16","610136009","0","61013601","1","0","0","0","0","610136506","0","0","0","0"
"102401007","16","610137007","0","61013601","1","0","0","0","0","610137504","0","0","0","0"
"102401008","16","610137008","0","61013601","1","0","0","0","0","610137504","0","0","0","0"
"102401009","16","610137009","0","61013601","1","0","0","0","0","610137504","0","0","0","0"
"102402001","16","610140007","0","61014001","1","0","0","0","0","610140504","0","0","0","0"
"102402002","16","610140008","0","61014001","1","0","0","0","0","610140504","0","0","0","0"
"102402003","16","610140009","0","61014001","1","0","0","0","0","610140504","0","0","0","0"
"102403001","16","610142004","0","61014201","1","0","0","0","0","610142404","0","0","0","0"
"102403002","16","610142005","0","61014201","1","0","0","0","0","610142405","0","0","0","0"
"102403003","16","610142006","0","61014201","1","0","0","0","0","610142406","0","0","0","0"
"102403004","16","610142007","0","61014201","1","0","0","0","0","610142504","0","0","0","0"
"102403005","16","610142008","0","61014201","1","0","0","0","0","610142505","0","0","0","0"
"102403006","16","610142009","0","61014201","1","0","0","0","0","610142506","0","0","0","0"
"102404001","16","610144004","0","61014401","1","0","0","0","0","610144404","0","0","0","0"
"102404002","16","610144005","0","61014401","1","0","0","0","0","610144405","0","0","0","0"
"102404003","16","610144006","0","61014401","1","0","0","0","0","610144406","0","0","0","0"
"102404004","16","610144007","0","61014401","1","0","0","0","0","610144504","0","0","0","0"
"102404005","16","610144008","0","61014401","1","0","0","0","0","610144505","0","0","0","0"
"102404006","16","610144009","0","61014401","1","0","0","0","0","610144506","0","0","0","0"
"102691001","0","120690033","0","0","1","0","0","0","0","102690311","0","0","0","0"
"430001001","43","810010011","0","0","1","1","0","0","0","810100106","810100107","0","0","0"
"430001002","43","810010021","0","0","1","1","0","0","0","810100106","810100107","0","0","0"
"430001003","43","810010031","0","0","1","1","0","0","0","810100106","810100107","0","0","0"
"430001004","43","810010041","0","0","1","1","0","0","0","810100106","810100107","0","0","0"
"430001005","43","810010051","0","0","1","1","0","0","0","810100106","810100107","0","0","0"
"430001006","43","810010061","0","0","1","1","0","0","0","810100106","810100107","0","0","0"
"430001007","43","810010071","0","0","1","1","0","0","0","810100106","810100107","0","0","0"
"430001008","43","810010081","0","0","1","1","0","0","0","810100106","810100107","0","0","0"
"430001009","43","810010091","0","0","1","1","0","0","0","810100106","810100107","0","0","0"
"430001010","43","810010101","0","0","1","1","4","0","0","810101002","810101003","810101004","0","0"
