ff650099f26e4cd32cbb919378eca009743839ea22c6500a443b116a93f71644,129a2133f4ddcd388a60ece6f3e1121de1ed8df99ac4f646882535764645a1d8,e942e8003eef92b4b2dc0eb77fcf429518e07d0f378052c6f9159d2f6ce6f6c2,9b5d717124d1c69264745eb777f0bff3db1dcbf31b379d4fc9ed06d1d91e46ed
"938","-354","1.6","100101"
"952","-499","1.6","100201"
"1014","-523","1.6","100301"
"894","-488","1.6","100401"
"980","-628","1.6","100601"
"983","-573","1.6","100701"
"1019","-544","1.6","100801"
"985","-510","1.6","100901"
"1115","-660","1.6","101001"
"1128","-415","1.6","101101"
"1042","-589","1.6","101201"
"1050","-501","1.6","101601"
"1038","-598","1.6","101701"
"985","-356","1.6","101801"
"1114","-494","1.6","102001"
"1003","-392","1.6","102101"
"1057","-407","1.6","102201"
"997","-388","1.6","102501"
"1090","-490","1.6","102701"
"987","-554","1.6","102801"
"976","-526","1.6","102901"
"994","-879","1.6","103001"
"1056","-560","1.6","103101"
"1018","-453","1.6","103301"
"1017","-345","1.6","103401"
"961","-674","1.6","103801"
"1095","-499","1.6","104001"
"955","-521","1.6","104201"
"1079","-581","1.6","104301"
"980","-538","1.6","104501"
"954","-364","1.6","104601"
"1107","-777","1.6","104801"
"973","-795","1.6","104901"
"1122","-492","1.6","105001"
"1035","-607","1.6","105201"
"885","-490","1.6","105301"
