a3efbd341c65ac896222d40c76811c992b09a57b969bdfd77b2b09e65e1f714a,0afe4611dad8c3b969b139a575eea46b846b866e3955e5df7ba1720eaae5ef53,a2ae410c9b6d765bf6b32ad75a0a54e9eac9366158ebb85f2d3d43d3a4c404cc,db7c0939972a06392d4381cc704f353c7fdf72a7306f10e7d0b1745da0ba1a8d,23f97d660a79e479e6a522d3e078926f986ab3c3440a49ca679a653240f05fad,e8cfbb4d82c3a06368d52641c8568766b511c9b427146ee0b60e8df8e1948ee0,974df1901f0e443c0fa0015cb586ce9cc4e49921a0201e95f7386cdd5c5f1f56,6b0280557289f3a1de1df641fddf92389b6ef5e6529412e98c30bf1960d26b2b
"-401","1","170","182","71","1","-90","1"
"-401","1","170","182","81","2","-90","2"
"-255","1","255","182","121","3","90","3"
"-255","1","255","182","131","4","90","4"
"-255","1","255","182","141","5","90","5"
"-107","1","229","176","191","6","-80","6"
"-107","1","229","176","201","7","-80","7"
"136","1","218","151","271","8","-85","8"
"136","1","218","151","281","9","-85","9"
"136","1","218","151","291","10","-85","10"
"280","1","156","219","331","11","80","11"
"280","1","156","219","341","12","80","12"
"280","1","156","219","351","13","80","13"
"417","1","213","183","401","14","-97","14"
"417","1","213","183","411","15","-97","15"
"-259","2","242","229","451","1","-73","2"
"-222","2","226","179","481","2","124","4"
"-101","2","219","192","501","3","-67","6"
"-26","2","168","190","521","4","-27","8"
"117","2","192","260","551","5","-50","11"
"241","2","159","138","601","6","120","14"
"241","2","159","138","611","7","120","14"
"243","2","224","229","621","8","-71","14"
"-353","3","71","43","781","1","32","1"
"-228","3","235","268","801","2","-30","2"
"-243","3","80","45","831","3","144","3"
"20","3","221","225","851","4","-76","4"
"230","3","211","222","861","5","-74","5"
"-100","3","115","136","891","6","44","6"
"-100","3","115","136","901","7","44","7"
"116","3","306","250","991","8","76","8"
"116","3","306","250","1001","9","76","9"
"116","3","306","250","1011","10","76","10"
"322","3","96","188","1041","11","40","11"
"322","3","96","188","1051","12","40","12"
"-211","4","294","272","1091","1","-6","1"
"-288","4","92","115","1101","2","129","2"
"-288","4","92","115","1111","3","129","3"
"-58","4","135","174","1121","4","128","4"
"143","4","222","184","1151","5","133","5"
"-277","4","134","98","1161","6","-129","6"
"-277","4","134","98","1171","7","-129","7"
"-60","4","67","70","1211","8","-12","8"
"-60","4","67","70","1221","9","-12","9"
"116","4","132","185","1231","10","-55","10"
"-17","4","93","89","1261","11","-103","11"
"-17","4","93","89","1271","12","-103","12"
"232","4","150","239","1311","13","23","13"
"-289","5","114","72","1391","1","-161","1"
"-289","5","114","72","1401","2","-161","2"
"-261","5","228","248","1411","3","80","3"
"-103","5","223","211","1431","4","-91","4"
"-87","5","186","181","1471","5","95","5"
"69","5","132","176","1551","6","-122","6"
"69","5","132","176","1561","7","-122","7"
"54","5","143","184","1611","8","91","8"
"204","5","211","247","1641","9","45","9"
"308","5","137","167","1651","10","141","10"
"282","5","175","174","1661","11","-46","11"
