4e0288ba137d141031d7a55d054cbd1ff11e705290cccc498032de8dcb5221b1,8a410e2431500fa6ba8143ce5a092bb39fcaacbd0d4b64396caf7d1960a83970,a3d5f61209b5c1c8b148828acef9d09398a440b21773780160730b171f573fc7,a668afa7d58737dd54c4062bfbf42923c0cc1be25182c4b54148c5facfb94db4,3ea7651900dbf017713cf5cbc16de3fff86a26a29495515248876e814cc38e7d,42ab549d258241cea4661301fd6151ec51a46a4b75df6d8f613de160e1661142,f0cad9107c6795ee152f9882053bb59b046be3521bbf1b9eebbbba47e46bdebb,e2d8e72d6e237a70179c038f6fe211b336847bc52c6ec2ff5ce4a8a26419a616,68f2e02748c4f4df650edf1b4e4455f7c99da0deccb7baf328970758da2b453a,b8869e6455984070462c2f58c47f5df8ebbb9c6b32dae80147e4f530462db19d,bc2eaec74bfa2becab1b225987ea34f6742e7c58b0126ed785e54aa8dd4f76f0,b39e8ae1f1272c4ad3b702b7b2b0c2fe7b725234af390b95c0b9bf276827a0ba,5c0ad312c358a24c4199f57444566dd5f84825bb1637d6b57698f185af444b54,140e104b7379c4cc975f803b8b5012db77d993338df5796c8087c0139a4f051b,da1fa682b93bd3be7e05a94bed8a9bc40035c1772c413be2df8092515f52425e,1e70fe92152e482d67136e301d27e223bdf58857a14e262092d67995051a8c00
"2","100101","27","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","44","獸人族","8","東山奈央","助人、打氣加油","A","日和","最愛幫助別人！　正向思考的格鬥少女","155","16","0","破曉之星"
"2","100201","5","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","47","人族","4","種田梨沙","料理、觀察人類","O","優衣","擅長支援戰鬥，心地善良的少女","158","17","0","破曉之星"
"2","100301","12","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","46","魔族","1","早見沙織","讀書、騎馬、茶","B","怜","冷酷又率直的劍士","163","18","0","破曉之星"
"5","100401","10","惡作劇就交給禊吧！\n哥哥，小心別上鉤了唷──♪","27","人族","8","諸星すみれ","惡作劇、探險","O","禊","愛好冒險的搗蛋鬼","128","9","0","小小甜心"
"8","100501","25","？？？","40","獸人族","11","下田麻美","英雄扮演遊戲","O","茉莉","仰慕英雄的見習騎士少女","146","12","0","王宮騎士團"
"7","100601","22","茜里不知道的事還有很多……\n所以，\n今後哥哥也要教茜里各種事情喔！","42","魔族","11","浅倉杏美","薩克斯風","O","茜里","愛撒嬌又受大家喜歡","150","13","0","惡魔偽王國軍"
"7","100701","23","太難的事情人家不懂來的～\n只要每天都能吃到布丁的話，\n宮子也可以繼續當幽靈喲～","32","魔族","1","雨宮天","吃布丁","B","宮子","最愛布丁的幽靈少女","130","14","0","惡魔偽王國軍"
"15","100801","10","我真的好美啊……\n既可愛又美麗真是罪過，\n但這都是天生的，只能原諒我了吧♪","40","精靈族","10","大空直美","欣賞鏡中的自己","AB","雪","我比任何人都還要美麗","150","14","0","純白之翼 蘭德索爾分部"
"13","100901","5","聽好了，千萬不要叫我的本名呦？\n隨時懷疑「機關」耳目的存在\n那就是活下去的方法……！","45","魔族","7","髙野麻美","寫小說","A","杏奈","相信前世的中二病患「疾風之冥姬」","159","17","0","暮光流星群"
"10","101001","22","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","42","獸人族","9","内田真礼","幻想、蒐集玩偶","O","真步","真步真步王國的公主","155","16","0","哞哞自衛隊"
"3","101101","25","雖然我想你可能已經不記得了……\n但我是妹妹啊！\n所以可以叫你哥哥嗎？","44","人族","8","阿澄佳奈","裁縫","A","璃乃","親人又多話的妹系少女","156","15","0","拉比林斯"
"6","101201","24","我是初音！　是遇到麻煩的人的夥伴呦！\n有困擾時，隨時都可以跟我說喔♪\n會用我的超……魔，魔法來幫忙的！","46","精靈族","12","大橋彩香","和妹妹一起玩、回籠覺、午睡、早睡","A","初音","為了大家使用超能力的睡美人","156","17","0","森林守衛"
"13","101301","21","","55","魔族","8","佳村はるか","讀書、魔法","O","七七香","宅宅暴走的魔法少女","166","18","0","暮光流星群"
"10","101401","3","test","41","獸人族","11","水瀬いのり","讀書、推理","AB","霞","頭腦聰明的美少女名偵探","152","15","0","哞哞自衛隊"
"6","101501","5","test","54","精靈族","9","國府田マリ子","製作繪本","O","美里","充滿母性又溫柔，大家的「美里老師」","165","21","0","森林守衛"
"14","101601","10","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","48","魔族","4","上坂すみれ","時尚","O","鈴奈","天真浪漫的人氣超級名模","167","17","0","月光學院"
"10","101701","7","嗨呵～！我要又唱又跳\n讓氣氛嗨到最高點喲～！\n來嘛來嘛，你也一起跳吧～！","53","獸人族","7","高森奈津美","跳舞、空手道","A","香織","隨時都「船到橋頭自然直」的天真少女","158","17","0","哞哞自衛隊"
"14","101801","14","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","52","魔族","8","伊藤静","看戀愛小說、戀愛劇、戀愛漫畫","B","伊緒","魅惑眾多男性的純潔女老師","162","23","0","月光學院"
"5","102001","3","蹦蹦跳，好想變成小兔子呢～♪\n美美如果能變成小兔子，\n會最先來給哥哥看喔！","21","獸人族","4","日高里菜","蒐集可愛的東西","O","美美","唱歌、紅蘿蔔或是兔子先生，我全都喜歡♪","117","10","0","小小甜心"
"9","102101","9","這個、那個……我叫胡、胡桃……嗚、嗚嗚嗚……怎、怎麼辦……太、太害羞了……對、對不起──！","40","人族","6","植田佳奈","看戲、扮家家酒","B","胡桃","愛哭又膽小，令人想去保護的女孩","150","12","0","咲戀育幼院"
"7","102201","22","那、那個……這、這種時候，\n該說什麼才好啊……\n嗚嗚，為什麼我不能好好說話呢。","40","魔族","11","原紗友里","所有遊戲","O","依里","怕生的任性女孩","150","13","0","惡魔偽王國軍"
"9","102301","10","這孩子啊，名叫噗吉。\n雖然是武器，但是會說話呦♪\n是我最重要最重要的朋友～！","38","人族","5","芹澤優","能在房間裡玩的遊戲","B","綾音","永遠跟噗吉在一起！","148","14","0","咲戀育幼院"
"9","102501","12","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","43","人族","12","悠木碧","服侍","O","鈴莓","為了大小姐而努力的冒失女僕","154","15","0","咲戀育幼院"
"11","102601","1","test","42","獸人族","1","小岩井ことり","紅豆麵包","B","鈴","視玩樂與睡眠為第一的懶惰少女","144","17","0","伊麗莎白牧場"
"13","102701","30","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","43","魔族","7","橋本ちなみ","實驗、裁縫、料理","B","惠理子","專情於命中注定對象的少女","154","16","0","暮光流星群"
