26ab5ab6ab060aad054a89bae6cd2e8e9241934c4554769f45061271204c6844,00a928794aba908da7faafc9c48183d7e3b088d493d14abb1e610c17ac156093,15fee55562418f217bc68d14352b9343316ac543b3c94d2560a1338c87e13c7b,c0142384c0f3a8fa53780b47aa73268c8124f82825c2f34caffc3ae19046d096
"1","11100","9040001","0"
"2","107101","9050001","5"
"3","108101","9050001","5"
"4","108301","9050001","5"
"5","11100","9040002","0"
"6","11100","9040003","0"
"7","91001","9010001","0"
"8","91001","9020001","0"
"9","91002","9020001","0"
"10","11101","9040004","0"
"11","11102","9040005","0"
