37ff0b99ec10c4ce3bc82bab4a2f4fcabc2435683cfeaaf7816d9f4f452b9caa,d8550a1d5ad7acb1e505a8dc2cb3c9217d703df18f920b44fb21b205c0b02405,5fa180bbbc1535465c10792193c2e0d8bf750bc48447a7695f5cd27705d41d8a,a737c9122d271502843c5a40d7964b042b1a1aec94a10f315aebb20a5a1f1669,5a89e9b32eb6dbbf16d1883c5b0869208e4fbf6f779f9d35e7029a5c3f94411a,4e6dd2a182e2c130993ccd5c17aaa920f78957ed90a0f35f7e14933a7a112f27,1e77d085336888729b164f3261f9b67bdb23fe5aa2280b2fdd9967740e0e5315,8e9591b16699dae7b5ad5d1c2cac5e84ef42c1fc6ff0324378a667addab8fcfd,58d39853100a534e3ca1cd2a5bd0689bac54ef1b30d893dca3679f7228992319
"53002","15","10701","15","1","22","1","7","20"
"53002","14","10702","14","2","22","1","7","22"
"53002","13","10703","13","3","22","2","7","24"
"53002","12","10704","12","4","22","2","7","26"
"53002","11","10705","11","5","22","3","7","28"
"53002","10","10706","10","6","22","3","7","30"
"53002","9","10707","9","7","22","4","7","32"
"53002","8","10708","8","8","22","4","7","34"
"53002","0","10709","7","9","22","5","7","36"
"53002","15","10801","15","1","22","1","8","20"
"53002","14","10802","14","2","22","1","8","22"
"53002","13","10803","13","3","22","2","8","24"
"53002","12","10804","12","4","22","2","8","26"
"53002","11","10805","11","5","22","3","8","28"
"53002","10","10806","10","6","22","3","8","30"
"53002","9","10807","9","7","22","4","8","32"
"53002","8","10808","8","8","22","4","8","34"
"53002","0","10809","7","9","22","5","8","36"
"53002","15","10901","15","1","22","1","9","20"
"53002","14","10902","14","2","22","1","9","22"
"53002","13","10903","13","3","22","2","9","24"
"53002","12","10904","12","4","22","2","9","26"
"53002","11","10905","11","5","22","3","9","28"
"53002","10","10906","10","6","22","3","9","30"
"53002","9","10907","9","7","22","4","9","32"
"53002","8","10908","8","8","22","4","9","34"
"53002","0","10909","7","9","22","5","9","36"
"53002","15","11001","15","1","22","1","10","20"
"53002","14","11002","14","2","22","1","10","22"
"53002","13","11003","13","3","22","2","10","24"
"53002","12","11004","12","4","22","2","10","26"
"53002","11","11005","11","5","22","3","10","28"
"53002","10","11006","10","6","22","3","10","30"
"53002","9","11007","9","7","22","4","10","32"
"53002","8","11008","8","8","22","4","10","34"
"53002","0","11009","7","9","22","5","10","36"
